149128  , -9500.33    , array([ 1.09269    ,  0.277296   ,  5.29545e-39,  5.99227    ,  0.130776   ])
149129  , -9500.33    , array([ 1.09269    ,  0.277296   ,  5.29545e-39,  5.99227    ,  0.130776   ])
149130  , -9497.43    , array([ 1.09378    ,  0.277296   ,  5.29545e-39,  5.99227    ,  0.130776   ])
149131  , -9513.66    , array([ 1.09269    ,  0.277574   ,  5.29545e-39,  5.99227    ,  0.130776   ])
149132  , -9500.33    , array([ 1.09269    ,  0.277296   ,  5.30075e-39,  5.99227    ,  0.130776   ])
149133  , -9508       , array([ 1.09269    ,  0.277296   ,  5.29545e-39,  5.99827    ,  0.130776   ])
149134  , -9500.26    , array([ 1.09269    ,  0.277296   ,  5.29545e-39,  5.99227    ,  0.130907   ])
149135  , -8820.65    , array([ 1.8169     ,  0.262325   ,  5.29545e-39,  6.34487    ,  0.123089   ])
149136  , -8820.65    , array([ 1.8169     ,  0.262325   ,  5.29545e-39,  6.34487    ,  0.123089   ])
149137  , -8821.29    , array([ 1.81872    ,  0.262325   ,  5.29545e-39,  6.34487    ,  0.123089   ])
149138  , -8834.19    , array([ 1.8169     ,  0.262588   ,  5.29545e-39,  6.34487    ,  0.123089   ])
149139  , -8820.65    , array([ 1.8169     ,  0.262325   ,  5.30075e-39,  6.34487    ,  0.123089   ])
149140  , -8829.15    , array([ 1.8169     ,  0.262325   ,  5.29545e-39,  6.35122    ,  0.123089   ])
149141  , -8819.52    , array([ 1.8169     ,  0.262325   ,  5.29545e-39,  6.34487    ,  0.123212   ])
149142  , -6656.74    , array([ 7.73108    ,  0.174473   ,  5.29545e-39,  6.846      ,  0.088119   ])
149143  , -6656.74    , array([ 7.73108    ,  0.174473   ,  5.29545e-39,  6.846      ,  0.088119   ])
149144  , -6657.76    , array([ 7.73882    ,  0.174473   ,  5.29545e-39,  6.846      ,  0.088119   ])
149145  , -6666.81    , array([ 7.73108    ,  0.174648   ,  5.29545e-39,  6.846      ,  0.088119   ])
149146  , -6656.74    , array([ 7.73108    ,  0.174473   ,  5.30075e-39,  6.846      ,  0.088119   ])
