208989  , -1805.66    , array([ 3.96633    ,  0.0480071  ,  2.01236e-16,  6.1378e-21 ,  0.0172524  ])
208990  , -1805.55    , array([ 3.96633    ,  0.0480071  ,  2.01236e-16,  6.13166e-21,  0.0172697  ])
208991  , -1714.22    , array([ 1.34946    ,  0.0462124  ,  2.01236e-16,  6.13166e-21,  0.0166838  ])
208992  , -1714.22    , array([ 1.34946    ,  0.0462124  ,  2.01236e-16,  6.13166e-21,  0.0166838  ])
208993  , -1714.25    , array([ 1.35081    ,  0.0462124  ,  2.01236e-16,  6.13166e-21,  0.0166838  ])
208994  , -1713.72    , array([ 1.34946    ,  0.0462587  ,  2.01236e-16,  6.13166e-21,  0.0166838  ])
208995  , -1714.22    , array([ 1.34946    ,  0.0462124  ,  2.01437e-16,  6.13166e-21,  0.0166838  ])
208996  , -1714.22    , array([ 1.34946    ,  0.0462124  ,  2.01236e-16,  6.1378e-21 ,  0.0166838  ])
208997  , -1714.39    , array([ 1.34946    ,  0.0462124  ,  2.01236e-16,  6.13166e-21,  0.0167005  ])
208998  , -526654     , array([ 0.00217409 ,  0.0580679  ,  2.01236e-16,  6.13166e-21,  0.0212759  ])
208999  , -526654     , array([ 0.00217409 ,  0.0580679  ,  2.01236e-16,  6.13166e-21,  0.0212759  ])
209000  , -526243     , array([ 0.00217626 ,  0.0580679  ,  2.01236e-16,  6.13166e-21,  0.0212759  ])
209001  , -526664     , array([ 0.00217409 ,  0.058126   ,  2.01236e-16,  6.13166e-21,  0.0212759  ])
209002  , -526654     , array([ 0.00217409 ,  0.0580679  ,  2.01437e-16,  6.13166e-21,  0.0212759  ])
209003  , -526654     , array([ 0.00217409 ,  0.0580679  ,  2.01236e-16,  6.1378e-21 ,  0.0212759  ])
209004  , -527024     , array([ 0.00217409 ,  0.0580679  ,  2.01236e-16,  6.13166e-21,  0.0212972  ])
209005  , -3080.14    , array([ 0.308303   ,  0.0486999  ,  2.01236e-16,  6.13166e-21,  0.0176415  ])
209006  , -3080.14    , array([ 0.308303   ,  0.0486999  ,  2.01236e-16,  6.13166e-21,  0.0176415  ])
209007  , -3076.96    , array([ 0.308612   ,  0.0486999  ,  2.01236e-16,  6.13166e-21,  0.0176415  ])
209008  , -3079.36    , array([ 0.308303   ,  0.0487486  ,  2.01236e-16,  6.13166e-21,  0.0176415  ])
209009  , -3080.14    , array([ 0.308303   ,  0.0486999  ,  2.01437e-16,  6.13166e-21,  0.0176415  ])
209010  , -3080.14    , array([ 0.308303   ,  0.0486999  ,  2.01236e-16,  6.1378e-21 ,  0.0176415  ])
209011  , -3083.31    , array([ 0.308303   ,  0.0486999  ,  2.01236e-16,  6.13166e-21,  0.0176592  ])
209012  , -1711.62    , array([ 1.1075     ,  0.0465379  ,  2.01236e-16,  6.13166e-21,  0.0168089  ])
209013  , -1711.62    , array([ 1.1075     ,  0.0465379  ,  2.01236e-16,  6.13166e-21,  0.0168089  ])
209014  , -1711.58    , array([ 1.10861    ,  0.0465379  ,  2.01236e-16,  6.13166e-21,  0.0168089  ])
209015  , -1711.06    , array([ 1.1075     ,  0.0465844  ,  2.01236e-16,  6.13166e-21,  0.0168089  ])
209016  , -1711.62    , array([ 1.1075     ,  0.0465379  ,  2.01437e-16,  6.13166e-21,  0.0168089  ])
209017  , -1711.62    , array([ 1.1075     ,  0.0465379  ,  2.01236e-16,  6.1378e-21 ,  0.0168089  ])
209018  , -1711.9     , array([ 1.1075     ,  0.0465379  ,  2.01236e-16,  6.13166e-21,  0.0168257  ])
209019  , -1705.97    , array([ 1.12689    ,  0.0473022  ,  2.01236e-16,  6.13166e-21,  0.0170915  ])
209020  , -1705.97    , array([ 1.12689    ,  0.0473022  ,  2.01236e-16,  6.13166e-21,  0.0170915  ])
209021  , -1705.93    , array([ 1.12802    ,  0.0473022  ,  2.01236e-16,  6.13166e-21,  0.0170915  ])
209022  , -1705.41    , array([ 1.12689    ,  0.0473495  ,  2.01236e-16,  6.13166e-21,  0.0170915  ])
209023  , -1705.97    , array([ 1.12689    ,  0.0473022  ,  2.01437e-16,  6.13166e-21,  0.0170915  ])
209024  , -1705.97    , array([ 1.12689    ,  0.0473022  ,  2.01236e-16,  6.1378e-21 ,  0.0170915  ])
209025  , -1706.25    , array([ 1.12689    ,  0.0473022  ,  2.01236e-16,  6.13166e-21,  0.0171086  ])
209026  , -1685.08    , array([ 1.20792    ,  0.050487   ,  2.01236e-16,  6.13166e-21,  0.0182704  ])
209027  , -1685.08    , array([ 1.20792    ,  0.050487   ,  2.01236e-16,  6.13166e-21,  0.0182704  ])
209028  , -1685.06    , array([ 1.20913    ,  0.050487   ,  2.01236e-16,  6.13166e-21,  0.0182704  ])
209029  , -1684.54    , array([ 1.20792    ,  0.0505375  ,  2.01236e-16,  6.13166e-21,  0.0182704  ])
209030  , -1685.08    , array([ 1.20792    ,  0.050487   ,  2.01437e-16,  6.13166e-21,  0.0182704  ])
209031  , -1685.08    , array([ 1.20792    ,  0.050487   ,  2.01236e-16,  6.1378e-21 ,  0.0182704  ])
209032  , -1685.38    , array([ 1.20792    ,  0.050487   ,  2.01236e-16,  6.13166e-21,  0.0182887  ])
209033  , -1640.75    , array([ 1.37318    ,  0.0617424  ,  2.01236e-16,  6.13166e-21,  0.0223022  ])
209034  , -1640.75    , array([ 1.37318    ,  0.0617424  ,  2.01236e-16,  6.13166e-21,  0.0223022  ])
209035  , -1640.74    , array([ 1.37456    ,  0.0617424  ,  2.01236e-16,  6.13166e-21,  0.0223022  ])
209036  , -1640.42    , array([ 1.37318    ,  0.0618042  ,  2.01236e-16,  6.13166e-21,  0.0223022  ])
209037  , -1640.75    , array([ 1.37318    ,  0.0617424  ,  2.01437e-16,  6.13166e-21,  0.0223022  ])
209038  , -1640.75    , array([ 1.37318    ,  0.0617424  ,  2.01236e-16,  6.1378e-21 ,  0.0223022  ])
209039  , -1640.98    , array([ 1.37318    ,  0.0617424  ,  2.01236e-16,  6.13166e-21,  0.0223245  ])
209040  , -1632.22    , array([ 1.47412    ,  0.0696552  ,  2.01236e-16,  6.13166e-21,  0.0249649  ])
209041  , -1632.22    , array([ 1.47412    ,  0.0696552  ,  2.01236e-16,  6.13166e-21,  0.0249649  ])
209042  , -1632.23    , array([ 1.4756     ,  0.0696552  ,  2.01236e-16,  6.13166e-21,  0.0249649  ])
209043  , -1632.22    , array([ 1.47412    ,  0.0697248  ,  2.01236e-16,  6.13166e-21,  0.0249649  ])
209044  , -1632.22    , array([ 1.47412    ,  0.0696552  ,  2.01437e-16,  6.13166e-21,  0.0249649  ])
209045  , -1632.22    , array([ 1.47412    ,  0.0696552  ,  2.01236e-16,  6.1378e-21 ,  0.0249649  ])
209046  , -1632.25    , array([ 1.47412    ,  0.0696552  ,  2.01236e-16,  6.13166e-21,  0.0249899  ])
209047  , -1632.63    , array([ 1.43322    ,  0.0674598  ,  2.01236e-16,  6.13166e-21,  0.024153   ])
209048  , -1632.63    , array([ 1.43322    ,  0.0674598  ,  2.01236e-16,  6.13166e-21,  0.024153   ])
209049  , -1632.63    , array([ 1.43465    ,  0.0674598  ,  2.01236e-16,  6.13166e-21,  0.024153   ])
209050  , -1632.63    , array([ 1.43322    ,  0.0675273  ,  2.01236e-16,  6.13166e-21,  0.024153   ])
209051  , -1632.63    , array([ 1.43322    ,  0.0674598  ,  2.01437e-16,  6.13166e-21,  0.024153   ])
209052  , -1632.63    , array([ 1.43322    ,  0.0674598  ,  2.01236e-16,  6.1378e-21 ,  0.024153   ])
209053  , -1632.62    , array([ 1.43322    ,  0.0674598  ,  2.01236e-16,  6.13166e-21,  0.0241772  ])
209054  , -1632.19    , array([ 1.46537    ,  0.0691845  ,  2.01236e-16,  6.13166e-21,  0.0247908  ])
209055  , -1632.19    , array([ 1.46537    ,  0.0691845  ,  2.01236e-16,  6.13166e-21,  0.0247908  ])
209056  , -1632.19    , array([ 1.46683    ,  0.0691845  ,  2.01236e-16,  6.13166e-21,  0.0247908  ])
209057  , -1632.19    , array([ 1.46537    ,  0.0692538  ,  2.01236e-16,  6.13166e-21,  0.0247908  ])
209058  , -1632.19    , array([ 1.46537    ,  0.0691845  ,  2.01437e-16,  6.13166e-21,  0.0247908  ])
209059  , -1632.19    , array([ 1.46537    ,  0.0691845  ,  2.01236e-16,  6.1378e-21 ,  0.0247908  ])
209060  , -1632.21    , array([ 1.46537    ,  0.0691845  ,  2.01236e-16,  6.13166e-21,  0.0248156  ])
209061  , -1632.19    , array([ 1.46254    ,  0.0690358  ,  2.01236e-16,  6.13166e-21,  0.0247361  ])
209062  , -1632.19    , array([ 1.46254    ,  0.0690358  ,  2.01236e-16,  6.13166e-21,  0.0247361  ])
209063  , -1632.2     , array([ 1.464      ,  0.0690358  ,  2.01236e-16,  6.13166e-21,  0.0247361  ])
209064  , -1632.19    , array([ 1.46254    ,  0.0691048  ,  2.01236e-16,  6.13166e-21,  0.0247361  ])
209065  , -1632.19    , array([ 1.46254    ,  0.0690358  ,  2.01437e-16,  6.13166e-21,  0.0247361  ])
209066  , -1632.19    , array([ 1.46254    ,  0.0690358  ,  2.01236e-16,  6.1378e-21 ,  0.0247361  ])
