3202    , -633.959    , array([ 0.475152   ,  39.5743    ,  0.389034   ,  0.00258721 ])
3203    , -632.871    , array([ 0.474677   ,  39.6139    ,  0.389034   ,  0.00258721 ])
3204    , -633.013    , array([ 0.474677   ,  39.5743    ,  0.389423   ,  0.00258721 ])
3205    , -632.867    , array([ 0.474677   ,  39.5743    ,  0.389034   ,  0.0025898  ])
3206    , -340.552    , array([ 0.313903   ,  9.93365    ,  0.259447   ,  0.00411511 ])
3207    , -340.552    , array([ 0.313903   ,  9.93365    ,  0.259447   ,  0.00411511 ])
3208    , -340.893    , array([ 0.314217   ,  9.93365    ,  0.259447   ,  0.00411511 ])
3209    , -340.548    , array([ 0.313903   ,  9.94359    ,  0.259447   ,  0.00411511 ])
3210    , -340.356    , array([ 0.313903   ,  9.93365    ,  0.259707   ,  0.00411511 ])
3211    , -340.448    , array([ 0.313903   ,  9.93365    ,  0.259447   ,  0.00411923 ])
3212    , -212.622    , array([ 0.248887   ,  3.46863    ,  0.270525   ,  0.00737941 ])
3213    , -212.622    , array([ 0.248887   ,  3.46863    ,  0.270525   ,  0.00737941 ])
3214    , -212.828    , array([ 0.249136   ,  3.46863    ,  0.270525   ,  0.00737941 ])
3215    , -212.608    , array([ 0.248887   ,  3.4721     ,  0.270525   ,  0.00737941 ])
3216    , -212.6      , array([ 0.248887   ,  3.46863    ,  0.270796   ,  0.00737941 ])
3217    , -212.51     , array([ 0.248887   ,  3.46863    ,  0.270525   ,  0.0073868  ])
3218    , -316.553    , array([ 0.148408   ,  0.236348   ,  0.225716   ,  0.0408647  ])
3219    , -316.553    , array([ 0.148408   ,  0.236348   ,  0.225716   ,  0.0408647  ])
3220    , -316.359    , array([ 0.148557   ,  0.236348   ,  0.225716   ,  0.0408647  ])
3221    , -316.541    , array([ 0.148408   ,  0.236585   ,  0.225716   ,  0.0408647  ])
3222    , -316.88     , array([ 0.148408   ,  0.236348   ,  0.225942   ,  0.0408647  ])
3223    , -316.701    , array([ 0.148408   ,  0.236348   ,  0.225716   ,  0.0409056  ])
3224    , -165.333    , array([ 0.213943   ,  1.58053    ,  0.256564   ,  0.0121765  ])
3225    , -165.333    , array([ 0.213943   ,  1.58053    ,  0.256564   ,  0.0121765  ])
3226    , -165.385    , array([ 0.214157   ,  1.58053    ,  0.256564   ,  0.0121765  ])
3227    , -165.323    , array([ 0.213943   ,  1.58211    ,  0.256564   ,  0.0121765  ])
3228    , -165.549    , array([ 0.213943   ,  1.58053    ,  0.256821   ,  0.0121765  ])
3229    , -165.343    , array([ 0.213943   ,  1.58053    ,  0.256564   ,  0.0121887  ])
3230    , -142.899    , array([ 0.191857   ,  0.954431   ,  0.212961   ,  0.0162837  ])
3231    , -142.899    , array([ 0.191857   ,  0.954431   ,  0.212961   ,  0.0162837  ])
