113569  , -1402.31    , array([ 0.978934   ,  0.129492   ,  6.07753    ,  0.684786   ,  0.060541   ])
113570  , -1399.29    , array([ 0.978934   ,  0.127446   ,  6.07753    ,  0.684786   ,  0.060541   ])
113571  , -1399.25    , array([ 0.978934   ,  0.127629   ,  6.07753    ,  0.684786   ,  0.060541   ])
113572  , -1399.25    , array([ 0.978934   ,  0.127643   ,  6.07753    ,  0.684786   ,  0.060541   ])
113573  , -1399.25    , array([ 0.978934   ,  0.127657   ,  6.07753    ,  0.684786   ,  0.060541   ])
113574  , -1399.25    , array([ 0.978934   ,  0.127643   ,  6.07753    ,  0.684786   ,  0.060541   ])
113575  , -1477.67    , array([ 0.978934   ,  0.127643   ,  7.07753    ,  0.684786   ,  0.060541   ])
113576  , -1450.97    , array([ 0.978934   ,  0.127643   ,  4.45949    ,  0.684786   ,  0.060541   ])
113577  , -1399.25    , array([ 0.978934   ,  0.127643   ,  6.07753    ,  0.684786   ,  0.060541   ])
113578  , -1390.74    , array([ 0.978934   ,  0.127643   ,  5.45949    ,  0.684786   ,  0.060541   ])
113579  , -1402.37    , array([ 0.978934   ,  0.127643   ,  5.07753    ,  0.684786   ,  0.060541   ])
113580  , -1389.79    , array([ 0.978934   ,  0.127643   ,  5.61278    ,  0.684786   ,  0.060541   ])
113581  , -1389.79    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  0.684786   ,  0.060541   ])
113582  , -1389.79    , array([ 0.978934   ,  0.127643   ,  5.60343    ,  0.684786   ,  0.060541   ])
113583  , -1389.79    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  0.684786   ,  0.060541   ])
113584  , -1409.16    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.68479    ,  0.060541   ])
113586  , -1389.79    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  0.684786   ,  0.060541   ])
113587  , -1519.42    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  0.0667522  ,  0.060541   ])
113588  , -1368.29    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.06675    ,  0.060541   ])
113589  , -1368.34    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.05921    ,  0.060541   ])
113590  , -1368.22    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.08801    ,  0.060541   ])
113591  , -1368.22    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.09204    ,  0.060541   ])
113592  , -1368.23    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.08397    ,  0.060541   ])
113593  , -1368.22    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.08801    ,  0.060541   ])
113594  , -1370.96    , array([ 1.07151    ,  0.126493   ,  5.47378    ,  1.2281     ,  0.0610193  ])
113595  , -1418.42    , array([ 0.829142   ,  0.129503   ,  5.82551    ,  0.861333   ,  0.0597671  ])
113596  , -1368.22    , array([ 0.978934   ,  0.127643   ,  5.60813    ,  1.08801    ,  0.060541   ])
113597  , -1377.37    , array([ 0.921719   ,  0.128354   ,  5.69116    ,  1.00142    ,  0.0602454  ])
113598  , -1367.08    , array([ 1.0143     ,  0.127204   ,  5.55681    ,  1.14152    ,  0.0607237  ])
113599  , -1367.06    , array([ 1.00834    ,  0.127278   ,  5.56546    ,  1.1325     ,  0.0606929  ])
113600  , -1367.06    , array([ 1.01016    ,  0.127255   ,  5.56281    ,  1.13526    ,  0.0607023  ])
113601  , -1367.06    , array([ 1.00985    ,  0.127259   ,  5.56326    ,  1.13479    ,  0.0607007  ])
113602  , -1367.06    , array([ 1.01047    ,  0.127251   ,  5.56236    ,  1.13573    ,  0.0607039  ])
113603  , -1364.13    , array([ 1.13397    ,  0.124327   ,  4.91374    ,  1.72583    ,  0.0608773  ])
113604  , -1367.06    , array([ 1.01016    ,  0.127255   ,  5.56281    ,  1.13526    ,  0.0607023  ])
113605  , -1364.13    , array([ 1.13397    ,  0.124327   ,  4.91374    ,  1.72583    ,  0.0608773  ])
