36897   , -393.693    , array([ 2.85357    ,  0.0746199  ,  2.13106e-15,  0.217026   ])
36898   , -393.693    , array([ 2.85357    ,  0.0746199  ,  2.13106e-15,  0.217026   ])
36899   , -393.693    , array([ 2.85643    ,  0.0746199  ,  2.13106e-15,  0.217026   ])
36900   , -393.646    , array([ 2.85357    ,  0.0746945  ,  2.13106e-15,  0.217026   ])
36901   , -393.693    , array([ 2.85357    ,  0.0746199  ,  2.13319e-15,  0.217026   ])
36902   , -393.78     , array([ 2.85357    ,  0.0746199  ,  2.13106e-15,  0.217243   ])
36903   , -393.843    , array([ 2.85357    ,  0.0630931  ,  2.13106e-15,  0.195462   ])
36904   , -393.843    , array([ 2.85357    ,  0.0630931  ,  2.13106e-15,  0.195462   ])
36905   , -393.843    , array([ 2.85643    ,  0.0630931  ,  2.13106e-15,  0.195462   ])
36906   , -393.763    , array([ 2.85357    ,  0.0631562  ,  2.13106e-15,  0.195462   ])
36907   , -393.843    , array([ 2.85357    ,  0.0630931  ,  2.1332e-15 ,  0.195462   ])
36908   , -393.977    , array([ 2.85357    ,  0.0630931  ,  2.13106e-15,  0.195657   ])
36909   , -393.674    , array([ 2.85357    ,  0.0720451  ,  2.13106e-15,  0.212325   ])
36910   , -393.674    , array([ 2.85357    ,  0.0720451  ,  2.13106e-15,  0.212325   ])
36911   , -393.674    , array([ 2.85643    ,  0.0720451  ,  2.13106e-15,  0.212325   ])
36912   , -393.624    , array([ 2.85357    ,  0.0721172  ,  2.13106e-15,  0.212325   ])
36913   , -393.674    , array([ 2.85357    ,  0.0720451  ,  2.13319e-15,  0.212325   ])
36914   , -393.765    , array([ 2.85357    ,  0.0720451  ,  2.13106e-15,  0.212537   ])
36915   , -393.644    , array([ 2.85357    ,  0.0705651  ,  2.13106e-15,  0.209524   ])
36916   , -393.644    , array([ 2.85357    ,  0.0705651  ,  2.13106e-15,  0.209524   ])
36917   , -393.644    , array([ 2.85643    ,  0.0705651  ,  2.13106e-15,  0.209524   ])
36918   , -393.594    , array([ 2.85357    ,  0.0706357  ,  2.13106e-15,  0.209524   ])
36919   , -393.644    , array([ 2.85357    ,  0.0705651  ,  2.13319e-15,  0.209524   ])
36920   , -393.735    , array([ 2.85357    ,  0.0705651  ,  2.13106e-15,  0.209733   ])
36921   , -393.594    , array([ 2.85357    ,  0.064943   ,  2.13106e-15,  0.198685   ])
36922   , -393.594    , array([ 2.85357    ,  0.064943   ,  2.13106e-15,  0.198685   ])
