1613    , -53559.4    , array([ 0.0110329  ,  3.51127    ,  0.00751303 ,  0.0207478  ])
1620    , -53559.9    , array([ 0.0110328  ,  3.51128    ,  0.0075129  ,  0.0207272  ])
1621    , -53559.9    , array([ 0.0110328  ,  3.51128    ,  0.0075129  ,  0.0207272  ])
1622    , -53560.6    , array([ 0.0110438  ,  3.51128    ,  0.0075129  ,  0.0207272  ])
1623    , -53559.8    , array([ 0.0110328  ,  3.51479    ,  0.0075129  ,  0.0207272  ])
1624    , -53559.3    , array([ 0.0110328  ,  3.51128    ,  0.00752042 ,  0.0207272  ])
1625    , -53559.4    , array([ 0.0110328  ,  3.51128    ,  0.0075129  ,  0.0207479  ])
1626    , -53468.3    , array([ 0.00527482 ,  4.29725    ,  0.00345753 ,  0.0302672  ])
1627    , -53468.3    , array([ 0.00527482 ,  4.29725    ,  0.00345753 ,  0.0302672  ])
1628    , -53468.7    , array([ 0.0052801  ,  4.29725    ,  0.00345753 ,  0.0302672  ])
1629    , -53468.2    , array([ 0.00527482 ,  4.30155    ,  0.00345753 ,  0.0302672  ])
1630    , -53467.9    , array([ 0.00527482 ,  4.29725    ,  0.00346099 ,  0.0302672  ])
1631    , -53468.6    , array([ 0.00527482 ,  4.29725    ,  0.00345753 ,  0.0302975  ])
1632    , -53402.8    , array([ 0.00628449 ,  5.35746    ,  0.0045824  ,  0.0263386  ])
1633    , -53402.8    , array([ 0.00628449 ,  5.35746    ,  0.0045824  ,  0.0263386  ])
1634    , -53403      , array([ 0.00629078 ,  5.35746    ,  0.0045824  ,  0.0263386  ])
1635    , -53402.7    , array([ 0.00628449 ,  5.36282    ,  0.0045824  ,  0.0263386  ])
1636    , -53402.6    , array([ 0.00628449 ,  5.35746    ,  0.00458698 ,  0.0263386  ])
1637    , -53402.9    , array([ 0.00628449 ,  5.35746    ,  0.0045824  ,  0.026365   ])
1638    , -53362.6    , array([ 0.00596901 ,  9.82608    ,  0.00466535 ,  0.024957   ])
1639    , -53362.6    , array([ 0.00596901 ,  9.82608    ,  0.00466535 ,  0.024957   ])
1640    , -53362.6    , array([ 0.00597498 ,  9.82608    ,  0.00466535 ,  0.024957   ])
1641    , -53362.5    , array([ 0.00596901 ,  9.83591    ,  0.00466535 ,  0.024957   ])
1642    , -53362.5    , array([ 0.00596901 ,  9.82608    ,  0.00467002 ,  0.024957   ])
1643    , -53362.6    , array([ 0.00596901 ,  9.82608    ,  0.00466535 ,  0.0249819  ])
1644    , -53340.7    , array([ 0.00510065 ,  19.2845    ,  0.00407261 ,  0.0244635  ])
1645    , -53340.7    , array([ 0.00510065 ,  19.2845    ,  0.00407261 ,  0.0244635  ])
1646    , -53340.7    , array([ 0.00510576 ,  19.2845    ,  0.00407261 ,  0.0244635  ])
1647    , -53340.7    , array([ 0.00510065 ,  19.3038    ,  0.00407261 ,  0.0244635  ])
1648    , -53340.7    , array([ 0.00510065 ,  19.2845    ,  0.00407669 ,  0.0244635  ])
1649    , -53340.7    , array([ 0.00510065 ,  19.2845    ,  0.00407261 ,  0.0244879  ])
1650    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1651    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1652    , -53322.8    , array([ 0.00380278 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1653    , -53322.8    , array([ 0.00379898 ,  47.5872    ,  0.00304153 ,  0.0244079  ])
1654    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304457 ,  0.0244079  ])
1655    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244324  ])
1662    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1663    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1664    , -53322.8    , array([ 0.00380278 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1665    , -53322.8    , array([ 0.00379898 ,  47.5872    ,  0.00304153 ,  0.0244079  ])
1666    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304457 ,  0.0244079  ])
1667    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244324  ])
1674    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1675    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1676    , -53322.8    , array([ 0.00380278 ,  47.5397    ,  0.00304153 ,  0.0244079  ])
1677    , -53322.8    , array([ 0.00379898 ,  47.5872    ,  0.00304153 ,  0.0244079  ])
1678    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304457 ,  0.0244079  ])
1679    , -53322.8    , array([ 0.00379898 ,  47.5397    ,  0.00304153 ,  0.0244324  ])
1680    , -53316.1    , array([ 0.00316431 ,  77.8373    ,  0.00252557 ,  0.024463   ])
1681    , -53316.1    , array([ 0.00316431 ,  77.8373    ,  0.00252557 ,  0.024463   ])
1682    , -53316.1    , array([ 0.00316748 ,  77.8373    ,  0.00252557 ,  0.024463   ])
