148     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
149     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
150     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
153     , -23957.6    , array([ 0.00100091 ,  17.12      ,  0.00201127 ,  0.034168   ])
157     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
158     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
159     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
160     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
161     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
162     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
163     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
164     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
165     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
166     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
167     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
168     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
169     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
170     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
171     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
172     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
173     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
174     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
175     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
176     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
177     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
178     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
179     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
180     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
181     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
182     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
183     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
184     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
185     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
186     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
187     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
188     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
189     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
190     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
191     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
192     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
193     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
194     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
195     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
