267896  , -14234.9    , array([ 3.896      ,  0.00407092 ,  1.81776e-07,  6.03363e-39,  0.0032225  ])
267904  , -14206      , array([ 3.896      ,  0.00407089 ,  1.81776e-07,  6.03363e-39,  0.00321925 ])
267905  , -14206      , array([ 3.896      ,  0.00407089 ,  1.81776e-07,  6.03363e-39,  0.00321925 ])
267906  , -14206.1    , array([ 3.8999     ,  0.00407089 ,  1.81776e-07,  6.03363e-39,  0.00321925 ])
267907  , -14176.5    , array([ 3.896      ,  0.00407497 ,  1.81776e-07,  6.03363e-39,  0.00321925 ])
267908  , -14206      , array([ 3.896      ,  0.00407089 ,  1.81958e-07,  6.03363e-39,  0.00321925 ])
267909  , -14206      , array([ 3.896      ,  0.00407089 ,  1.81776e-07,  6.03966e-39,  0.00321925 ])
267910  , -14234.9    , array([ 3.896      ,  0.00407089 ,  1.81776e-07,  6.03363e-39,  0.00322247 ])
267911  , -14206      , array([ 3.896      ,  0.00407086 ,  1.81776e-07,  6.03363e-39,  0.00321923 ])
267912  , -14206      , array([ 3.896      ,  0.00407086 ,  1.81776e-07,  6.03363e-39,  0.00321923 ])
267913  , -14206.1    , array([ 3.8999     ,  0.00407086 ,  1.81776e-07,  6.03363e-39,  0.00321923 ])
267914  , -14176.5    , array([ 3.896      ,  0.00407493 ,  1.81776e-07,  6.03363e-39,  0.00321923 ])
267915  , -14206      , array([ 3.896      ,  0.00407086 ,  1.81958e-07,  6.03363e-39,  0.00321923 ])
267916  , -14206      , array([ 3.896      ,  0.00407086 ,  1.81776e-07,  6.03966e-39,  0.00321923 ])
267917  , -14234.9    , array([ 3.896      ,  0.00407086 ,  1.81776e-07,  6.03363e-39,  0.00322245 ])
267925  , -14206      , array([ 3.896      ,  0.00407085 ,  1.81776e-07,  6.03363e-39,  0.00321922 ])
267926  , -14206      , array([ 3.896      ,  0.00407085 ,  1.81776e-07,  6.03363e-39,  0.00321922 ])
267927  , -14206.1    , array([ 3.89989    ,  0.00407085 ,  1.81776e-07,  6.03363e-39,  0.00321922 ])
267928  , -14176.5    , array([ 3.896      ,  0.00407493 ,  1.81776e-07,  6.03363e-39,  0.00321922 ])
267929  , -14206      , array([ 3.896      ,  0.00407085 ,  1.81958e-07,  6.03363e-39,  0.00321922 ])
267930  , -14206      , array([ 3.896      ,  0.00407085 ,  1.81776e-07,  6.03966e-39,  0.00321922 ])
267931  , -14234.9    , array([ 3.896      ,  0.00407085 ,  1.81776e-07,  6.03363e-39,  0.00322244 ])
267932  , -14206      , array([ 3.896      ,  0.00407084 ,  1.81776e-07,  6.03363e-39,  0.00321921 ])
267933  , -14206      , array([ 3.896      ,  0.00407084 ,  1.81776e-07,  6.03363e-39,  0.00321921 ])
267934  , -14206.1    , array([ 3.89989    ,  0.00407084 ,  1.81776e-07,  6.03363e-39,  0.00321921 ])
267935  , -14176.5    , array([ 3.896      ,  0.00407492 ,  1.81776e-07,  6.03363e-39,  0.00321921 ])
267936  , -14206      , array([ 3.896      ,  0.00407084 ,  1.81958e-07,  6.03363e-39,  0.00321921 ])
267937  , -14206      , array([ 3.896      ,  0.00407084 ,  1.81776e-07,  6.03966e-39,  0.00321921 ])
267938  , -14234.9    , array([ 3.896      ,  0.00407084 ,  1.81776e-07,  6.03363e-39,  0.00322243 ])
267939  , -13740.4    , array([ 3.50023    ,  0.00165504 ,  1.81776e-07,  6.03363e-39,  0.00126885 ])
267940  , -13740.4    , array([ 3.50023    ,  0.00165504 ,  1.81776e-07,  6.03363e-39,  0.00126885 ])
267941  , -13740.4    , array([ 3.50373    ,  0.00165504 ,  1.81776e-07,  6.03363e-39,  0.00126885 ])
267942  , -13711.6    , array([ 3.50023    ,  0.00165669 ,  1.81776e-07,  6.03363e-39,  0.00126885 ])
267943  , -13740.4    , array([ 3.50023    ,  0.00165504 ,  1.81958e-07,  6.03363e-39,  0.00126885 ])
267944  , -13740.4    , array([ 3.50023    ,  0.00165504 ,  1.81776e-07,  6.03966e-39,  0.00126885 ])
267945  , -13768.9    , array([ 3.50023    ,  0.00165504 ,  1.81776e-07,  6.03363e-39,  0.00127011 ])
267946  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267947  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267948  , -13740.4    , array([ 3.50373    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267949  , -13711.6    , array([ 3.50023    ,  0.00165669 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267950  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81958e-07,  6.03363e-39,  0.00126884 ])
267951  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03966e-39,  0.00126884 ])
267952  , -13768.9    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00127011 ])
267953  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267954  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267955  , -13740.4    , array([ 3.50373    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267956  , -13711.6    , array([ 3.50023    ,  0.00165669 ,  1.81776e-07,  6.03363e-39,  0.00126884 ])
267957  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81958e-07,  6.03363e-39,  0.00126884 ])
267958  , -13740.4    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03966e-39,  0.00126884 ])
267959  , -13768.9    , array([ 3.50023    ,  0.00165503 ,  1.81776e-07,  6.03363e-39,  0.00127011 ])
267960  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267961  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267962  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267963  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267964  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
267965  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
267966  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
267967  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267968  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267969  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267970  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267971  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
267972  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
267973  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
267974  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267975  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267976  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267977  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267978  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
267979  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
267980  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
267988  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267989  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267990  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267991  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267992  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
267993  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
267994  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
267995  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267996  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267997  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267998  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
267999  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
268000  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
268001  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
268009  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268010  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268011  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268012  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268013  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
268014  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
268015  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
268016  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268017  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268018  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268019  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268020  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
268021  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
268022  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
268030  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268031  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268032  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268033  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268034  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
268035  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
268036  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
