54254   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54255   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54256   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54257   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54258   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54259   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54260   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54261   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54262   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54263   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54264   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54265   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54272   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54273   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54274   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54275   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54276   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54277   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54284   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54285   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54286   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54287   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54288   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54289   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54290   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54291   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54292   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54293   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54294   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54295   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54296   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54297   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54298   , -108.044    , array([ 0.189629   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54299   , -108.007    , array([ 0.189439   ,  99.711     ,  0.1516     ,  0.0174426  ])
54300   , -108.017    , array([ 0.189439   ,  99.6114    ,  0.151752   ,  0.0174426  ])
54301   , -108.011    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174601  ])
54308   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54309   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54310   , -108.044    , array([ 0.189629   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54311   , -108.007    , array([ 0.189439   ,  99.711     ,  0.1516     ,  0.0174426  ])
54312   , -108.017    , array([ 0.189439   ,  99.6114    ,  0.151752   ,  0.0174426  ])
54313   , -108.011    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174601  ])
54314   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54315   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54316   , -108.044    , array([ 0.189629   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54317   , -108.007    , array([ 0.189439   ,  99.711     ,  0.1516     ,  0.0174426  ])
54318   , -108.017    , array([ 0.189439   ,  99.6114    ,  0.151752   ,  0.0174426  ])
54319   , -108.011    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174601  ])
54320   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54321   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54322   , -108.044    , array([ 0.189629   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54323   , -108.007    , array([ 0.189439   ,  99.711     ,  0.1516     ,  0.0174426  ])
54324   , -108.017    , array([ 0.189439   ,  99.6114    ,  0.151752   ,  0.0174426  ])
54325   , -108.011    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174601  ])
54326   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54327   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54328   , -108.044    , array([ 0.189629   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54329   , -108.007    , array([ 0.189439   ,  99.711     ,  0.1516     ,  0.0174426  ])
54330   , -108.017    , array([ 0.189439   ,  99.6114    ,  0.151752   ,  0.0174426  ])
54331   , -108.011    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174601  ])
54332   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54333   , -108.007    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54334   , -108.044    , array([ 0.189629   ,  99.6114    ,  0.1516     ,  0.0174426  ])
54335   , -108.007    , array([ 0.189439   ,  99.711     ,  0.1516     ,  0.0174426  ])
54336   , -108.017    , array([ 0.189439   ,  99.6114    ,  0.151752   ,  0.0174426  ])
54337   , -108.011    , array([ 0.189439   ,  99.6114    ,  0.1516     ,  0.0174601  ])
54341   , -108.057    , array([ 0.189631   ,  99.1981    ,  0.15186    ,  0.0174196  ])
54342   , -108.057    , array([ 0.189631   ,  99.1981    ,  0.15186    ,  0.0174196  ])
54343   , -108.095    , array([ 0.18982    ,  99.1981    ,  0.15186    ,  0.0174196  ])
54344   , -108.057    , array([ 0.189631   ,  99.2973    ,  0.15186    ,  0.0174196  ])
54345   , -108.067    , array([ 0.189631   ,  99.1981    ,  0.152012   ,  0.0174196  ])
54346   , -108.06     , array([ 0.189631   ,  99.1981    ,  0.15186    ,  0.017437   ])
54347   , -107.979    , array([ 0.189332   ,  99.8446    ,  0.151454   ,  0.0174556  ])
54348   , -107.979    , array([ 0.189332   ,  99.8446    ,  0.151454   ,  0.0174556  ])
54349   , -108.016    , array([ 0.189521   ,  99.8446    ,  0.151454   ,  0.0174556  ])
54350   , -107.979    , array([ 0.189332   ,  99.9445    ,  0.151454   ,  0.0174556  ])
54351   , -107.99     , array([ 0.189332   ,  99.8446    ,  0.151606   ,  0.0174556  ])
54352   , -107.983    , array([ 0.189332   ,  99.8446    ,  0.151454   ,  0.0174731  ])
54355   , -107.969    , array([ 0.189294   ,  99.9257    ,  0.151403   ,  0.0174601  ])
54356   , -107.969    , array([ 0.189294   ,  99.9257    ,  0.151403   ,  0.0174601  ])
54357   , -108.006    , array([ 0.189484   ,  99.9257    ,  0.151403   ,  0.0174601  ])
54359   , -107.98     , array([ 0.189294   ,  99.9257    ,  0.151555   ,  0.0174601  ])
54360   , -107.974    , array([ 0.189294   ,  99.9257    ,  0.151403   ,  0.0174776  ])
54361   , -107.974    , array([ 0.189314   ,  99.882     ,  0.151431   ,  0.0174577  ])
54362   , -107.971    , array([ 0.189303   ,  99.9075    ,  0.151415   ,  0.0174591  ])
54363   , -107.97     , array([ 0.189298   ,  99.9178    ,  0.151408   ,  0.0174597  ])
54364   , -107.97     , array([ 0.189296   ,  99.9223    ,  0.151405   ,  0.0174599  ])
