183418  , -4319.45    , array([ 0.715288   ,  0.178104   ,  7.68827e-51,  9.61978e-08,  0.0626543  ])
183419  , -4314.73    , array([ 0.716004   ,  0.178104   ,  7.68827e-51,  9.61978e-08,  0.0626543  ])
183420  , -4320.36    , array([ 0.715288   ,  0.178282   ,  7.68827e-51,  9.61978e-08,  0.0626543  ])
183421  , -4319.45    , array([ 0.715288   ,  0.178104   ,  7.69597e-51,  9.61978e-08,  0.0626543  ])
183422  , -4319.45    , array([ 0.715288   ,  0.178104   ,  7.68827e-51,  9.62941e-08,  0.0626543  ])
183423  , -4324.13    , array([ 0.715288   ,  0.178104   ,  7.68827e-51,  9.61978e-08,  0.062717   ])
183424  , -2610.49    , array([ 0.761978   ,  0.120286   ,  7.68827e-51,  9.00903e-09,  0.042856   ])
183425  , -2610.49    , array([ 0.761978   ,  0.120286   ,  7.68827e-51,  9.00903e-09,  0.042856   ])
183426  , -2608.21    , array([ 0.762741   ,  0.120286   ,  7.68827e-51,  9.00903e-09,  0.042856   ])
183427  , -2610.76    , array([ 0.761978   ,  0.120406   ,  7.68827e-51,  9.00903e-09,  0.042856   ])
183428  , -2610.49    , array([ 0.761978   ,  0.120286   ,  7.69597e-51,  9.00903e-09,  0.042856   ])
183429  , -2610.49    , array([ 0.761978   ,  0.120286   ,  7.68827e-51,  9.01804e-09,  0.042856   ])
183430  , -2612.8     , array([ 0.761978   ,  0.120286   ,  7.68827e-51,  9.00903e-09,  0.0428988  ])
183431  , -1948.46    , array([ 0.826269   ,  0.0889648  ,  7.68827e-51,  1.15956e-09,  0.0314362  ])
183432  , -1948.46    , array([ 0.826269   ,  0.0889648  ,  7.68827e-51,  1.15956e-09,  0.0314362  ])
183433  , -1947.39    , array([ 0.827096   ,  0.0889648  ,  7.68827e-51,  1.15956e-09,  0.0314362  ])
183434  , -1948.79    , array([ 0.826269   ,  0.0890538  ,  7.68827e-51,  1.15956e-09,  0.0314362  ])
183435  , -1948.46    , array([ 0.826269   ,  0.0889648  ,  7.69597e-51,  1.15956e-09,  0.0314362  ])
183436  , -1948.46    , array([ 0.826269   ,  0.0889648  ,  7.68827e-51,  1.16072e-09,  0.0314362  ])
183437  , -1949.19    , array([ 0.826269   ,  0.0889648  ,  7.68827e-51,  1.15956e-09,  0.0314677  ])
183438  , -1743.59    , array([ 0.896114   ,  0.0710578  ,  7.68827e-51,  2.27731e-10,  0.025514   ])
183439  , -1743.59    , array([ 0.896114   ,  0.0710578  ,  7.68827e-51,  2.27731e-10,  0.025514   ])
183440  , -1743.05    , array([ 0.897011   ,  0.0710578  ,  7.68827e-51,  2.27731e-10,  0.025514   ])
183441  , -1743.38    , array([ 0.896114   ,  0.0711289  ,  7.68827e-51,  2.27731e-10,  0.025514   ])
183442  , -1743.59    , array([ 0.896114   ,  0.0710578  ,  7.69597e-51,  2.27731e-10,  0.025514   ])
183443  , -1743.59    , array([ 0.896114   ,  0.0710578  ,  7.68827e-51,  2.27958e-10,  0.025514   ])
183444  , -1744.19    , array([ 0.896114   ,  0.0710578  ,  7.68827e-51,  2.27731e-10,  0.0255395  ])
183445  , -1683.18    , array([ 0.983844   ,  0.0639481  ,  7.68827e-51,  7.15002e-11,  0.022404   ])
183446  , -1683.18    , array([ 0.983844   ,  0.0639481  ,  7.68827e-51,  7.15002e-11,  0.022404   ])
183447  , -1682.91    , array([ 0.984828   ,  0.0639481  ,  7.68827e-51,  7.15002e-11,  0.022404   ])
183448  , -1683.65    , array([ 0.983844   ,  0.0640121  ,  7.68827e-51,  7.15002e-11,  0.022404   ])
183449  , -1683.18    , array([ 0.983844   ,  0.0639481  ,  7.69597e-51,  7.15002e-11,  0.022404   ])
183450  , -1683.18    , array([ 0.983844   ,  0.0639481  ,  7.68827e-51,  7.15717e-11,  0.022404   ])
183451  , -1682.79    , array([ 0.983844   ,  0.0639481  ,  7.68827e-51,  7.15002e-11,  0.0224264  ])
183452  , -1665.46    , array([ 1.06296    ,  0.0584984  ,  7.68827e-51,  2.88753e-11,  0.0209762  ])
183453  , -1665.46    , array([ 1.06296    ,  0.0584984  ,  7.68827e-51,  2.88753e-11,  0.0209762  ])
183454  , -1665.3     , array([ 1.06403    ,  0.0584984  ,  7.68827e-51,  2.88753e-11,  0.0209762  ])
183455  , -1665.23    , array([ 1.06296    ,  0.058557   ,  7.68827e-51,  2.88753e-11,  0.0209762  ])
183456  , -1665.46    , array([ 1.06296    ,  0.0584984  ,  7.69597e-51,  2.88753e-11,  0.0209762  ])
183457  , -1665.46    , array([ 1.06296    ,  0.0584984  ,  7.68827e-51,  2.89042e-11,  0.0209762  ])
183458  , -1665.62    , array([ 1.06296    ,  0.0584984  ,  7.68827e-51,  2.88753e-11,  0.0209972  ])
183459  , -1657.3     , array([ 1.12542    ,  0.0586664  ,  7.68827e-51,  2.02678e-11,  0.020922   ])
183460  , -1657.3     , array([ 1.12542    ,  0.0586664  ,  7.68827e-51,  2.02678e-11,  0.020922   ])
183461  , -1657.19    , array([ 1.12654    ,  0.0586664  ,  7.68827e-51,  2.02678e-11,  0.020922   ])
183462  , -1657.26    , array([ 1.12542    ,  0.0587251  ,  7.68827e-51,  2.02678e-11,  0.020922   ])
183463  , -1657.3     , array([ 1.12542    ,  0.0586664  ,  7.69597e-51,  2.02678e-11,  0.020922   ])
183464  , -1657.3     , array([ 1.12542    ,  0.0586664  ,  7.68827e-51,  2.02881e-11,  0.020922   ])
183465  , -1657.26    , array([ 1.12542    ,  0.0586664  ,  7.68827e-51,  2.02678e-11,  0.0209429  ])
183466  , -1644.25    , array([ 1.27047    ,  0.0609838  ,  7.68827e-51,  1.14025e-11,  0.021667   ])
183467  , -1644.25    , array([ 1.27047    ,  0.0609838  ,  7.68827e-51,  1.14025e-11,  0.021667   ])
