110     , -57757.6    , array([ 0.00456723 ,  0.0024157  ,  0.000339991,  2.94557e-50,  4.06969e-05])
111     , -57757.6    , array([ 0.00456723 ,  0.0024157  ,  0.000339651,  2.94852e-50,  4.06969e-05])
112     , -57740.8    , array([ 0.00456723 ,  0.0024157  ,  0.000339651,  2.94557e-50,  4.07376e-05])
113     , -29153      , array([ 0.00312101 ,  0.00150221 ,  0.000339651,  2.94557e-50,  9.59411e-05])
114     , -29153      , array([ 0.00312101 ,  0.00150221 ,  0.000339651,  2.94557e-50,  9.59411e-05])
115     , -29155.3    , array([ 0.00312413 ,  0.00150221 ,  0.000339651,  2.94557e-50,  9.59411e-05])
116     , -29174.1    , array([ 0.00312101 ,  0.00150371 ,  0.000339651,  2.94557e-50,  9.59411e-05])
117     , -29153      , array([ 0.00312101 ,  0.00150221 ,  0.000339991,  2.94557e-50,  9.59411e-05])
118     , -29153      , array([ 0.00312101 ,  0.00150221 ,  0.000339651,  2.94852e-50,  9.59411e-05])
119     , -29129.5    , array([ 0.00312101 ,  0.00150221 ,  0.000339651,  2.94557e-50,  9.60371e-05])
120     , -29151.4    , array([ 0.00312095 ,  0.00150217 ,  0.000339651,  2.94557e-50,  9.59454e-05])
121     , -29151.4    , array([ 0.00312095 ,  0.00150217 ,  0.000339651,  2.94557e-50,  9.59454e-05])
122     , -29153.7    , array([ 0.00312407 ,  0.00150217 ,  0.000339651,  2.94557e-50,  9.59454e-05])
123     , -29172.5    , array([ 0.00312095 ,  0.00150367 ,  0.000339651,  2.94557e-50,  9.59454e-05])
124     , -29151.4    , array([ 0.00312095 ,  0.00150217 ,  0.000339991,  2.94557e-50,  9.59454e-05])
125     , -29151.4    , array([ 0.00312095 ,  0.00150217 ,  0.000339651,  2.94852e-50,  9.59454e-05])
126     , -29127.9    , array([ 0.00312095 ,  0.00150217 ,  0.000339651,  2.94557e-50,  9.60414e-05])
127     , -29083      , array([ 0.00311833 ,  0.0015006  ,  0.000339651,  2.94557e-50,  9.61266e-05])
128     , -29083      , array([ 0.00311833 ,  0.0015006  ,  0.000339651,  2.94557e-50,  9.61266e-05])
129     , -29085.3    , array([ 0.00312145 ,  0.0015006  ,  0.000339651,  2.94557e-50,  9.61266e-05])
130     , -29104.1    , array([ 0.00311833 ,  0.0015021  ,  0.000339651,  2.94557e-50,  9.61266e-05])
131     , -29083      , array([ 0.00311833 ,  0.0015006  ,  0.000339991,  2.94557e-50,  9.61266e-05])
132     , -29083      , array([ 0.00311833 ,  0.0015006  ,  0.000339651,  2.94852e-50,  9.61266e-05])
133     , -29059.5    , array([ 0.00311833 ,  0.0015006  ,  0.000339651,  2.94557e-50,  9.62228e-05])
134     , -15575.8    , array([ 0.00257887 ,  0.00118397 ,  0.000339651,  2.94557e-50,  0.00014745 ])
135     , -15575.8    , array([ 0.00257887 ,  0.00118397 ,  0.000339651,  2.94557e-50,  0.00014745 ])
136     , -15573.1    , array([ 0.00258145 ,  0.00118397 ,  0.000339651,  2.94557e-50,  0.00014745 ])
137     , -15594.1    , array([ 0.00257887 ,  0.00118516 ,  0.000339651,  2.94557e-50,  0.00014745 ])
138     , -15575.8    , array([ 0.00257887 ,  0.00118397 ,  0.000339991,  2.94557e-50,  0.00014745 ])
139     , -15575.8    , array([ 0.00257887 ,  0.00118397 ,  0.000339651,  2.94852e-50,  0.00014745 ])
140     , -15560.3    , array([ 0.00257887 ,  0.00118397 ,  0.000339651,  2.94557e-50,  0.000147598])
141     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
142     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
143     , -10759.8    , array([ 0.00227729 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
144     , -10780.2    , array([ 0.00227501 ,  0.00101355 ,  0.000339651,  2.94557e-50,  0.000195558])
145     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339991,  2.94557e-50,  0.000195558])
146     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94852e-50,  0.000195558])
147     , -10762.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195754])
155     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
156     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
157     , -10759.8    , array([ 0.00227729 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
158     , -10780.2    , array([ 0.00227501 ,  0.00101355 ,  0.000339651,  2.94557e-50,  0.000195558])
159     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339991,  2.94557e-50,  0.000195558])
160     , -10767.5    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94852e-50,  0.000195558])
161     , -10762.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195754])
162     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
163     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
164     , -10759.8    , array([ 0.00227729 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
165     , -10780.2    , array([ 0.00227501 ,  0.00101355 ,  0.000339651,  2.94557e-50,  0.000195558])
166     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339991,  2.94557e-50,  0.000195558])
167     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94852e-50,  0.000195558])
168     , -10762.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195754])
176     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
177     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
178     , -10759.8    , array([ 0.00227729 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
179     , -10780.2    , array([ 0.00227501 ,  0.00101355 ,  0.000339651,  2.94557e-50,  0.000195558])
180     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339991,  2.94557e-50,  0.000195558])
181     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94852e-50,  0.000195558])
182     , -10762.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195754])
183     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
184     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
185     , -10759.8    , array([ 0.00227729 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195558])
186     , -10780.2    , array([ 0.00227501 ,  0.00101355 ,  0.000339651,  2.94557e-50,  0.000195558])
187     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339991,  2.94557e-50,  0.000195558])
188     , -10767.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94852e-50,  0.000195558])
189     , -10762.4    , array([ 0.00227501 ,  0.00101254 ,  0.000339651,  2.94557e-50,  0.000195754])
193     , -10588.3    , array([ 0.0022509  ,  0.00100016 ,  0.000339651,  2.94557e-50,  0.000200309])
197     , -10705.4    , array([ 0.00226766 ,  0.00100845 ,  0.000339651,  2.94557e-50,  0.00019699 ])
198     , -10705.4    , array([ 0.00226766 ,  0.00100845 ,  0.000339651,  2.94557e-50,  0.00019699 ])
199     , -10697.6    , array([ 0.00226993 ,  0.00100845 ,  0.000339651,  2.94557e-50,  0.00019699 ])
200     , -10717.9    , array([ 0.00226766 ,  0.00100946 ,  0.000339651,  2.94557e-50,  0.00019699 ])
