1485    , -1421.55    , array([ 0.813336   ,  0.0851486  ,  4.58148    ,  4.87717    ,  0.048642   ])
1486    , -1421.9     , array([ 0.813336   ,  0.0851486  ,  4.5769     ,  4.88205    ,  0.048642   ])
1487    , -1422       , array([ 0.813336   ,  0.0851486  ,  4.5769     ,  4.87717    ,  0.0486906  ])
1495    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.5769     ,  4.87716    ,  0.048642   ])
1496    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.5769     ,  4.87716    ,  0.048642   ])
1497    , -1421.2     , array([ 0.81415    ,  0.0851487  ,  4.5769     ,  4.87716    ,  0.048642   ])
1498    , -1421.67    , array([ 0.813336   ,  0.0852338  ,  4.5769     ,  4.87716    ,  0.048642   ])
1499    , -1421.55    , array([ 0.813336   ,  0.0851487  ,  4.58148    ,  4.87716    ,  0.048642   ])
1500    , -1421.9     , array([ 0.813336   ,  0.0851487  ,  4.5769     ,  4.88204    ,  0.048642   ])
1501    , -1422       , array([ 0.813336   ,  0.0851487  ,  4.5769     ,  4.87716    ,  0.0486907  ])
1502    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1503    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1504    , -1421.2     , array([ 0.81415    ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1505    , -1421.67    , array([ 0.813336   ,  0.0852339  ,  4.57691    ,  4.87716    ,  0.048642   ])
1506    , -1421.55    , array([ 0.813336   ,  0.0851487  ,  4.58149    ,  4.87716    ,  0.048642   ])
1507    , -1421.9     , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.88204    ,  0.048642   ])
1508    , -1422       , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.0486907  ])
1516    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1517    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1518    , -1421.2     , array([ 0.81415    ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1519    , -1421.67    , array([ 0.813336   ,  0.0852339  ,  4.57691    ,  4.87716    ,  0.048642   ])
1520    , -1421.55    , array([ 0.813336   ,  0.0851487  ,  4.58149    ,  4.87716    ,  0.048642   ])
1521    , -1421.9     , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.88204    ,  0.048642   ])
1522    , -1422       , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.0486907  ])
1523    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
