11052   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11053   , -1982.44    , array([ 0.00104274 ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11054   , -1982.21    , array([ 0.0010417  ,  1.19835    ,  2.8131e-05 ,  7.8957e-31 ])
11055   , -1981.98    , array([ 0.0010417  ,  1.19715    ,  2.81592e-05,  7.8957e-31 ])
11056   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.9036e-31 ])
11057   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11058   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11059   , -1971.29    , array([ 0.00101726 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11060   , -1971.05    , array([ 0.00101625 ,  1.19835    ,  2.88074e-05,  7.8957e-31 ])
11061   , -1970.82    , array([ 0.00101625 ,  1.19715    ,  2.88362e-05,  7.8957e-31 ])
11062   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.9036e-31 ])
11063   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11064   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11065   , -1971.29    , array([ 0.00101726 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11066   , -1971.05    , array([ 0.00101625 ,  1.19835    ,  2.88074e-05,  7.8957e-31 ])
11067   , -1970.82    , array([ 0.00101625 ,  1.19715    ,  2.88362e-05,  7.8957e-31 ])
11068   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.9036e-31 ])
11069   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11070   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11071   , -1971.29    , array([ 0.00101726 ,  1.19715    ,  2.88074e-05,  7.8957e-31 ])
11072   , -1971.05    , array([ 0.00101625 ,  1.19835    ,  2.88074e-05,  7.8957e-31 ])
11073   , -1970.82    , array([ 0.00101625 ,  1.19715    ,  2.88362e-05,  7.8957e-31 ])
11074   , -1971.05    , array([ 0.00101625 ,  1.19715    ,  2.88074e-05,  7.9036e-31 ])
11075   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11076   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11077   , -1965.69    , array([ 0.00100476 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11078   , -1965.46    , array([ 0.00100375 ,  1.19835    ,  2.91516e-05,  7.8957e-31 ])
11079   , -1965.23    , array([ 0.00100375 ,  1.19715    ,  2.91808e-05,  7.8957e-31 ])
11080   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.9036e-31 ])
11081   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11082   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11083   , -1965.69    , array([ 0.00100476 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11084   , -1965.46    , array([ 0.00100375 ,  1.19835    ,  2.91516e-05,  7.8957e-31 ])
11085   , -1965.23    , array([ 0.00100375 ,  1.19715    ,  2.91808e-05,  7.8957e-31 ])
11086   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.9036e-31 ])
11087   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11088   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11089   , -1965.69    , array([ 0.00100476 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11090   , -1965.46    , array([ 0.00100375 ,  1.19835    ,  2.91516e-05,  7.8957e-31 ])
11091   , -1965.23    , array([ 0.00100375 ,  1.19715    ,  2.91808e-05,  7.8957e-31 ])
11092   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.9036e-31 ])
11099   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11100   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11101   , -1965.69    , array([ 0.00100476 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11102   , -1965.46    , array([ 0.00100375 ,  1.19835    ,  2.91516e-05,  7.8957e-31 ])
11103   , -1965.23    , array([ 0.00100375 ,  1.19715    ,  2.91808e-05,  7.8957e-31 ])
11104   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.9036e-31 ])
11105   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11106   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11107   , -1965.69    , array([ 0.00100476 ,  1.19715    ,  2.91516e-05,  7.8957e-31 ])
11108   , -1965.46    , array([ 0.00100375 ,  1.19835    ,  2.91516e-05,  7.8957e-31 ])
11109   , -1965.23    , array([ 0.00100375 ,  1.19715    ,  2.91808e-05,  7.8957e-31 ])
11110   , -1965.46    , array([ 0.00100375 ,  1.19715    ,  2.91516e-05,  7.9036e-31 ])
11111   , -1964.06    , array([ 0.00100065 ,  1.19715    ,  2.92383e-05,  7.8957e-31 ])
