42820   , -2336.8     , array([ 1.91741    ,  0.322501   ,  2.10819e-09,  1.3252e-41 ])
42821   , -2336.8     , array([ 1.91549    ,  0.322824   ,  2.10819e-09,  1.3252e-41 ])
42822   , -2336.8     , array([ 1.91549    ,  0.322501   ,  2.1103e-09 ,  1.3252e-41 ])
42823   , -2336.8     , array([ 1.91549    ,  0.322501   ,  2.10819e-09,  1.32652e-41])
42824   , -2336.8     , array([ 1.73038    ,  0.322501   ,  1.13814e-09,  1.3252e-41 ])
42825   , -2336.8     , array([ 1.73038    ,  0.322501   ,  1.13814e-09,  1.3252e-41 ])
42826   , -2336.8     , array([ 1.73211    ,  0.322501   ,  1.13814e-09,  1.3252e-41 ])
42827   , -2336.8     , array([ 1.73038    ,  0.322824   ,  1.13814e-09,  1.3252e-41 ])
42828   , -2336.8     , array([ 1.73038    ,  0.322501   ,  1.13928e-09,  1.3252e-41 ])
42829   , -2336.8     , array([ 1.73038    ,  0.322501   ,  1.13814e-09,  1.32652e-41])
42830   , -2336.8     , array([ 1.56446    ,  0.322501   ,  6.17583e-10,  1.3252e-41 ])
42831   , -2336.8     , array([ 1.56446    ,  0.322501   ,  6.17583e-10,  1.3252e-41 ])
42832   , -2336.8     , array([ 1.56603    ,  0.322501   ,  6.17583e-10,  1.3252e-41 ])
42833   , -2336.8     , array([ 1.56446    ,  0.322824   ,  6.17583e-10,  1.3252e-41 ])
42834   , -2336.8     , array([ 1.56446    ,  0.322501   ,  6.18201e-10,  1.3252e-41 ])
42835   , -2336.8     , array([ 1.56446    ,  0.322501   ,  6.17583e-10,  1.32652e-41])
