22272   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17905e-49,  1.99825e-15,  0.0215186  ])
22273   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  2.00025e-15,  0.0215186  ])
22274   , -1928.96    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215402  ])
22282   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22283   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22284   , -1928.63    , array([ 99.2778    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22285   , -1928.43    , array([ 99.1786    ,  0.0591664  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22286   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17905e-49,  1.99825e-15,  0.0215186  ])
22287   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  2.00025e-15,  0.0215186  ])
22288   , -1928.96    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215402  ])
22296   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22297   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22298   , -1928.63    , array([ 99.2778    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22299   , -1928.43    , array([ 99.1786    ,  0.0591664  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22300   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17905e-49,  1.99825e-15,  0.0215186  ])
22301   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  2.00025e-15,  0.0215186  ])
22302   , -1928.96    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215402  ])
22310   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22311   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22312   , -1928.63    , array([ 99.2778    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22313   , -1928.43    , array([ 99.1786    ,  0.0591664  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22314   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17905e-49,  1.99825e-15,  0.0215186  ])
22315   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  2.00025e-15,  0.0215186  ])
22316   , -1928.96    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215402  ])
22317   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22318   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22319   , -1927.78    , array([ 99.8546    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22320   , -1927.59    , array([ 99.7548    ,  0.0588236  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22321   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17905e-49,  1.99825e-15,  0.0213813  ])
22322   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  2.00025e-15,  0.0213813  ])
22323   , -1928.1     , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0214027  ])
22324   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22325   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22327   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22328   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22329   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22330   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22331   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22332   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22333   , -1927.78    , array([ 99.8546    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22334   , -1927.59    , array([ 99.7548    ,  0.0588236  ,  7.17187e-49,  1.99825e-15,  0.0213813  ])
22335   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17905e-49,  1.99825e-15,  0.0213813  ])
22336   , -1927.77    , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  2.00025e-15,  0.0213813  ])
22337   , -1928.1     , array([ 99.7548    ,  0.0587648  ,  7.17187e-49,  1.99825e-15,  0.0214027  ])
22338   , -1927.59    , array([ 99.8859    ,  0.0586875  ,  7.17187e-49,  1.99825e-15,  0.0213503  ])
22339   , -1927.59    , array([ 99.8859    ,  0.0586875  ,  7.17187e-49,  1.99825e-15,  0.0213503  ])
22340   , -1927.59    , array([ 99.9858    ,  0.0586875  ,  7.17187e-49,  1.99825e-15,  0.0213503  ])
22341   , -1927.41    , array([ 99.8859    ,  0.0587462  ,  7.17187e-49,  1.99825e-15,  0.0213503  ])
22342   , -1927.59    , array([ 99.8859    ,  0.0586875  ,  7.17905e-49,  1.99825e-15,  0.0213503  ])
22343   , -1927.59    , array([ 99.8859    ,  0.0586875  ,  7.17187e-49,  2.00025e-15,  0.0213503  ])
22344   , -1927.91    , array([ 99.8859    ,  0.0586875  ,  7.17187e-49,  1.99825e-15,  0.0213717  ])
22345   , -1927.53    , array([ 99.9296    ,  0.0586617  ,  7.17187e-49,  1.99825e-15,  0.02134    ])
22346   , -1927.53    , array([ 99.9296    ,  0.0586617  ,  7.17187e-49,  1.99825e-15,  0.02134    ])
22348   , -1927.35    , array([ 99.9296    ,  0.0587204  ,  7.17187e-49,  1.99825e-15,  0.02134    ])
22349   , -1927.53    , array([ 99.9296    ,  0.0586617  ,  7.17905e-49,  1.99825e-15,  0.02134    ])
22350   , -1927.53    , array([ 99.9296    ,  0.0586617  ,  7.17187e-49,  2.00025e-15,  0.02134    ])
22351   , -1927.84    , array([ 99.9296    ,  0.0586617  ,  7.17187e-49,  1.99825e-15,  0.0213614  ])
22352   , -1927.5     , array([ 99.9469    ,  0.0586516  ,  7.17187e-49,  1.99825e-15,  0.0213359  ])
22353   , -1927.5     , array([ 99.9469    ,  0.0586516  ,  7.17187e-49,  1.99825e-15,  0.0213359  ])
22355   , -1927.33    , array([ 99.9469    ,  0.0587103  ,  7.17187e-49,  1.99825e-15,  0.0213359  ])
22356   , -1927.5     , array([ 99.9469    ,  0.0586516  ,  7.17905e-49,  1.99825e-15,  0.0213359  ])
22357   , -1927.5     , array([ 99.9469    ,  0.0586516  ,  7.17187e-49,  2.00025e-15,  0.0213359  ])
22358   , -1927.82    , array([ 99.9469    ,  0.0586516  ,  7.17187e-49,  1.99825e-15,  0.0213573  ])
22359   , -1927.5     , array([ 99.9505    ,  0.0586494  ,  7.17187e-49,  1.99825e-15,  0.0213351  ])
22360   , -1927.5     , array([ 99.9505    ,  0.0586494  ,  7.17187e-49,  1.99825e-15,  0.0213351  ])
22362   , -1927.33    , array([ 99.9505    ,  0.0587081  ,  7.17187e-49,  1.99825e-15,  0.0213351  ])
22363   , -1927.5     , array([ 99.9505    ,  0.0586494  ,  7.17905e-49,  1.99825e-15,  0.0213351  ])
22364   , -1927.5     , array([ 99.9505    ,  0.0586494  ,  7.17187e-49,  2.00025e-15,  0.0213351  ])
22365   , -1927.81    , array([ 99.9505    ,  0.0586494  ,  7.17187e-49,  1.99825e-15,  0.0213564  ])
22366   , -1927.5     , array([ 99.9513    ,  0.058649   ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22367   , -1927.5     , array([ 99.9513    ,  0.058649   ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22369   , -1927.32    , array([ 99.9513    ,  0.0587077  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22370   , -1927.5     , array([ 99.9513    ,  0.058649   ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22371   , -1927.5     , array([ 99.9513    ,  0.058649   ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22372   , -1927.81    , array([ 99.9513    ,  0.058649   ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22373   , -1927.5     , array([ 99.9514    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22374   , -1927.5     , array([ 99.9514    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22376   , -1927.32    , array([ 99.9514    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22377   , -1927.5     , array([ 99.9514    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22378   , -1927.5     , array([ 99.9514    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22379   , -1927.81    , array([ 99.9514    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22380   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22381   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22383   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22384   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22385   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22386   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22387   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22388   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22390   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22391   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22392   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22393   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22394   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22395   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22397   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22398   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22399   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22400   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22401   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22402   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22404   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22405   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22406   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22407   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22408   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22409   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22411   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22412   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22413   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22414   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22415   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22416   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22418   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22419   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
22420   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  2.00025e-15,  0.0213349  ])
22421   , -1927.81    , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213562  ])
22422   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22423   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22425   , -1927.32    , array([ 99.9515    ,  0.0587076  ,  7.17187e-49,  1.99825e-15,  0.0213349  ])
22426   , -1927.5     , array([ 99.9515    ,  0.0586489  ,  7.17905e-49,  1.99825e-15,  0.0213349  ])
