5132    , -1770.6     , array([ 4.83561    ,  0.0276585  ,  5.1334e-55 ,  0.00241809 ])
5133    , -1770.59    , array([ 4.83077    ,  0.0276861  ,  5.1334e-55 ,  0.00241809 ])
5134    , -1770.6     , array([ 4.83077    ,  0.0276585  ,  5.13854e-55,  0.00241809 ])
5135    , -1770.59    , array([ 4.83077    ,  0.0276585  ,  5.1334e-55 ,  0.00242051 ])
5136    , -1750.68    , array([ 4.83077    ,  0.0450209  ,  5.1334e-55 ,  0.00412149 ])
5137    , -1750.68    , array([ 4.83077    ,  0.0450209  ,  5.1334e-55 ,  0.00412149 ])
5138    , -1750.68    , array([ 4.83561    ,  0.0450209  ,  5.1334e-55 ,  0.00412149 ])
5139    , -1750.67    , array([ 4.83077    ,  0.0450659  ,  5.1334e-55 ,  0.00412149 ])
5140    , -1750.68    , array([ 4.83077    ,  0.0450209  ,  5.13854e-55,  0.00412149 ])
5141    , -1750.64    , array([ 4.83077    ,  0.0450209  ,  5.1334e-55 ,  0.00412561 ])
5142    , -1555.78    , array([ 4.83077    ,  0.316052   ,  5.1334e-55 ,  0.034784   ])
5143    , -1555.78    , array([ 4.83077    ,  0.316052   ,  5.1334e-55 ,  0.034784   ])
5144    , -1555.78    , array([ 4.83561    ,  0.316052   ,  5.1334e-55 ,  0.034784   ])
5145    , -1556.29    , array([ 4.83077    ,  0.316368   ,  5.1334e-55 ,  0.034784   ])
5146    , -1555.78    , array([ 4.83077    ,  0.316052   ,  5.13854e-55,  0.034784   ])
5147    , -1555.29    , array([ 4.83077    ,  0.316052   ,  5.1334e-55 ,  0.0348188  ])
5148    , -6673.48    , array([ 4.83077    ,  2.69611    ,  5.1334e-55 ,  0.363361   ])
5149    , -6673.48    , array([ 4.83077    ,  2.69611    ,  5.1334e-55 ,  0.363361   ])
5150    , -6673.48    , array([ 4.83561    ,  2.69611    ,  5.1334e-55 ,  0.363361   ])
5151    , -6678.19    , array([ 4.83077    ,  2.6988     ,  5.1334e-55 ,  0.363361   ])
5152    , -6673.48    , array([ 4.83077    ,  2.69611    ,  5.13854e-55,  0.363361   ])
5153    , -6675.83    , array([ 4.83077    ,  2.69611    ,  5.1334e-55 ,  0.363725   ])
5154    , -1555.4     , array([ 4.83077    ,  0.340603   ,  5.1334e-55 ,  0.037752   ])
5155    , -1555.4     , array([ 4.83077    ,  0.340603   ,  5.1334e-55 ,  0.037752   ])
5156    , -1555.4     , array([ 4.83561    ,  0.340603   ,  5.1334e-55 ,  0.037752   ])
5157    , -1555.96    , array([ 4.83077    ,  0.340944   ,  5.1334e-55 ,  0.037752   ])
5158    , -1555.4     , array([ 4.83077    ,  0.340603   ,  5.13854e-55,  0.037752   ])
5159    , -1554.89    , array([ 4.83077    ,  0.340603   ,  5.1334e-55 ,  0.0377898  ])
5166    , -1555.4     , array([ 4.83077    ,  0.340603   ,  5.1334e-55 ,  0.0377521  ])
5167    , -1555.4     , array([ 4.83077    ,  0.340603   ,  5.1334e-55 ,  0.0377521  ])
5168    , -1555.4     , array([ 4.83561    ,  0.340603   ,  5.1334e-55 ,  0.0377521  ])
5169    , -1555.96    , array([ 4.83077    ,  0.340944   ,  5.1334e-55 ,  0.0377521  ])
5170    , -1555.4     , array([ 4.83077    ,  0.340603   ,  5.13854e-55,  0.0377521  ])
5171    , -1554.89    , array([ 4.83077    ,  0.340603   ,  5.1334e-55 ,  0.0377899  ])
5172    , -1555.4     , array([ 4.83077    ,  0.340606   ,  5.1334e-55 ,  0.0377525  ])
5173    , -1555.4     , array([ 4.83077    ,  0.340606   ,  5.1334e-55 ,  0.0377525  ])
5174    , -1555.4     , array([ 4.83561    ,  0.340606   ,  5.1334e-55 ,  0.0377525  ])
5175    , -1555.96    , array([ 4.83077    ,  0.340947   ,  5.1334e-55 ,  0.0377525  ])
5176    , -1555.4     , array([ 4.83077    ,  0.340606   ,  5.13854e-55,  0.0377525  ])
5177    , -1554.89    , array([ 4.83077    ,  0.340606   ,  5.1334e-55 ,  0.0377903  ])
5178    , -16495.7    , array([ 4.83077    ,  6.56575    ,  5.1334e-55 ,  1.26851    ])
5179    , -16495.7    , array([ 4.83077    ,  6.56575    ,  5.1334e-55 ,  1.26851    ])
5180    , -16495.7    , array([ 4.83561    ,  6.56575    ,  5.1334e-55 ,  1.26851    ])
