309730  , -5051.98    , array([ 0.210177   ,  0.0643512  ,  9.98093    ,  3.88447e-42,  0.031415   ])
309731  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88836e-42,  0.031415   ])
309732  , -5060.28    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.0314465  ])
309733  , -5052.05    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309734  , -5052.05    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309735  , -5045.01    , array([ 0.210261   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309736  , -5048.71    , array([ 0.210051   ,  0.0643581  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309738  , -5052.05    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88836e-42,  0.0313934  ])
309739  , -5057.75    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0314248  ])
309740  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309741  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309742  , -5047.53    , array([ 0.210387   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309743  , -5051.24    , array([ 0.210177   ,  0.0644156  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309744  , -5051.98    , array([ 0.210177   ,  0.0643512  ,  9.98093    ,  3.88447e-42,  0.031415   ])
309745  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88836e-42,  0.031415   ])
309746  , -5060.28    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.0314465  ])
309747  , -5052.89    , array([ 0.210093   ,  0.0643129  ,  9.98585    ,  3.88447e-42,  0.0314006  ])
