137220  , -76344      , array([ 2.95617    ,  0.00172712 ,  0.0352435  ,  0.161736   ,  4.13139e-06])
137221  , -76341.3    , array([ 2.95617    ,  0.00172712 ,  0.0352435  ,  0.161575   ,  4.13552e-06])
137222  , -73619      , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91916e-06])
137223  , -73619      , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91916e-06])
137224  , -73619      , array([ 2.94537    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91916e-06])
137225  , -73624.2    , array([ 2.94242    ,  0.00121311 ,  0.0352436  ,  0.161574   ,  5.91916e-06])
137226  , -73619      , array([ 2.94242    ,  0.0012119  ,  0.0352788  ,  0.161574   ,  5.91916e-06])
137227  , -73619      , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161736   ,  5.91916e-06])
137228  , -73613.8    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.92508e-06])
137229  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91917e-06])
137230  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91917e-06])
137231  , -73618.9    , array([ 2.94537    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91917e-06])
137232  , -73624.2    , array([ 2.94242    ,  0.00121311 ,  0.0352436  ,  0.161574   ,  5.91917e-06])
137233  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352788  ,  0.161574   ,  5.91917e-06])
137234  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161736   ,  5.91917e-06])
137235  , -73613.7    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.92509e-06])
137236  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91919e-06])
137237  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91919e-06])
137238  , -73618.9    , array([ 2.94537    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.91919e-06])
137239  , -73624.1    , array([ 2.94242    ,  0.00121311 ,  0.0352436  ,  0.161574   ,  5.91919e-06])
137240  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352788  ,  0.161574   ,  5.91919e-06])
137241  , -73618.9    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161736   ,  5.91919e-06])
137242  , -73613.7    , array([ 2.94242    ,  0.0012119  ,  0.0352436  ,  0.161574   ,  5.92511e-06])
137243  , -71427.6    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08505e-06])
137244  , -71427.6    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08505e-06])
137245  , -71427.6    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08505e-06])
137246  , -71434.7    , array([ 2.93557    ,  0.00101619 ,  0.0352436  ,  0.161574   ,  7.08505e-06])
137247  , -71427.6    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08505e-06])
137248  , -71427.6    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08505e-06])
137249  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09214e-06])
137250  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137251  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137252  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137253  , -71434.7    , array([ 2.93557    ,  0.00101619 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137254  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08506e-06])
137255  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08506e-06])
137256  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09215e-06])
137257  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137258  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137259  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137260  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08506e-06])
137261  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08506e-06])
137262  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08506e-06])
137263  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09215e-06])
137271  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137272  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137273  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137274  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137275  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08507e-06])
137276  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08507e-06])
137277  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09215e-06])
137278  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137279  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137280  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137281  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137282  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08507e-06])
137283  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08507e-06])
137284  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09216e-06])
137292  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137293  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137294  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137295  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137296  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08507e-06])
137297  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08507e-06])
137298  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09216e-06])
137299  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137300  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137301  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137302  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
