132691  , -124725     , array([ 0.0297625  ,  10.5271    ,  0.153936   ,  5.89266e-58,  0.0295698  ])
132888  , -5548.31    , array([ 0.904322   ,  0.28336    ,  1.14275e-07,  5.89266e-58,  0.0751349  ])
132889  , -5544.59    , array([ 0.905227   ,  0.28336    ,  1.14275e-07,  5.89266e-58,  0.0751349  ])
132890  , -5555.65    , array([ 0.904322   ,  0.283643   ,  1.14275e-07,  5.89266e-58,  0.0751349  ])
132891  , -5548.31    , array([ 0.904322   ,  0.28336    ,  1.14389e-07,  5.89266e-58,  0.0751349  ])
132892  , -5548.31    , array([ 0.904322   ,  0.28336    ,  1.14275e-07,  5.89856e-58,  0.0751349  ])
132893  , -5546.73    , array([ 0.904322   ,  0.28336    ,  1.14275e-07,  5.89266e-58,  0.0752101  ])
132894  , -3470.96    , array([ 1.15876    ,  0.141849   ,  3.15905e-08,  5.89266e-58,  0.0631386  ])
132895  , -3470.96    , array([ 1.15876    ,  0.141849   ,  3.15905e-08,  5.89266e-58,  0.0631386  ])
132896  , -3469.4     , array([ 1.15992    ,  0.141849   ,  3.15905e-08,  5.89266e-58,  0.0631386  ])
132897  , -3465.25    , array([ 1.15876    ,  0.141991   ,  3.15905e-08,  5.89266e-58,  0.0631386  ])
132898  , -3470.96    , array([ 1.15876    ,  0.141849   ,  3.16221e-08,  5.89266e-58,  0.0631386  ])
132899  , -3470.96    , array([ 1.15876    ,  0.141849   ,  3.15905e-08,  5.89856e-58,  0.0631386  ])
132900  , -3479.8     , array([ 1.15876    ,  0.141849   ,  3.15905e-08,  5.89266e-58,  0.0632017  ])
132901  , -2215.73    , array([ 0.989439   ,  0.121064   ,  8.75187e-10,  5.89266e-58,  0.044029   ])
132902  , -2215.73    , array([ 0.989439   ,  0.121064   ,  8.75187e-10,  5.89266e-58,  0.044029   ])
132903  , -2214.48    , array([ 0.990429   ,  0.121064   ,  8.75187e-10,  5.89266e-58,  0.044029   ])
132904  , -2215.5     , array([ 0.989439   ,  0.121185   ,  8.75187e-10,  5.89266e-58,  0.044029   ])
132905  , -2215.73    , array([ 0.989439   ,  0.121064   ,  8.76063e-10,  5.89266e-58,  0.044029   ])
132906  , -2215.73    , array([ 0.989439   ,  0.121064   ,  8.75187e-10,  5.89856e-58,  0.044029   ])
132907  , -2217.83    , array([ 0.989439   ,  0.121064   ,  8.75187e-10,  5.89266e-58,  0.044073   ])
132908  , -1849.31    , array([ 0.946973   ,  0.091276   ,  4.30994e-11,  5.89266e-58,  0.0322641  ])
132909  , -1849.31    , array([ 0.946973   ,  0.091276   ,  4.30994e-11,  5.89266e-58,  0.0322641  ])
132910  , -1848.55    , array([ 0.94792    ,  0.091276   ,  4.30994e-11,  5.89266e-58,  0.0322641  ])
132911  , -1849.7     , array([ 0.946973   ,  0.0913673  ,  4.30994e-11,  5.89266e-58,  0.0322641  ])
132912  , -1849.31    , array([ 0.946973   ,  0.091276   ,  4.31425e-11,  5.89266e-58,  0.0322641  ])
132913  , -1849.31    , array([ 0.946973   ,  0.091276   ,  4.30994e-11,  5.89856e-58,  0.0322641  ])
132914  , -1849.81    , array([ 0.946973   ,  0.091276   ,  4.30994e-11,  5.89266e-58,  0.0322964  ])
132915  , -1714.4     , array([ 0.948033   ,  0.0715143  ,  4.32029e-12,  5.89266e-58,  0.0254643  ])
132916  , -1714.4     , array([ 0.948033   ,  0.0715143  ,  4.32029e-12,  5.89266e-58,  0.0254643  ])
132917  , -1713.95    , array([ 0.948981   ,  0.0715143  ,  4.32029e-12,  5.89266e-58,  0.0254643  ])
132918  , -1714.45    , array([ 0.948033   ,  0.0715859  ,  4.32029e-12,  5.89266e-58,  0.0254643  ])
132919  , -1714.4     , array([ 0.948033   ,  0.0715143  ,  4.32461e-12,  5.89266e-58,  0.0254643  ])
132920  , -1714.4     , array([ 0.948033   ,  0.0715143  ,  4.32029e-12,  5.89856e-58,  0.0254643  ])
132921  , -1714.67    , array([ 0.948033   ,  0.0715143  ,  4.32029e-12,  5.89266e-58,  0.0254898  ])
132922  , -1684.31    , array([ 0.969203   ,  0.0628731  ,  1.23491e-12,  5.89266e-58,  0.0224621  ])
132923  , -1684.31    , array([ 0.969203   ,  0.0628731  ,  1.23491e-12,  5.89266e-58,  0.0224621  ])
132924  , -1684.01    , array([ 0.970173   ,  0.0628731  ,  1.23491e-12,  5.89266e-58,  0.0224621  ])
132925  , -1684.2     , array([ 0.969203   ,  0.062936   ,  1.23491e-12,  5.89266e-58,  0.0224621  ])
132926  , -1684.31    , array([ 0.969203   ,  0.0628731  ,  1.23615e-12,  5.89266e-58,  0.0224621  ])
132927  , -1684.31    , array([ 0.969203   ,  0.0628731  ,  1.23491e-12,  5.89856e-58,  0.0224621  ])
132928  , -1684.51    , array([ 0.969203   ,  0.0628731  ,  1.23491e-12,  5.89266e-58,  0.0224846  ])
132929  , -1675.08    , array([ 1.00176    ,  0.0594467  ,  6.7675e-13 ,  5.89266e-58,  0.0212287  ])
132930  , -1675.08    , array([ 1.00176    ,  0.0594467  ,  6.7675e-13 ,  5.89266e-58,  0.0212287  ])
132931  , -1674.86    , array([ 1.00277    ,  0.0594467  ,  6.7675e-13 ,  5.89266e-58,  0.0212287  ])
132932  , -1674.96    , array([ 1.00176    ,  0.0595062  ,  6.7675e-13 ,  5.89266e-58,  0.0212287  ])
132933  , -1675.08    , array([ 1.00176    ,  0.0594467  ,  6.77427e-13,  5.89266e-58,  0.0212287  ])
132934  , -1675.08    , array([ 1.00176    ,  0.0594467  ,  6.7675e-13 ,  5.89856e-58,  0.0212287  ])
132935  , -1675.18    , array([ 1.00176    ,  0.0594467  ,  6.7675e-13 ,  5.89266e-58,  0.0212499  ])
132936  , -1666.51    , array([ 1.05874    ,  0.0580117  ,  4.87655e-13,  5.89266e-58,  0.0207051  ])
132937  , -1666.51    , array([ 1.05874    ,  0.0580117  ,  4.87655e-13,  5.89266e-58,  0.0207051  ])
132938  , -1666.36    , array([ 1.0598     ,  0.0580117  ,  4.87655e-13,  5.89266e-58,  0.0207051  ])
132939  , -1666.41    , array([ 1.05874    ,  0.0580697  ,  4.87655e-13,  5.89266e-58,  0.0207051  ])
132940  , -1666.51    , array([ 1.05874    ,  0.0580117  ,  4.88143e-13,  5.89266e-58,  0.0207051  ])
132941  , -1666.51    , array([ 1.05874    ,  0.0580117  ,  4.87655e-13,  5.89856e-58,  0.0207051  ])
132942  , -1666.53    , array([ 1.05874    ,  0.0580117  ,  4.87655e-13,  5.89266e-58,  0.0207258  ])
132943  , -1653.06    , array([ 1.18048    ,  0.0585728  ,  4.55701e-13,  5.89266e-58,  0.0209091  ])
132944  , -1653.06    , array([ 1.18048    ,  0.0585728  ,  4.55701e-13,  5.89266e-58,  0.0209091  ])
132945  , -1652.98    , array([ 1.18167    ,  0.0585728  ,  4.55701e-13,  5.89266e-58,  0.0209091  ])
132946  , -1653       , array([ 1.18048    ,  0.0586314  ,  4.55701e-13,  5.89266e-58,  0.0209091  ])
132947  , -1653.06    , array([ 1.18048    ,  0.0585728  ,  4.56157e-13,  5.89266e-58,  0.0209091  ])
132948  , -1653.06    , array([ 1.18048    ,  0.0585728  ,  4.55701e-13,  5.89856e-58,  0.0209091  ])
132949  , -1653.01    , array([ 1.18048    ,  0.0585728  ,  4.55701e-13,  5.89266e-58,  0.02093    ])
132950  , -1638.76    , array([ 1.37345    ,  0.0624102  ,  6.86137e-13,  5.89266e-58,  0.0223139  ])
132951  , -1638.76    , array([ 1.37345    ,  0.0624102  ,  6.86137e-13,  5.89266e-58,  0.0223139  ])
132952  , -1638.76    , array([ 1.37482    ,  0.0624102  ,  6.86137e-13,  5.89266e-58,  0.0223139  ])
132953  , -1638.74    , array([ 1.37345    ,  0.0624726  ,  6.86137e-13,  5.89266e-58,  0.0223139  ])
132954  , -1638.76    , array([ 1.37345    ,  0.0624102  ,  6.86824e-13,  5.89266e-58,  0.0223139  ])
132955  , -1638.76    , array([ 1.37345    ,  0.0624102  ,  6.86137e-13,  5.89856e-58,  0.0223139  ])
132956  , -1638.69    , array([ 1.37345    ,  0.0624102  ,  6.86137e-13,  5.89266e-58,  0.0223362  ])
132957  , -1633.83    , array([ 1.47416    ,  0.066158   ,  1.10757e-12,  5.89266e-58,  0.0236878  ])
132958  , -1633.83    , array([ 1.47416    ,  0.066158   ,  1.10757e-12,  5.89266e-58,  0.0236878  ])
132959  , -1633.85    , array([ 1.47564    ,  0.066158   ,  1.10757e-12,  5.89266e-58,  0.0236878  ])
132960  , -1633.83    , array([ 1.47416    ,  0.0662241  ,  1.10757e-12,  5.89266e-58,  0.0236878  ])
132961  , -1633.83    , array([ 1.47416    ,  0.066158   ,  1.10868e-12,  5.89266e-58,  0.0236878  ])
132962  , -1633.83    , array([ 1.47416    ,  0.066158   ,  1.10757e-12,  5.89856e-58,  0.0236878  ])
132963  , -1633.8     , array([ 1.47416    ,  0.066158   ,  1.10757e-12,  5.89266e-58,  0.0237115  ])
132964  , -1632.9     , array([ 1.46456    ,  0.0671891  ,  1.30407e-12,  5.89266e-58,  0.0240625  ])
132965  , -1632.9     , array([ 1.46456    ,  0.0671891  ,  1.30407e-12,  5.89266e-58,  0.0240625  ])
132966  , -1632.91    , array([ 1.46603    ,  0.0671891  ,  1.30407e-12,  5.89266e-58,  0.0240625  ])
132967  , -1632.9     , array([ 1.46456    ,  0.0672563  ,  1.30407e-12,  5.89266e-58,  0.0240625  ])
