17689   , -2752.16    , array([ 0.617263   ,  99.7477    ,  9.12979e-32,  0.0175803  ])
17690   , -2752.16    , array([ 0.61788    ,  99.7477    ,  9.12979e-32,  0.0175803  ])
17691   , -2752.17    , array([ 0.617263   ,  99.8475    ,  9.12979e-32,  0.0175803  ])
17692   , -2752.16    , array([ 0.617263   ,  99.7477    ,  9.13892e-32,  0.0175803  ])
17693   , -2752.65    , array([ 0.617263   ,  99.7477    ,  9.12979e-32,  0.0175979  ])
17694   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17695   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17696   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17698   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17699   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17700   , -2752.16    , array([ 0.617263   ,  99.7477    ,  9.12979e-32,  0.0175803  ])
17701   , -2752.16    , array([ 0.617263   ,  99.7477    ,  9.12979e-32,  0.0175803  ])
17702   , -2752.16    , array([ 0.61788    ,  99.7477    ,  9.12979e-32,  0.0175803  ])
17703   , -2752.17    , array([ 0.617263   ,  99.8475    ,  9.12979e-32,  0.0175803  ])
17704   , -2752.16    , array([ 0.617263   ,  99.7477    ,  9.13892e-32,  0.0175803  ])
17705   , -2752.65    , array([ 0.617263   ,  99.7477    ,  9.12979e-32,  0.0175979  ])
17706   , -2751.39    , array([ 0.617263   ,  99.9049    ,  9.12979e-32,  0.0175521  ])
17707   , -2751.39    , array([ 0.617263   ,  99.9049    ,  9.12979e-32,  0.0175521  ])
17708   , -2751.39    , array([ 0.61788    ,  99.9049    ,  9.12979e-32,  0.0175521  ])
17710   , -2751.39    , array([ 0.617263   ,  99.9049    ,  9.13892e-32,  0.0175521  ])
17711   , -2751.88    , array([ 0.617263   ,  99.9049    ,  9.12979e-32,  0.0175697  ])
17712   , -2751.09    , array([ 0.617263   ,  99.967     ,  9.12979e-32,  0.017541   ])
17713   , -2751.09    , array([ 0.617263   ,  99.967     ,  9.12979e-32,  0.017541   ])
17714   , -2751.09    , array([ 0.61788    ,  99.967     ,  9.12979e-32,  0.017541   ])
17716   , -2751.09    , array([ 0.617263   ,  99.967     ,  9.13892e-32,  0.017541   ])
17717   , -2751.57    , array([ 0.617263   ,  99.967     ,  9.12979e-32,  0.0175586  ])
17718   , -2751.03    , array([ 0.617263   ,  99.9801    ,  9.12979e-32,  0.0175387  ])
17719   , -2751.03    , array([ 0.617263   ,  99.9801    ,  9.12979e-32,  0.0175387  ])
17720   , -2751.03    , array([ 0.61788    ,  99.9801    ,  9.12979e-32,  0.0175387  ])
17722   , -2751.03    , array([ 0.617263   ,  99.9801    ,  9.13892e-32,  0.0175387  ])
17723   , -2751.51    , array([ 0.617263   ,  99.9801    ,  9.12979e-32,  0.0175562  ])
17724   , -2751.01    , array([ 0.617263   ,  99.9829    ,  9.12979e-32,  0.0175382  ])
17725   , -2751.01    , array([ 0.617263   ,  99.9829    ,  9.12979e-32,  0.0175382  ])
17726   , -2751.01    , array([ 0.61788    ,  99.9829    ,  9.12979e-32,  0.0175382  ])
17728   , -2751.01    , array([ 0.617263   ,  99.9829    ,  9.13892e-32,  0.0175382  ])
