93286   , -2531.48    , array([ 3.60858    ,  0.15013    ,  4.76464e-54,  0.858445   ,  0.0601208  ])
93287   , -2531.11    , array([ 3.60497    ,  0.15028    ,  4.76464e-54,  0.858445   ,  0.0601208  ])
93288   , -2530.97    , array([ 3.60497    ,  0.15013    ,  4.7694e-54 ,  0.858445   ,  0.0601208  ])
93289   , -2530.91    , array([ 3.60497    ,  0.15013    ,  4.76464e-54,  0.859304   ,  0.0601208  ])
93290   , -2533.09    , array([ 3.60497    ,  0.15013    ,  4.76464e-54,  0.858445   ,  0.0601809  ])
93291   , -4441.54    , array([ 1.38757    ,  0.158113   ,  4.76464e-54,  5.9502     ,  0.0609731  ])
93292   , -4441.54    , array([ 1.38757    ,  0.158113   ,  4.76464e-54,  5.9502     ,  0.0609731  ])
93293   , -4441.35    , array([ 1.38896    ,  0.158113   ,  4.76464e-54,  5.9502     ,  0.0609731  ])
93294   , -4451.25    , array([ 1.38757    ,  0.158271   ,  4.76464e-54,  5.9502     ,  0.0609731  ])
93295   , -4441.54    , array([ 1.38757    ,  0.158113   ,  4.7694e-54 ,  5.9502     ,  0.0609731  ])
93296   , -4445.52    , array([ 1.38757    ,  0.158113   ,  4.76464e-54,  5.95615    ,  0.0609731  ])
93297   , -4437.67    , array([ 1.38757    ,  0.158113   ,  4.76464e-54,  5.9502     ,  0.0610341  ])
93298   , -2432.44    , array([ 2.85289    ,  0.152048   ,  4.76464e-54,  1.37966    ,  0.0603285  ])
93299   , -2432.44    , array([ 2.85289    ,  0.152048   ,  4.76464e-54,  1.37966    ,  0.0603285  ])
93300   , -2432.92    , array([ 2.85574    ,  0.152048   ,  4.76464e-54,  1.37966    ,  0.0603285  ])
93301   , -2434.03    , array([ 2.85289    ,  0.1522     ,  4.76464e-54,  1.37966    ,  0.0603285  ])
93302   , -2432.44    , array([ 2.85289    ,  0.152048   ,  4.7694e-54 ,  1.37966    ,  0.0603285  ])
93303   , -2432.55    , array([ 2.85289    ,  0.152048   ,  4.76464e-54,  1.38104    ,  0.0603285  ])
93304   , -2433.13    , array([ 2.85289    ,  0.152048   ,  4.76464e-54,  1.37966    ,  0.0603889  ])
93312   , -2432.44    , array([ 2.85272    ,  0.152048   ,  4.76464e-54,  1.37982    ,  0.0603287  ])
93313   , -2432.44    , array([ 2.85272    ,  0.152048   ,  4.76464e-54,  1.37982    ,  0.0603287  ])
93314   , -2432.91    , array([ 2.85558    ,  0.152048   ,  4.76464e-54,  1.37982    ,  0.0603287  ])
93315   , -2434.02    , array([ 2.85272    ,  0.152201   ,  4.76464e-54,  1.37982    ,  0.0603287  ])
93316   , -2432.44    , array([ 2.85272    ,  0.152048   ,  4.7694e-54 ,  1.37982    ,  0.0603287  ])
93317   , -2432.54    , array([ 2.85272    ,  0.152048   ,  4.76464e-54,  1.3812     ,  0.0603287  ])
93318   , -2433.12    , array([ 2.85272    ,  0.152048   ,  4.76464e-54,  1.37982    ,  0.060389   ])
93319   , -2432.41    , array([ 2.85219    ,  0.15205    ,  4.76464e-54,  1.38035    ,  0.0603291  ])
93320   , -2432.41    , array([ 2.85219    ,  0.15205    ,  4.76464e-54,  1.38035    ,  0.0603291  ])
93321   , -2432.88    , array([ 2.85505    ,  0.15205    ,  4.76464e-54,  1.38035    ,  0.0603291  ])
93322   , -2433.99    , array([ 2.85219    ,  0.152202   ,  4.76464e-54,  1.38035    ,  0.0603291  ])
