50688   , -2155.12    , array([ 5.44233    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50689   , -2155.27    , array([ 5.43689    ,  0.00145697 ,  3.00634e-33,  1.62487e-05])
50690   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00935e-33,  1.62487e-05])
50691   , -2154.97    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62649e-05])
50692   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50693   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50694   , -2155.12    , array([ 5.44233    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50695   , -2155.27    , array([ 5.43689    ,  0.00145697 ,  3.00634e-33,  1.62487e-05])
50696   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00935e-33,  1.62487e-05])
50697   , -2154.97    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62649e-05])
50698   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50699   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50700   , -2155.12    , array([ 5.44233    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50701   , -2155.27    , array([ 5.43689    ,  0.00145697 ,  3.00634e-33,  1.62487e-05])
50702   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00935e-33,  1.62487e-05])
50703   , -2154.97    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62649e-05])
50704   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50705   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50706   , -2134.93    , array([ 5.44233    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50707   , -2135.1     , array([ 5.43689    ,  0.00115744 ,  3.00634e-33,  1.46457e-05])
50708   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00935e-33,  1.46457e-05])
50709   , -2134.77    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46604e-05])
50710   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50711   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50712   , -2134.93    , array([ 5.44233    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50713   , -2135.1     , array([ 5.43689    ,  0.00115744 ,  3.00634e-33,  1.46457e-05])
50714   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00935e-33,  1.46457e-05])
50715   , -2134.77    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46604e-05])
50716   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50717   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50718   , -2134.93    , array([ 5.44233    ,  0.00115628 ,  3.00634e-33,  1.46457e-05])
50719   , -2135.1     , array([ 5.43689    ,  0.00115744 ,  3.00634e-33,  1.46457e-05])
50720   , -2134.93    , array([ 5.43689    ,  0.00115628 ,  3.00935e-33,  1.46457e-05])
50721   , -2134.77    , array([ 5.43689    ,  0.00115628 ,  3.00634e-33,  1.46604e-05])
50722   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50723   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50724   , -2124.23    , array([ 5.44233    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50725   , -2124.4     , array([ 5.43689    ,  0.00103163 ,  3.00634e-33,  1.39045e-05])
50726   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00935e-33,  1.39045e-05])
50727   , -2124.05    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39184e-05])
50728   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50729   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50730   , -2124.23    , array([ 5.44233    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50731   , -2124.4     , array([ 5.43689    ,  0.00103163 ,  3.00634e-33,  1.39045e-05])
50732   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00935e-33,  1.39045e-05])
50733   , -2124.05    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39184e-05])
50734   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50735   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50736   , -2124.23    , array([ 5.44233    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50737   , -2124.4     , array([ 5.43689    ,  0.00103163 ,  3.00634e-33,  1.39045e-05])
50738   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00935e-33,  1.39045e-05])
50739   , -2124.05    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39184e-05])
50746   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50747   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50748   , -2124.23    , array([ 5.44233    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50749   , -2124.4     , array([ 5.43689    ,  0.00103163 ,  3.00634e-33,  1.39045e-05])
50750   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00935e-33,  1.39045e-05])
50751   , -2124.05    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39184e-05])
50752   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50753   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50754   , -2124.23    , array([ 5.44233    ,  0.0010306  ,  3.00634e-33,  1.39045e-05])
50755   , -2124.4     , array([ 5.43689    ,  0.00103163 ,  3.00634e-33,  1.39045e-05])
50756   , -2124.23    , array([ 5.43689    ,  0.0010306  ,  3.00935e-33,  1.39045e-05])
50757   , -2124.05    , array([ 5.43689    ,  0.0010306  ,  3.00634e-33,  1.39184e-05])
50758   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50759   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50760   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50761   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50762   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50763   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50764   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50765   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50766   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50767   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50768   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50769   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50770   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50771   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50772   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50773   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50774   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50775   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50782   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50783   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50784   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50785   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
