24562   , -1742.71    , array([ 10.0596    ,  0.0566005  ,  1.84383e-57,  0.00491549 ])
24563   , -1742.71    , array([ 10.0596    ,  0.0566005  ,  1.84383e-57,  0.00491549 ])
24564   , -1742.71    , array([ 10.0696    ,  0.0566005  ,  1.84383e-57,  0.00491549 ])
24565   , -1742.75    , array([ 10.0596    ,  0.0566571  ,  1.84383e-57,  0.00491549 ])
24566   , -1742.71    , array([ 10.0596    ,  0.0566005  ,  1.84567e-57,  0.00491549 ])
24567   , -1742.62    , array([ 10.0596    ,  0.0566005  ,  1.84383e-57,  0.0049204  ])
24568   , -1635.26    , array([ 10.0596    ,  0.255758   ,  1.84383e-57,  0.0235905  ])
24569   , -1635.26    , array([ 10.0596    ,  0.255758   ,  1.84383e-57,  0.0235905  ])
24570   , -1635.26    , array([ 10.0696    ,  0.255758   ,  1.84383e-57,  0.0235905  ])
24571   , -1635.66    , array([ 10.0596    ,  0.256013   ,  1.84383e-57,  0.0235905  ])
24572   , -1635.26    , array([ 10.0596    ,  0.255758   ,  1.84567e-57,  0.0235905  ])
24573   , -1634.85    , array([ 10.0596    ,  0.255758   ,  1.84383e-57,  0.0236141  ])
24574   , -1633.52    , array([ 10.0596    ,  0.285971   ,  1.84383e-57,  0.0264952  ])
24575   , -1633.52    , array([ 10.0596    ,  0.285971   ,  1.84383e-57,  0.0264952  ])
24576   , -1633.52    , array([ 10.0696    ,  0.285971   ,  1.84383e-57,  0.0264952  ])
24577   , -1633.97    , array([ 10.0596    ,  0.286257   ,  1.84383e-57,  0.0264952  ])
24578   , -1633.52    , array([ 10.0596    ,  0.285971   ,  1.84567e-57,  0.0264952  ])
24579   , -1633.08    , array([ 10.0596    ,  0.285971   ,  1.84383e-57,  0.0265217  ])
24586   , -1633.52    , array([ 10.0596    ,  0.285974   ,  1.84383e-57,  0.0264955  ])
24587   , -1633.52    , array([ 10.0596    ,  0.285974   ,  1.84383e-57,  0.0264955  ])
24588   , -1633.52    , array([ 10.0696    ,  0.285974   ,  1.84383e-57,  0.0264955  ])
24589   , -1633.97    , array([ 10.0596    ,  0.28626    ,  1.84383e-57,  0.0264955  ])
24590   , -1633.52    , array([ 10.0596    ,  0.285974   ,  1.84567e-57,  0.0264955  ])
24591   , -1633.08    , array([ 10.0596    ,  0.285974   ,  1.84383e-57,  0.026522   ])
24592   , -1633.52    , array([ 10.0596    ,  0.285983   ,  1.84383e-57,  0.0264964  ])
24593   , -1633.52    , array([ 10.0596    ,  0.285983   ,  1.84383e-57,  0.0264964  ])
24594   , -1633.52    , array([ 10.0696    ,  0.285983   ,  1.84383e-57,  0.0264964  ])
24595   , -1633.97    , array([ 10.0596    ,  0.286269   ,  1.84383e-57,  0.0264964  ])
24596   , -1633.52    , array([ 10.0596    ,  0.285983   ,  1.84567e-57,  0.0264964  ])
24597   , -1633.08    , array([ 10.0596    ,  0.285983   ,  1.84383e-57,  0.0265229  ])
24604   , -1633.52    , array([ 10.0596    ,  0.285984   ,  1.84383e-57,  0.0264965  ])
24605   , -1633.52    , array([ 10.0596    ,  0.285984   ,  1.84383e-57,  0.0264965  ])
