8824    , -392.943    , array([ 0.00390218 ,  0.0577535  ,  0.0230675  ,  2.8381e-22 ])
8825    , -392.943    , array([ 0.00390218 ,  0.0577535  ,  0.0230675  ,  2.8381e-22 ])
8826    , -392.958    , array([ 0.00390608 ,  0.0577535  ,  0.0230675  ,  2.8381e-22 ])
8827    , -392.943    , array([ 0.00390218 ,  0.0578113  ,  0.0230675  ,  2.8381e-22 ])
8828    , -392.973    , array([ 0.00390218 ,  0.0577535  ,  0.0230906  ,  2.8381e-22 ])
8829    , -392.943    , array([ 0.00390218 ,  0.0577535  ,  0.0230675  ,  2.84094e-22])
8830    , -392.942    , array([ 0.00392465 ,  0.0577535  ,  0.0231759  ,  2.8381e-22 ])
8831    , -392.942    , array([ 0.00392465 ,  0.0577535  ,  0.0231759  ,  2.8381e-22 ])
8832    , -392.962    , array([ 0.00392858 ,  0.0577535  ,  0.0231759  ,  2.8381e-22 ])
8833    , -392.942    , array([ 0.00392465 ,  0.0578113  ,  0.0231759  ,  2.8381e-22 ])
8834    , -392.968    , array([ 0.00392465 ,  0.0577535  ,  0.0231991  ,  2.8381e-22 ])
8835    , -392.942    , array([ 0.00392465 ,  0.0577535  ,  0.0231759  ,  2.84094e-22])
8836    , -392.942    , array([ 0.00391989 ,  0.0577535  ,  0.023153   ,  2.8381e-22 ])
8837    , -392.942    , array([ 0.00391989 ,  0.0577535  ,  0.023153   ,  2.8381e-22 ])
8838    , -392.961    , array([ 0.00392382 ,  0.0577535  ,  0.023153   ,  2.8381e-22 ])
8839    , -392.942    , array([ 0.00391989 ,  0.0578113  ,  0.023153   ,  2.8381e-22 ])
8840    , -392.969    , array([ 0.00391989 ,  0.0577535  ,  0.0231761  ,  2.8381e-22 ])
8841    , -392.942    , array([ 0.00391989 ,  0.0577535  ,  0.023153   ,  2.84094e-22])
8842    , -392.942    , array([ 0.00391615 ,  0.0577535  ,  0.0231349  ,  2.8381e-22 ])
8843    , -392.942    , array([ 0.00391615 ,  0.0577535  ,  0.0231349  ,  2.8381e-22 ])
8844    , -392.961    , array([ 0.00392006 ,  0.0577535  ,  0.0231349  ,  2.8381e-22 ])
8845    , -392.942    , array([ 0.00391615 ,  0.0578113  ,  0.0231349  ,  2.8381e-22 ])
8846    , -392.97     , array([ 0.00391615 ,  0.0577535  ,  0.0231581  ,  2.8381e-22 ])
8847    , -392.942    , array([ 0.00391615 ,  0.0577535  ,  0.0231349  ,  2.84094e-22])
8848    , -392.942    , array([ 0.0039191  ,  0.0577535  ,  0.0231492  ,  2.8381e-22 ])
8849    , -392.942    , array([ 0.0039191  ,  0.0577535  ,  0.0231492  ,  2.8381e-22 ])
8850    , -392.961    , array([ 0.00392302 ,  0.0577535  ,  0.0231492  ,  2.8381e-22 ])
8851    , -392.942    , array([ 0.0039191  ,  0.0578113  ,  0.0231492  ,  2.8381e-22 ])
8852    , -392.97     , array([ 0.0039191  ,  0.0577535  ,  0.0231723  ,  2.8381e-22 ])
8853    , -392.942    , array([ 0.0039191  ,  0.0577535  ,  0.0231492  ,  2.84094e-22])
8854    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8855    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8856    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8857    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8858    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8859    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8860    , -392.942    , array([ 0.00391798 ,  0.0577535  ,  0.0231438  ,  2.8381e-22 ])
8861    , -392.942    , array([ 0.00391798 ,  0.0577535  ,  0.0231438  ,  2.8381e-22 ])
8862    , -392.961    , array([ 0.0039219  ,  0.0577535  ,  0.0231438  ,  2.8381e-22 ])
8863    , -392.942    , array([ 0.00391798 ,  0.0578113  ,  0.0231438  ,  2.8381e-22 ])
8864    , -392.97     , array([ 0.00391798 ,  0.0577535  ,  0.0231669  ,  2.8381e-22 ])
8865    , -392.942    , array([ 0.00391798 ,  0.0577535  ,  0.0231438  ,  2.84094e-22])
8866    , -392.942    , array([ 0.00391837 ,  0.0577535  ,  0.0231456  ,  2.8381e-22 ])
8867    , -392.942    , array([ 0.00391837 ,  0.0577535  ,  0.0231456  ,  2.8381e-22 ])
8868    , -392.961    , array([ 0.00392229 ,  0.0577535  ,  0.0231456  ,  2.8381e-22 ])
8869    , -392.942    , array([ 0.00391837 ,  0.0578113  ,  0.0231456  ,  2.8381e-22 ])
8870    , -392.97     , array([ 0.00391837 ,  0.0577535  ,  0.0231688  ,  2.8381e-22 ])
8871    , -392.942    , array([ 0.00391837 ,  0.0577535  ,  0.0231456  ,  2.84094e-22])
8872    , -392.942    , array([ 0.00391845 ,  0.0577535  ,  0.023146   ,  2.8381e-22 ])
8873    , -392.942    , array([ 0.00391845 ,  0.0577535  ,  0.023146   ,  2.8381e-22 ])
8874    , -392.961    , array([ 0.00392238 ,  0.0577535  ,  0.023146   ,  2.8381e-22 ])
8875    , -392.942    , array([ 0.00391845 ,  0.0578113  ,  0.023146   ,  2.8381e-22 ])
8876    , -392.97     , array([ 0.00391845 ,  0.0577535  ,  0.0231692  ,  2.8381e-22 ])
8877    , -392.942    , array([ 0.00391845 ,  0.0577535  ,  0.023146   ,  2.84094e-22])
8878    , -392.942    , array([ 0.00391847 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8879    , -392.942    , array([ 0.00391847 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8880    , -392.961    , array([ 0.00392239 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8881    , -392.942    , array([ 0.00391847 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8882    , -392.97     , array([ 0.00391847 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8883    , -392.942    , array([ 0.00391847 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8884    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8885    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8886    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8887    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8888    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8889    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8890    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8891    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8892    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8893    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8894    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8895    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8896    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8897    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8898    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8899    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
