4233    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4234    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4241    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4242    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4243    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4244    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
4245    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4246    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4247    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4248    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4249    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4250    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
4251    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4252    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4259    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4260    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4261    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4262    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
4263    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4264    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4265    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4266    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4267    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4268    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
4269    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4270    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4271    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4272    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4273    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4274    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
4275    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4276    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4277    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4278    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4279    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4280    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
4281    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4282    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4289    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4290    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4291    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4292    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
