16944   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16945   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16946   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16947   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16948   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16949   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
16950   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16951   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16952   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16953   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16954   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16955   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
16956   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16957   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16958   , -2537.37    , array([ 0.525      ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16959   , -2537.38    , array([ 0.524475   ,  99.7843    ,  5.13649e-92,  0.00927369 ])
16960   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.14163e-92,  0.00927369 ])
16961   , -2537.6     , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00928296 ])
16968   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16969   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16970   , -2537.37    , array([ 0.525      ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16971   , -2537.38    , array([ 0.524475   ,  99.7843    ,  5.13649e-92,  0.00927369 ])
16972   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.14163e-92,  0.00927369 ])
