1244    , -1339.25    , array([ 1.13186    ,  0.0875941  ,  4.29159    ,  2.20132    ,  0.040093   ])
1245    , -1339.23    , array([ 1.13186    ,  0.0875941  ,  4.2873     ,  2.20353    ,  0.040093   ])
1246    , -1339.27    , array([ 1.13186    ,  0.0875941  ,  4.2873     ,  2.20132    ,  0.0401331  ])
1247    , -1335.71    , array([ 1.13433    ,  0.0859534  ,  4.25087    ,  2.66856    ,  0.0402256  ])
1248    , -1335.71    , array([ 1.13433    ,  0.0859534  ,  4.25087    ,  2.66856    ,  0.0402256  ])
1249    , -1335.81    , array([ 1.13547    ,  0.0859534  ,  4.25087    ,  2.66856    ,  0.0402256  ])
1250    , -1335.65    , array([ 1.13433    ,  0.0860394  ,  4.25087    ,  2.66856    ,  0.0402256  ])
1251    , -1335.69    , array([ 1.13433    ,  0.0859534  ,  4.25512    ,  2.66856    ,  0.0402256  ])
1252    , -1335.69    , array([ 1.13433    ,  0.0859534  ,  4.25087    ,  2.67123    ,  0.0402256  ])
1253    , -1335.63    , array([ 1.13433    ,  0.0859534  ,  4.25087    ,  2.66856    ,  0.0402659  ])
1254    , -1329.35    , array([ 1.09973    ,  0.0865407  ,  4.29613    ,  2.86455    ,  0.0413737  ])
1255    , -1329.35    , array([ 1.09973    ,  0.0865407  ,  4.29613    ,  2.86455    ,  0.0413737  ])
1256    , -1329.42    , array([ 1.10084    ,  0.0865407  ,  4.29613    ,  2.86455    ,  0.0413737  ])
1257    , -1329.23    , array([ 1.09973    ,  0.0866273  ,  4.29613    ,  2.86455    ,  0.0413737  ])
1258    , -1329.31    , array([ 1.09973    ,  0.0865407  ,  4.30043    ,  2.86455    ,  0.0413737  ])
1259    , -1329.33    , array([ 1.09973    ,  0.0865407  ,  4.29613    ,  2.86742    ,  0.0413737  ])
1260    , -1329.33    , array([ 1.09973    ,  0.0865407  ,  4.29613    ,  2.86455    ,  0.0414151  ])
1261    , -1321.5     , array([ 1.01714    ,  0.0903108  ,  4.44493    ,  2.8788     ,  0.0445938  ])
1262    , -1321.5     , array([ 1.01714    ,  0.0903108  ,  4.44493    ,  2.8788     ,  0.0445938  ])
1263    , -1321.45    , array([ 1.01816    ,  0.0903108  ,  4.44493    ,  2.8788     ,  0.0445938  ])
1264    , -1321.2     , array([ 1.01714    ,  0.0904012  ,  4.44493    ,  2.8788     ,  0.0445938  ])
1265    , -1321.4     , array([ 1.01714    ,  0.0903108  ,  4.44938    ,  2.8788     ,  0.0445938  ])
1266    , -1321.46    , array([ 1.01714    ,  0.0903108  ,  4.44493    ,  2.88168    ,  0.0445938  ])
1267    , -1321.67    , array([ 1.01714    ,  0.0903108  ,  4.44493    ,  2.8788     ,  0.0446384  ])
1268    , -1319.93    , array([ 1.014      ,  0.0910092  ,  4.46514    ,  3.06077    ,  0.0454357  ])
1269    , -1319.93    , array([ 1.014      ,  0.0910092  ,  4.46514    ,  3.06077    ,  0.0454357  ])
1270    , -1319.88    , array([ 1.01501    ,  0.0910092  ,  4.46514    ,  3.06077    ,  0.0454357  ])
1271    , -1319.8     , array([ 1.014      ,  0.0911003  ,  4.46514    ,  3.06077    ,  0.0454357  ])
1272    , -1319.85    , array([ 1.014      ,  0.0910092  ,  4.46961    ,  3.06077    ,  0.0454357  ])
1273    , -1319.93    , array([ 1.014      ,  0.0910092  ,  4.46514    ,  3.06383    ,  0.0454357  ])
1274    , -1320       , array([ 1.014      ,  0.0910092  ,  4.46514    ,  3.06077    ,  0.0454812  ])
1275    , -1316.6     , array([ 1.01177    ,  0.0934069  ,  4.55623    ,  2.93388    ,  0.0466777  ])
1276    , -1316.6     , array([ 1.01177    ,  0.0934069  ,  4.55623    ,  2.93388    ,  0.0466777  ])
1277    , -1316.55    , array([ 1.01278    ,  0.0934069  ,  4.55623    ,  2.93388    ,  0.0466777  ])
1278    , -1316.51    , array([ 1.01177    ,  0.0935004  ,  4.55623    ,  2.93388    ,  0.0466777  ])
1279    , -1316.52    , array([ 1.01177    ,  0.0934069  ,  4.56079    ,  2.93388    ,  0.0466777  ])
1280    , -1316.6     , array([ 1.01177    ,  0.0934069  ,  4.55623    ,  2.93682    ,  0.0466777  ])
1281    , -1316.64    , array([ 1.01177    ,  0.0934069  ,  4.55623    ,  2.93388    ,  0.0467244  ])
1282    , -1311.43    , array([ 1.00456    ,  0.0981853  ,  4.86738    ,  2.61776    ,  0.0489657  ])
1283    , -1311.43    , array([ 1.00456    ,  0.0981853  ,  4.86738    ,  2.61776    ,  0.0489657  ])
1284    , -1311.42    , array([ 1.00557    ,  0.0981853  ,  4.86738    ,  2.61776    ,  0.0489657  ])
1285    , -1311.46    , array([ 1.00456    ,  0.0982836  ,  4.86738    ,  2.61776    ,  0.0489657  ])
1286    , -1311.41    , array([ 1.00456    ,  0.0981853  ,  4.87225    ,  2.61776    ,  0.0489657  ])
1287    , -1311.44    , array([ 1.00456    ,  0.0981853  ,  4.86738    ,  2.62038    ,  0.0489657  ])
1288    , -1311.41    , array([ 1.00456    ,  0.0981853  ,  4.86738    ,  2.61776    ,  0.0490147  ])
1289    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1290    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1291    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1292    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1293    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1294    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1295    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1296    , -1311.12    , array([ 1.00048    ,  0.098335   ,  4.9775     ,  2.53874    ,  0.0489349  ])
1297    , -1311.12    , array([ 1.00048    ,  0.098335   ,  4.9775     ,  2.53874    ,  0.0489349  ])
1298    , -1311.12    , array([ 1.00148    ,  0.098335   ,  4.9775     ,  2.53874    ,  0.0489349  ])
1299    , -1311.13    , array([ 1.00048    ,  0.0984334  ,  4.9775     ,  2.53874    ,  0.0489349  ])
1300    , -1311.12    , array([ 1.00048    ,  0.098335   ,  4.98248    ,  2.53874    ,  0.0489349  ])
1301    , -1311.13    , array([ 1.00048    ,  0.098335   ,  4.9775     ,  2.54128    ,  0.0489349  ])
1302    , -1311.12    , array([ 1.00048    ,  0.098335   ,  4.9775     ,  2.53874    ,  0.0489838  ])
1303    , -1311.07    , array([ 1.00068    ,  0.0986915  ,  4.9783     ,  2.53308    ,  0.0491195  ])
