28144   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28145   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28146   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28147   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28148   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28149   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
28150   , -2318.61    , array([ 0.00112219 ,  3.76653    ,  1.07993e-06,  4.5365e-38 ])
28151   , -2318.61    , array([ 0.00112219 ,  3.76653    ,  1.07993e-06,  4.5365e-38 ])
28152   , -2318.62    , array([ 0.00112331 ,  3.76653    ,  1.07993e-06,  4.5365e-38 ])
28153   , -2318.61    , array([ 0.00112219 ,  3.7703     ,  1.07993e-06,  4.5365e-38 ])
28154   , -2318.59    , array([ 0.00112219 ,  3.76653    ,  1.08101e-06,  4.5365e-38 ])
28155   , -2318.61    , array([ 0.00112219 ,  3.76653    ,  1.07993e-06,  4.54103e-38])
28156   , -2318.61    , array([ 0.00112219 ,  3.76653    ,  1.07993e-06,  4.5365e-38 ])
28157   , -2318.61    , array([ 0.00112219 ,  3.76653    ,  1.07993e-06,  4.5365e-38 ])
28158   , -2318.62    , array([ 0.00112331 ,  3.76653    ,  1.07993e-06,  4.5365e-38 ])
28159   , -2318.61    , array([ 0.00112219 ,  3.7703     ,  1.07993e-06,  4.5365e-38 ])
28160   , -2318.59    , array([ 0.00112219 ,  3.76653    ,  1.08101e-06,  4.5365e-38 ])
28161   , -2318.61    , array([ 0.00112219 ,  3.76653    ,  1.07993e-06,  4.54103e-38])
28162   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28163   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28164   , -2317.7     , array([ 0.00102075 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28165   , -2317.68    , array([ 0.00101973 ,  3.7703     ,  1.03216e-06,  4.5365e-38 ])
28166   , -2317.66    , array([ 0.00101973 ,  3.76653    ,  1.03319e-06,  4.5365e-38 ])
28167   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.54103e-38])
28168   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28169   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28170   , -2317.7     , array([ 0.00102075 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28171   , -2317.68    , array([ 0.00101973 ,  3.7703     ,  1.03216e-06,  4.5365e-38 ])
28172   , -2317.66    , array([ 0.00101973 ,  3.76653    ,  1.03319e-06,  4.5365e-38 ])
28173   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.54103e-38])
28174   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28175   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28176   , -2317.7     , array([ 0.00102075 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28177   , -2317.68    , array([ 0.00101973 ,  3.7703     ,  1.03216e-06,  4.5365e-38 ])
28178   , -2317.66    , array([ 0.00101973 ,  3.76653    ,  1.03319e-06,  4.5365e-38 ])
28179   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.54103e-38])
28186   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28187   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28188   , -2317.7     , array([ 0.00102075 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28189   , -2317.68    , array([ 0.00101973 ,  3.7703     ,  1.03216e-06,  4.5365e-38 ])
28190   , -2317.66    , array([ 0.00101973 ,  3.76653    ,  1.03319e-06,  4.5365e-38 ])
28191   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.54103e-38])
