281522  , -1412.65    , array([ 1.00826    ,  0.106159   ,  5.28378    ,  2.32807e-26,  0.0443568  ])
281523  , -1412.35    , array([ 1.00725    ,  0.106265   ,  5.28378    ,  2.32807e-26,  0.0443568  ])
281524  , -1412.62    , array([ 1.00725    ,  0.106159   ,  5.28907    ,  2.32807e-26,  0.0443568  ])
281525  , -1412.64    , array([ 1.00725    ,  0.106159   ,  5.28378    ,  2.3304e-26 ,  0.0443568  ])
281526  , -1412.9     , array([ 1.00725    ,  0.106159   ,  5.28378    ,  2.32807e-26,  0.0444012  ])
281527  , -1411.44    , array([ 1.00763    ,  0.105101   ,  5.14382    ,  2.32807e-26,  0.0431969  ])
281528  , -1411.44    , array([ 1.00763    ,  0.105101   ,  5.14382    ,  2.32807e-26,  0.0431969  ])
281529  , -1411.44    , array([ 1.00864    ,  0.105101   ,  5.14382    ,  2.32807e-26,  0.0431969  ])
281530  , -1411.43    , array([ 1.00763    ,  0.105206   ,  5.14382    ,  2.32807e-26,  0.0431969  ])
281531  , -1411.43    , array([ 1.00763    ,  0.105101   ,  5.14897    ,  2.32807e-26,  0.0431969  ])
281532  , -1411.44    , array([ 1.00763    ,  0.105101   ,  5.14382    ,  2.3304e-26 ,  0.0431969  ])
281533  , -1411.45    , array([ 1.00763    ,  0.105101   ,  5.14382    ,  2.32807e-26,  0.0432401  ])
281534  , -1411.35    , array([ 1.00737    ,  0.105452   ,  5.25507    ,  2.32807e-26,  0.0434247  ])
281535  , -1411.35    , array([ 1.00737    ,  0.105452   ,  5.25507    ,  2.32807e-26,  0.0434247  ])
281536  , -1411.36    , array([ 1.00838    ,  0.105452   ,  5.25507    ,  2.32807e-26,  0.0434247  ])
281537  , -1411.38    , array([ 1.00737    ,  0.105558   ,  5.25507    ,  2.32807e-26,  0.0434247  ])
281538  , -1411.36    , array([ 1.00737    ,  0.105452   ,  5.26033    ,  2.32807e-26,  0.0434247  ])
281539  , -1411.35    , array([ 1.00737    ,  0.105452   ,  5.25507    ,  2.3304e-26 ,  0.0434247  ])
281540  , -1411.32    , array([ 1.00737    ,  0.105452   ,  5.25507    ,  2.32807e-26,  0.0434681  ])
281541  , -1411.34    , array([ 1.00752    ,  0.105254   ,  5.19203    ,  2.32807e-26,  0.043296   ])
281542  , -1411.34    , array([ 1.00752    ,  0.105254   ,  5.19203    ,  2.32807e-26,  0.043296   ])
281543  , -1411.34    , array([ 1.00852    ,  0.105254   ,  5.19203    ,  2.32807e-26,  0.043296   ])
281544  , -1411.35    , array([ 1.00752    ,  0.105359   ,  5.19203    ,  2.32807e-26,  0.043296   ])
281545  , -1411.34    , array([ 1.00752    ,  0.105254   ,  5.19722    ,  2.32807e-26,  0.043296   ])
281546  , -1411.34    , array([ 1.00752    ,  0.105254   ,  5.19203    ,  2.3304e-26 ,  0.043296   ])
281547  , -1411.33    , array([ 1.00752    ,  0.105254   ,  5.19203    ,  2.32807e-26,  0.0433393  ])
281548  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281549  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281550  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281551  , -1411.3     , array([ 1.00559    ,  0.10544    ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281552  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20955    ,  2.32807e-26,  0.0433625  ])
281553  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.3304e-26 ,  0.0433625  ])
281554  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0434059  ])
