48176   , -7928.58    , array([ 0.443754   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48178   , -45566.1    , array([ 0.443754   ,  0.447639   ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48179   , -36007.5    , array([ 0.443754   ,  0.256351   ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48182   , -22935.6    , array([ 0.443754   ,  0.138505   ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48183   , -2102.55    , array([ 0.443754   ,  0.0312307  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48185   , -3169.75    , array([ 0.443754   ,  0.0443863  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48186   , -2507.22    , array([ 0.443754   ,  0.0280012  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48187   , -2052.68    , array([ 0.443754   ,  0.034589   ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48188   , -2034.93    , array([ 0.443754   ,  0.0333526  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48189   , -2035.85    , array([ 0.443754   ,  0.0336758  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48190   , -2036.8     , array([ 0.443754   ,  0.0330294  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48191   , -2034.93    , array([ 0.443754   ,  0.0333526  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48192   , -2012.63    , array([ 0.443754   ,  0.0333526  ,  1          ,  1.29072e-10,  0.011678   ])
48193   , -1991.42    , array([ 0.443754   ,  0.0333526  ,  2.61803    ,  1.29072e-10,  0.011678   ])
48194   , -1986.71    , array([ 0.443754   ,  0.0333526  ,  3.67703    ,  1.29072e-10,  0.011678   ])
48195   , -1993.18    , array([ 0.443754   ,  0.0333526  ,  5.39053    ,  1.29072e-10,  0.011678   ])
48196   , -1986.71    , array([ 0.443754   ,  0.0333526  ,  3.67703    ,  1.29072e-10,  0.011678   ])
48197   , -1987.19    , array([ 0.443754   ,  0.0333526  ,  4.33153    ,  1.29072e-10,  0.011678   ])
48198   , -1987.69    , array([ 0.443754   ,  0.0333526  ,  3.27253    ,  1.29072e-10,  0.011678   ])
48199   , -1986.59    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  1.29072e-10,  0.011678   ])
48200   , -1986.59    , array([ 0.443754   ,  0.0333526  ,  3.84219    ,  1.29072e-10,  0.011678   ])
48201   , -1986.59    , array([ 0.443754   ,  0.0333526  ,  3.91981    ,  1.29072e-10,  0.011678   ])
48202   , -1986.59    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  1.29072e-10,  0.011678   ])
48203   , -1988.09    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  1          ,  0.011678   ])
48205   , -1986.59    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  1.29072e-10,  0.011678   ])
48207   , -1985.64    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.381966   ,  0.011678   ])
48208   , -1985.87    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.190983   ,  0.011678   ])
