183382  , -1.14423e+06, array([ 0.0024059  ,  48.818     ,  9.47737e-59,  2.67307e-08,  0.0602418  ])
183383  , -1.14516e+06, array([ 0.0024059  ,  48.818     ,  9.47737e-59,  2.6704e-08 ,  0.060302   ])
183384  , -1.1402e+06 , array([ 0.00225301 ,  72.9566    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183385  , -1.1402e+06 , array([ 0.00225301 ,  72.9566    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183386  , -1.13924e+06, array([ 0.00225526 ,  72.9566    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183387  , -1.1402e+06 , array([ 0.00225301 ,  73.0295    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183388  , -1.1402e+06 , array([ 0.00225301 ,  72.9566    ,  9.48685e-59,  2.11215e-08,  0.0560384  ])
183389  , -1.14019e+06, array([ 0.00225301 ,  72.9566    ,  9.47737e-59,  2.11427e-08,  0.0560384  ])
183390  , -1.14113e+06, array([ 0.00225301 ,  72.9566    ,  9.47737e-59,  2.11215e-08,  0.0560945  ])
183391  , -1.1402e+06 , array([ 0.00225301 ,  72.9568    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183392  , -1.1402e+06 , array([ 0.00225301 ,  72.9568    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183393  , -1.13924e+06, array([ 0.00225526 ,  72.9568    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183394  , -1.1402e+06 , array([ 0.00225301 ,  73.0298    ,  9.47737e-59,  2.11215e-08,  0.0560384  ])
183395  , -1.1402e+06 , array([ 0.00225301 ,  72.9568    ,  9.48685e-59,  2.11215e-08,  0.0560384  ])
183396  , -1.14019e+06, array([ 0.00225301 ,  72.9568    ,  9.47737e-59,  2.11426e-08,  0.0560384  ])
183397  , -1.14112e+06, array([ 0.00225301 ,  72.9568    ,  9.47737e-59,  2.11215e-08,  0.0560944  ])
183398  , -1.1402e+06 , array([ 0.00225301 ,  72.957     ,  9.47737e-59,  2.11215e-08,  0.0560383  ])
183399  , -1.1402e+06 , array([ 0.00225301 ,  72.957     ,  9.47737e-59,  2.11215e-08,  0.0560383  ])
183400  , -1.13924e+06, array([ 0.00225526 ,  72.957     ,  9.47737e-59,  2.11215e-08,  0.0560383  ])
183401  , -1.1402e+06 , array([ 0.00225301 ,  73.03      ,  9.47737e-59,  2.11215e-08,  0.0560383  ])
183402  , -1.1402e+06 , array([ 0.00225301 ,  72.957     ,  9.48685e-59,  2.11215e-08,  0.0560383  ])
183403  , -1.14019e+06, array([ 0.00225301 ,  72.957     ,  9.47737e-59,  2.11426e-08,  0.0560383  ])
183404  , -1.14112e+06, array([ 0.00225301 ,  72.957     ,  9.47737e-59,  2.11215e-08,  0.0560944  ])
183405  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183406  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
