174503  , -12039.8    , array([ 1.36209    ,  0.563554   ,  2.99488e-51,  1.49982e-73,  0.201956   ])
174504  , -12053.6    , array([ 1.36209    ,  0.563554   ,  2.99488e-51,  1.49832e-73,  0.202158   ])
174505  , -9412.46    , array([ 1.74126    ,  0.504344   ,  2.99488e-51,  1.49832e-73,  0.182425   ])
174506  , -9412.46    , array([ 1.74126    ,  0.504344   ,  2.99488e-51,  1.49832e-73,  0.182425   ])
174507  , -9409.2     , array([ 1.743      ,  0.504344   ,  2.99488e-51,  1.49832e-73,  0.182425   ])
174508  , -9413.66    , array([ 1.74126    ,  0.504849   ,  2.99488e-51,  1.49832e-73,  0.182425   ])
174509  , -9412.46    , array([ 1.74126    ,  0.504344   ,  2.99788e-51,  1.49832e-73,  0.182425   ])
174510  , -9412.46    , array([ 1.74126    ,  0.504344   ,  2.99488e-51,  1.49982e-73,  0.182425   ])
174511  , -9423.13    , array([ 1.74126    ,  0.504344   ,  2.99488e-51,  1.49832e-73,  0.182607   ])
174512  , -5792.85    , array([ 2.10756    ,  0.345941   ,  2.99488e-51,  1.49832e-73,  0.128215   ])
174513  , -5792.85    , array([ 2.10756    ,  0.345941   ,  2.99488e-51,  1.49832e-73,  0.128215   ])
174514  , -5792.29    , array([ 2.10967    ,  0.345941   ,  2.99488e-51,  1.49832e-73,  0.128215   ])
174515  , -5793.18    , array([ 2.10756    ,  0.346287   ,  2.99488e-51,  1.49832e-73,  0.128215   ])
174516  , -5792.85    , array([ 2.10756    ,  0.345941   ,  2.99788e-51,  1.49832e-73,  0.128215   ])
174517  , -5792.85    , array([ 2.10756    ,  0.345941   ,  2.99488e-51,  1.49982e-73,  0.128215   ])
174518  , -5799.7     , array([ 2.10756    ,  0.345941   ,  2.99488e-51,  1.49832e-73,  0.128344   ])
174519  , -3110.19    , array([ 2.26575    ,  0.205331   ,  2.99488e-51,  1.49832e-73,  0.0759004  ])
174520  , -3110.19    , array([ 2.26575    ,  0.205331   ,  2.99488e-51,  1.49832e-73,  0.0759004  ])
174521  , -3110.36    , array([ 2.26801    ,  0.205331   ,  2.99488e-51,  1.49832e-73,  0.0759004  ])
174522  , -3110.26    , array([ 2.26575    ,  0.205537   ,  2.99488e-51,  1.49832e-73,  0.0759004  ])
174523  , -3110.19    , array([ 2.26575    ,  0.205331   ,  2.99788e-51,  1.49832e-73,  0.0759004  ])
174524  , -3110.19    , array([ 2.26575    ,  0.205331   ,  2.99488e-51,  1.49982e-73,  0.0759004  ])
174525  , -3113.53    , array([ 2.26575    ,  0.205331   ,  2.99488e-51,  1.49832e-73,  0.0759763  ])
174526  , -2042.16    , array([ 2.30118    ,  0.129719   ,  2.99488e-51,  1.49832e-73,  0.0475483  ])
174527  , -2042.16    , array([ 2.30118    ,  0.129719   ,  2.99488e-51,  1.49832e-73,  0.0475483  ])
174528  , -2042.37    , array([ 2.30348    ,  0.129719   ,  2.99488e-51,  1.49832e-73,  0.0475483  ])
174529  , -2042.13    , array([ 2.30118    ,  0.129849   ,  2.99488e-51,  1.49832e-73,  0.0475483  ])
174530  , -2042.16    , array([ 2.30118    ,  0.129719   ,  2.99788e-51,  1.49832e-73,  0.0475483  ])
174531  , -2042.16    , array([ 2.30118    ,  0.129719   ,  2.99488e-51,  1.49982e-73,  0.0475483  ])
174532  , -2043.59    , array([ 2.30118    ,  0.129719   ,  2.99488e-51,  1.49832e-73,  0.0475959  ])
174533  , -1744.64    , array([ 2.29283    ,  0.0945843  ,  2.99488e-51,  1.49832e-73,  0.0343163  ])
174534  , -1744.64    , array([ 2.29283    ,  0.0945843  ,  2.99488e-51,  1.49832e-73,  0.0343163  ])
174535  , -1744.82    , array([ 2.29513    ,  0.0945843  ,  2.99488e-51,  1.49832e-73,  0.0343163  ])
174536  , -1744.66    , array([ 2.29283    ,  0.0946789  ,  2.99488e-51,  1.49832e-73,  0.0343163  ])
174537  , -1744.64    , array([ 2.29283    ,  0.0945843  ,  2.99788e-51,  1.49832e-73,  0.0343163  ])
174538  , -1744.64    , array([ 2.29283    ,  0.0945843  ,  2.99488e-51,  1.49982e-73,  0.0343163  ])
174539  , -1745.16    , array([ 2.29283    ,  0.0945843  ,  2.99488e-51,  1.49832e-73,  0.0343507  ])
174540  , -1678.24    , array([ 2.26503    ,  0.0774213  ,  2.99488e-51,  1.49832e-73,  0.0279857  ])
174541  , -1678.24    , array([ 2.26503    ,  0.0774213  ,  2.99488e-51,  1.49832e-73,  0.0279857  ])
174542  , -1678.4     , array([ 2.2673     ,  0.0774213  ,  2.99488e-51,  1.49832e-73,  0.0279857  ])
174543  , -1678.21    , array([ 2.26503    ,  0.0774987  ,  2.99488e-51,  1.49832e-73,  0.0279857  ])
174544  , -1678.24    , array([ 2.26503    ,  0.0774213  ,  2.99788e-51,  1.49832e-73,  0.0279857  ])
174545  , -1678.24    , array([ 2.26503    ,  0.0774213  ,  2.99488e-51,  1.49982e-73,  0.0279857  ])
174546  , -1678.45    , array([ 2.26503    ,  0.0774213  ,  2.99488e-51,  1.49832e-73,  0.0280137  ])
174547  , -1669.01    , array([ 2.23177    ,  0.0703716  ,  2.99488e-51,  1.49832e-73,  0.0253265  ])
174548  , -1669.01    , array([ 2.23177    ,  0.0703716  ,  2.99488e-51,  1.49832e-73,  0.0253265  ])
174549  , -1669.15    , array([ 2.234      ,  0.0703716  ,  2.99488e-51,  1.49832e-73,  0.0253265  ])
174550  , -1669.02    , array([ 2.23177    ,  0.070442   ,  2.99488e-51,  1.49832e-73,  0.0253265  ])
174551  , -1669.01    , array([ 2.23177    ,  0.0703716  ,  2.99788e-51,  1.49832e-73,  0.0253265  ])
174552  , -1669.01    , array([ 2.23177    ,  0.0703716  ,  2.99488e-51,  1.49982e-73,  0.0253265  ])
174553  , -1669.02    , array([ 2.23177    ,  0.0703716  ,  2.99488e-51,  1.49832e-73,  0.0253518  ])
174554  , -1667.72    , array([ 2.19853    ,  0.067779   ,  2.99488e-51,  1.49832e-73,  0.0244031  ])
174555  , -1667.72    , array([ 2.19853    ,  0.067779   ,  2.99488e-51,  1.49832e-73,  0.0244031  ])
174556  , -1667.86    , array([ 2.20073    ,  0.067779   ,  2.99488e-51,  1.49832e-73,  0.0244031  ])
174557  , -1667.7     , array([ 2.19853    ,  0.0678468  ,  2.99488e-51,  1.49832e-73,  0.0244031  ])
174558  , -1667.72    , array([ 2.19853    ,  0.067779   ,  2.99788e-51,  1.49832e-73,  0.0244031  ])
174559  , -1667.72    , array([ 2.19853    ,  0.067779   ,  2.99488e-51,  1.49982e-73,  0.0244031  ])
174560  , -1667.73    , array([ 2.19853    ,  0.067779   ,  2.99488e-51,  1.49832e-73,  0.0244275  ])
174561  , -1666.2     , array([ 2.15268    ,  0.066325   ,  2.99488e-51,  1.49832e-73,  0.0238465  ])
174562  , -1666.2     , array([ 2.15268    ,  0.066325   ,  2.99488e-51,  1.49832e-73,  0.0238465  ])
174563  , -1666.33    , array([ 2.15483    ,  0.066325   ,  2.99488e-51,  1.49832e-73,  0.0238465  ])
174564  , -1666.19    , array([ 2.15268    ,  0.0663913  ,  2.99488e-51,  1.49832e-73,  0.0238465  ])
174565  , -1666.2     , array([ 2.15268    ,  0.066325   ,  2.99788e-51,  1.49832e-73,  0.0238465  ])
174566  , -1666.2     , array([ 2.15268    ,  0.066325   ,  2.99488e-51,  1.49982e-73,  0.0238465  ])
174567  , -1666.16    , array([ 2.15268    ,  0.066325   ,  2.99488e-51,  1.49832e-73,  0.0238704  ])
174568  , -1663.86    , array([ 2.09251    ,  0.0652768  ,  2.99488e-51,  1.49832e-73,  0.0234604  ])
174569  , -1663.86    , array([ 2.09251    ,  0.0652768  ,  2.99488e-51,  1.49832e-73,  0.0234604  ])
174570  , -1663.99    , array([ 2.09461    ,  0.0652768  ,  2.99488e-51,  1.49832e-73,  0.0234604  ])
174571  , -1663.84    , array([ 2.09251    ,  0.0653421  ,  2.99488e-51,  1.49832e-73,  0.0234604  ])
174572  , -1663.86    , array([ 2.09251    ,  0.0652768  ,  2.99788e-51,  1.49832e-73,  0.0234604  ])
174573  , -1663.86    , array([ 2.09251    ,  0.0652768  ,  2.99488e-51,  1.49982e-73,  0.0234604  ])
174574  , -1663.81    , array([ 2.09251    ,  0.0652768  ,  2.99488e-51,  1.49832e-73,  0.0234838  ])
174575  , -1659.89    , array([ 2.00179    ,  0.064366   ,  2.99488e-51,  1.49832e-73,  0.0231125  ])
174576  , -1659.89    , array([ 2.00179    ,  0.064366   ,  2.99488e-51,  1.49832e-73,  0.0231125  ])
174577  , -1660.01    , array([ 2.00379    ,  0.064366   ,  2.99488e-51,  1.49832e-73,  0.0231125  ])
174578  , -1659.88    , array([ 2.00179    ,  0.0644304  ,  2.99488e-51,  1.49832e-73,  0.0231125  ])
174579  , -1659.89    , array([ 2.00179    ,  0.064366   ,  2.99788e-51,  1.49832e-73,  0.0231125  ])
174580  , -1659.89    , array([ 2.00179    ,  0.064366   ,  2.99488e-51,  1.49982e-73,  0.0231125  ])
174581  , -1659.82    , array([ 2.00179    ,  0.064366   ,  2.99488e-51,  1.49832e-73,  0.0231356  ])
174582  , -1653.07    , array([ 1.8532     ,  0.0634757  ,  2.99488e-51,  1.49832e-73,  0.0227705  ])
174583  , -1653.07    , array([ 1.8532     ,  0.0634757  ,  2.99488e-51,  1.49832e-73,  0.0227705  ])
174584  , -1653.17    , array([ 1.85505    ,  0.0634757  ,  2.99488e-51,  1.49832e-73,  0.0227705  ])
174585  , -1653.05    , array([ 1.8532     ,  0.0635392  ,  2.99488e-51,  1.49832e-73,  0.0227705  ])
174586  , -1653.07    , array([ 1.8532     ,  0.0634757  ,  2.99788e-51,  1.49832e-73,  0.0227705  ])
174587  , -1653.07    , array([ 1.8532     ,  0.0634757  ,  2.99488e-51,  1.49982e-73,  0.0227705  ])
174588  , -1652.98    , array([ 1.8532     ,  0.0634757  ,  2.99488e-51,  1.49832e-73,  0.0227933  ])
174589  , -1642.52    , array([ 1.60274    ,  0.062807   ,  2.99488e-51,  1.49832e-73,  0.0224905  ])
174590  , -1642.52    , array([ 1.60274    ,  0.062807   ,  2.99488e-51,  1.49832e-73,  0.0224905  ])
174591  , -1642.58    , array([ 1.60434    ,  0.062807   ,  2.99488e-51,  1.49832e-73,  0.0224905  ])
174592  , -1642.5     , array([ 1.60274    ,  0.0628699  ,  2.99488e-51,  1.49832e-73,  0.0224905  ])
174593  , -1642.52    , array([ 1.60274    ,  0.062807   ,  2.99788e-51,  1.49832e-73,  0.0224905  ])
174594  , -1642.52    , array([ 1.60274    ,  0.062807   ,  2.99488e-51,  1.49982e-73,  0.0224905  ])
174595  , -1642.42    , array([ 1.60274    ,  0.062807   ,  2.99488e-51,  1.49832e-73,  0.022513   ])
174596  , -1637.41    , array([ 1.32979    ,  0.0635717  ,  2.99488e-51,  1.49832e-73,  0.0227233  ])
174597  , -1637.41    , array([ 1.32979    ,  0.0635717  ,  2.99488e-51,  1.49832e-73,  0.0227233  ])
174598  , -1637.38    , array([ 1.33112    ,  0.0635717  ,  2.99488e-51,  1.49832e-73,  0.0227233  ])
174599  , -1637.4     , array([ 1.32979    ,  0.0636353  ,  2.99488e-51,  1.49832e-73,  0.0227233  ])
174600  , -1637.41    , array([ 1.32979    ,  0.0635717  ,  2.99788e-51,  1.49832e-73,  0.0227233  ])
174601  , -1637.41    , array([ 1.32979    ,  0.0635717  ,  2.99488e-51,  1.49982e-73,  0.0227233  ])
174602  , -1637.36    , array([ 1.32979    ,  0.0635717  ,  2.99488e-51,  1.49832e-73,  0.022746   ])
174603  , -1635.18    , array([ 1.41161    ,  0.064627   ,  2.99488e-51,  1.49832e-73,  0.0231163  ])
174604  , -1635.18    , array([ 1.41161    ,  0.064627   ,  2.99488e-51,  1.49832e-73,  0.0231163  ])
174605  , -1635.18    , array([ 1.41303    ,  0.064627   ,  2.99488e-51,  1.49832e-73,  0.0231163  ])
174606  , -1635.18    , array([ 1.41161    ,  0.0646917  ,  2.99488e-51,  1.49832e-73,  0.0231163  ])
174607  , -1635.18    , array([ 1.41161    ,  0.064627   ,  2.99788e-51,  1.49832e-73,  0.0231163  ])
