578     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
579     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
586     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
587     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
588     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
589     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
590     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
591     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
598     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
599     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
600     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
601     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
602     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
603     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
610     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
611     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
612     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
613     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
614     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
615     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
622     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
623     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
624     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
625     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
626     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
627     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
634     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
635     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
636     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
637     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
638     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
639     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
646     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
647     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
648     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
649     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
650     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
651     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
652     , -24303.9    , array([ 0.00101849 ,  31.1763    ,  0.00130137 ,  0.0754865  ])
653     , -24303.9    , array([ 0.00101849 ,  31.1763    ,  0.00130137 ,  0.0754865  ])
654     , -24304      , array([ 0.00101951 ,  31.1763    ,  0.00130137 ,  0.0754865  ])
655     , -24303.9    , array([ 0.00101849 ,  31.2075    ,  0.00130137 ,  0.0754865  ])
656     , -24303.9    , array([ 0.00101849 ,  31.1763    ,  0.00130267 ,  0.0754865  ])
657     , -24304.7    , array([ 0.00101849 ,  31.1763    ,  0.00130137 ,  0.0755621  ])
658     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
659     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
660     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
