112571  , -1818.95    , array([ 3.3527     ,  0.0928045  ,  6.6875e-06 ,  0.00101821 ,  0.0338512  ])
112572  , -1818.95    , array([ 3.3527     ,  0.0928045  ,  6.6875e-06 ,  0.00101821 ,  0.0338512  ])
112573  , -1819.19    , array([ 3.35605    ,  0.0928045  ,  6.6875e-06 ,  0.00101821 ,  0.0338512  ])
112574  , -1818.92    , array([ 3.3527     ,  0.0928974  ,  6.6875e-06 ,  0.00101821 ,  0.0338512  ])
112575  , -1818.95    , array([ 3.3527     ,  0.0928045  ,  6.69419e-06,  0.00101821 ,  0.0338512  ])
112576  , -1818.95    , array([ 3.3527     ,  0.0928045  ,  6.6875e-06 ,  0.00101923 ,  0.0338512  ])
112577  , -1819.57    , array([ 3.3527     ,  0.0928045  ,  6.6875e-06 ,  0.00101821 ,  0.033885   ])
112578  , -1661.03    , array([ 1.30408    ,  0.0814582  ,  6.68366e-06,  0.000841439,  0.0291224  ])
112579  , -1661.03    , array([ 1.30408    ,  0.0814582  ,  6.68366e-06,  0.000841439,  0.0291224  ])
112580  , -1660.89    , array([ 1.30538    ,  0.0814582  ,  6.68366e-06,  0.000841439,  0.0291224  ])
112581  , -1661.16    , array([ 1.30408    ,  0.0815397  ,  6.68366e-06,  0.000841439,  0.0291224  ])
112582  , -1661.03    , array([ 1.30408    ,  0.0814582  ,  6.69035e-06,  0.000841439,  0.0291224  ])
112583  , -1661.03    , array([ 1.30408    ,  0.0814582  ,  6.68366e-06,  0.000842281,  0.0291224  ])
112584  , -1661.23    , array([ 1.30408    ,  0.0814582  ,  6.68366e-06,  0.000841439,  0.0291516  ])
112585  , -1647.07    , array([ 1.86161    ,  0.0682539  ,  6.6784e-06 ,  0.000781509,  0.0244815  ])
112586  , -1647.07    , array([ 1.86161    ,  0.0682539  ,  6.6784e-06 ,  0.000781509,  0.0244815  ])
112587  , -1647.18    , array([ 1.86347    ,  0.0682539  ,  6.6784e-06 ,  0.000781509,  0.0244815  ])
112588  , -1647.12    , array([ 1.86161    ,  0.0683222  ,  6.6784e-06 ,  0.000781509,  0.0244815  ])
112589  , -1647.07    , array([ 1.86161    ,  0.0682539  ,  6.68508e-06,  0.000781509,  0.0244815  ])
112590  , -1647.07    , array([ 1.86161    ,  0.0682539  ,  6.6784e-06 ,  0.000782291,  0.0244815  ])
112591  , -1647.01    , array([ 1.86161    ,  0.0682539  ,  6.6784e-06 ,  0.000781509,  0.024506   ])
112592  , -1634.41    , array([ 1.57428    ,  0.0679858  ,  6.68111e-06,  0.00080931 ,  0.0243673  ])
112593  , -1634.41    , array([ 1.57428    ,  0.0679858  ,  6.68111e-06,  0.00080931 ,  0.0243673  ])
112594  , -1634.46    , array([ 1.57586    ,  0.0679858  ,  6.68111e-06,  0.00080931 ,  0.0243673  ])
112595  , -1634.42    , array([ 1.57428    ,  0.0680538  ,  6.68111e-06,  0.00080931 ,  0.0243673  ])
112596  , -1634.41    , array([ 1.57428    ,  0.0679858  ,  6.6878e-06 ,  0.00080931 ,  0.0243673  ])
112597  , -1634.41    , array([ 1.57428    ,  0.0679858  ,  6.68111e-06,  0.00081012 ,  0.0243673  ])
