21664   , -5606.6     , array([ 19.7219    ,  76.5114    ,  7.43939e-25,  0.0974619  ])
21671   , -5602.72    , array([ 19.7219    ,  76.5115    ,  7.43939e-25,  0.0973644  ])
21672   , -5602.72    , array([ 19.7219    ,  76.5115    ,  7.43939e-25,  0.0973644  ])
21673   , -5602.72    , array([ 19.7416    ,  76.5115    ,  7.43939e-25,  0.0973644  ])
21674   , -5602.81    , array([ 19.7219    ,  76.588     ,  7.43939e-25,  0.0973644  ])
21675   , -5602.72    , array([ 19.7219    ,  76.5115    ,  7.44683e-25,  0.0973644  ])
21676   , -5606.59    , array([ 19.7219    ,  76.5115    ,  7.43939e-25,  0.0974619  ])
21677   , -4942.43    , array([ 19.7219    ,  97.8706    ,  7.43939e-25,  0.0802518  ])
21678   , -4942.43    , array([ 19.7219    ,  97.8706    ,  7.43939e-25,  0.0802518  ])
21679   , -4942.43    , array([ 19.7416    ,  97.8706    ,  7.43939e-25,  0.0802518  ])
21680   , -4942.48    , array([ 19.7219    ,  97.9685    ,  7.43939e-25,  0.0802518  ])
21681   , -4942.43    , array([ 19.7219    ,  97.8706    ,  7.44683e-25,  0.0802518  ])
21682   , -4945.58    , array([ 19.7219    ,  97.8706    ,  7.43939e-25,  0.0803321  ])
21689   , -4942.43    , array([ 19.7219    ,  97.8707    ,  7.43939e-25,  0.0802517  ])
21690   , -4942.43    , array([ 19.7219    ,  97.8707    ,  7.43939e-25,  0.0802517  ])
21691   , -4942.43    , array([ 19.7416    ,  97.8707    ,  7.43939e-25,  0.0802517  ])
21692   , -4942.48    , array([ 19.7219    ,  97.9687    ,  7.43939e-25,  0.0802517  ])
21693   , -4942.43    , array([ 19.7219    ,  97.8707    ,  7.44683e-25,  0.0802517  ])
21694   , -4945.58    , array([ 19.7219    ,  97.8707    ,  7.43939e-25,  0.080332   ])
21701   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802517  ])
21702   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802517  ])
21703   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802517  ])
21704   , -4942.47    , array([ 19.7219    ,  97.9687    ,  7.43939e-25,  0.0802517  ])
21705   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802517  ])
21706   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.080332   ])
21713   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21714   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21715   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21716   , -4942.47    , array([ 19.7219    ,  97.9687    ,  7.43939e-25,  0.0802516  ])
21717   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802516  ])
21718   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0803319  ])
21725   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21726   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21727   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21728   , -4942.47    , array([ 19.7219    ,  97.9687    ,  7.43939e-25,  0.0802516  ])
21729   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802516  ])
21730   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0803319  ])
21737   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21738   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21739   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21740   , -4942.47    , array([ 19.7219    ,  97.9687    ,  7.43939e-25,  0.0802516  ])
21741   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802516  ])
21742   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0803319  ])
21749   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21750   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21751   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21752   , -4942.47    , array([ 19.7219    ,  97.9688    ,  7.43939e-25,  0.0802516  ])
21753   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802516  ])
21754   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0803319  ])
21761   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21762   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21763   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21764   , -4942.47    , array([ 19.7219    ,  97.9688    ,  7.43939e-25,  0.0802516  ])
21765   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802516  ])
21766   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0803319  ])
21773   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21774   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21775   , -4942.42    , array([ 19.7416    ,  97.8708    ,  7.43939e-25,  0.0802516  ])
21776   , -4942.47    , array([ 19.7219    ,  97.9688    ,  7.43939e-25,  0.0802516  ])
21777   , -4942.42    , array([ 19.7219    ,  97.8708    ,  7.44683e-25,  0.0802516  ])
21778   , -4945.57    , array([ 19.7219    ,  97.8708    ,  7.43939e-25,  0.0803319  ])
21779   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21780   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21781   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
