19517   , -1976.59    , array([ 0.976953   ,  0.10211    ,  7.31626e-95,  2.16679e-17,  0.0373126  ])
19518   , -1976.59    , array([ 0.976953   ,  0.10211    ,  7.31626e-95,  2.16679e-17,  0.0373126  ])
19519   , -1975.65    , array([ 0.97793    ,  0.10211    ,  7.31626e-95,  2.16679e-17,  0.0373126  ])
19520   , -1976.12    , array([ 0.976953   ,  0.102213   ,  7.31626e-95,  2.16679e-17,  0.0373126  ])
19521   , -1976.59    , array([ 0.976953   ,  0.10211    ,  7.32358e-95,  2.16679e-17,  0.0373126  ])
19522   , -1976.59    , array([ 0.976953   ,  0.10211    ,  7.31626e-95,  2.16896e-17,  0.0373126  ])
19523   , -1978.33    , array([ 0.976953   ,  0.10211    ,  7.31626e-95,  2.16679e-17,  0.0373499  ])
19524   , -1719.15    , array([ 1.07474    ,  0.0834801  ,  7.31626e-95,  2.30262e-18,  0.0293518  ])
19525   , -1719.15    , array([ 1.07474    ,  0.0834801  ,  7.31626e-95,  2.30262e-18,  0.0293518  ])
19526   , -1718.76    , array([ 1.07581    ,  0.0834801  ,  7.31626e-95,  2.30262e-18,  0.0293518  ])
19527   , -1719.69    , array([ 1.07474    ,  0.0835636  ,  7.31626e-95,  2.30262e-18,  0.0293518  ])
19528   , -1719.15    , array([ 1.07474    ,  0.0834801  ,  7.32358e-95,  2.30262e-18,  0.0293518  ])
19529   , -1719.15    , array([ 1.07474    ,  0.0834801  ,  7.31626e-95,  2.30492e-18,  0.0293518  ])
19530   , -1719.1     , array([ 1.07474    ,  0.0834801  ,  7.31626e-95,  2.30262e-18,  0.0293811  ])
19531   , -1653.18    , array([ 1.1512     ,  0.0697531  ,  7.31626e-95,  5.12474e-19,  0.0251188  ])
19532   , -1653.18    , array([ 1.1512     ,  0.0697531  ,  7.31626e-95,  5.12474e-19,  0.0251188  ])
19533   , -1653       , array([ 1.15235    ,  0.0697531  ,  7.31626e-95,  5.12474e-19,  0.0251188  ])
19534   , -1652.96    , array([ 1.1512     ,  0.0698228  ,  7.31626e-95,  5.12474e-19,  0.0251188  ])
19535   , -1653.18    , array([ 1.1512     ,  0.0697531  ,  7.32358e-95,  5.12474e-19,  0.0251188  ])
19536   , -1653.18    , array([ 1.1512     ,  0.0697531  ,  7.31626e-95,  5.12987e-19,  0.0251188  ])
19537   , -1653.54    , array([ 1.1512     ,  0.0697531  ,  7.31626e-95,  5.12474e-19,  0.025144   ])
19538   , -1643.02    , array([ 1.19809    ,  0.065099   ,  7.31626e-95,  2.34033e-19,  0.0232375  ])
19539   , -1643.02    , array([ 1.19809    ,  0.065099   ,  7.31626e-95,  2.34033e-19,  0.0232375  ])
19540   , -1642.92    , array([ 1.19929    ,  0.065099   ,  7.31626e-95,  2.34033e-19,  0.0232375  ])
19541   , -1643.03    , array([ 1.19809    ,  0.0651641  ,  7.31626e-95,  2.34033e-19,  0.0232375  ])
19542   , -1643.02    , array([ 1.19809    ,  0.065099   ,  7.32358e-95,  2.34033e-19,  0.0232375  ])
19543   , -1643.02    , array([ 1.19809    ,  0.065099   ,  7.31626e-95,  2.34267e-19,  0.0232375  ])
19544   , -1643.02    , array([ 1.19809    ,  0.065099   ,  7.31626e-95,  2.34033e-19,  0.0232608  ])
19545   , -1642.08    , array([ 1.22384    ,  0.0634497  ,  7.31626e-95,  1.71822e-19,  0.0226499  ])
19546   , -1642.08    , array([ 1.22384    ,  0.0634497  ,  7.31626e-95,  1.71822e-19,  0.0226499  ])
19547   , -1642       , array([ 1.22506    ,  0.0634497  ,  7.31626e-95,  1.71822e-19,  0.0226499  ])
19548   , -1642.08    , array([ 1.22384    ,  0.0635132  ,  7.31626e-95,  1.71822e-19,  0.0226499  ])
19549   , -1642.08    , array([ 1.22384    ,  0.0634497  ,  7.32358e-95,  1.71822e-19,  0.0226499  ])
19550   , -1642.08    , array([ 1.22384    ,  0.0634497  ,  7.31626e-95,  1.71994e-19,  0.0226499  ])
19551   , -1642.04    , array([ 1.22384    ,  0.0634497  ,  7.31626e-95,  1.71822e-19,  0.0226725  ])
19552   , -1641.31    , array([ 1.24768    ,  0.0628773  ,  7.31626e-95,  1.43221e-19,  0.0224484  ])
19553   , -1641.31    , array([ 1.24768    ,  0.0628773  ,  7.31626e-95,  1.43221e-19,  0.0224484  ])
19554   , -1641.25    , array([ 1.24893    ,  0.0628773  ,  7.31626e-95,  1.43221e-19,  0.0224484  ])
19555   , -1641.31    , array([ 1.24768    ,  0.0629402  ,  7.31626e-95,  1.43221e-19,  0.0224484  ])
19556   , -1641.31    , array([ 1.24768    ,  0.0628773  ,  7.32358e-95,  1.43221e-19,  0.0224484  ])
19557   , -1641.31    , array([ 1.24768    ,  0.0628773  ,  7.31626e-95,  1.43364e-19,  0.0224484  ])
19558   , -1641.27    , array([ 1.24768    ,  0.0628773  ,  7.31626e-95,  1.43221e-19,  0.0224709  ])
19559   , -1640       , array([ 1.2788     ,  0.0628158  ,  7.31626e-95,  1.22204e-19,  0.0224335  ])
19560   , -1640       , array([ 1.2788     ,  0.0628158  ,  7.31626e-95,  1.22204e-19,  0.0224335  ])
19561   , -1639.95    , array([ 1.28008    ,  0.0628158  ,  7.31626e-95,  1.22204e-19,  0.0224335  ])
19562   , -1640       , array([ 1.2788     ,  0.0628786  ,  7.31626e-95,  1.22204e-19,  0.0224335  ])
19563   , -1640       , array([ 1.2788     ,  0.0628158  ,  7.32358e-95,  1.22204e-19,  0.0224335  ])
19564   , -1640       , array([ 1.2788     ,  0.0628158  ,  7.31626e-95,  1.22326e-19,  0.0224335  ])
19565   , -1639.94    , array([ 1.2788     ,  0.0628158  ,  7.31626e-95,  1.22204e-19,  0.0224559  ])
19566   , -1637.5     , array([ 1.33438    ,  0.063447   ,  7.31626e-95,  1.00801e-19,  0.022675   ])
19567   , -1637.5     , array([ 1.33438    ,  0.063447   ,  7.31626e-95,  1.00801e-19,  0.022675   ])
19568   , -1637.48    , array([ 1.33572    ,  0.063447   ,  7.31626e-95,  1.00801e-19,  0.022675   ])
19569   , -1637.5     , array([ 1.33438    ,  0.0635104  ,  7.31626e-95,  1.00801e-19,  0.022675   ])
19570   , -1637.5     , array([ 1.33438    ,  0.063447   ,  7.32358e-95,  1.00801e-19,  0.022675   ])
19571   , -1637.5     , array([ 1.33438    ,  0.063447   ,  7.31626e-95,  1.00902e-19,  0.022675   ])
19572   , -1637.45    , array([ 1.33438    ,  0.063447   ,  7.31626e-95,  1.00801e-19,  0.0226977  ])
19573   , -1633.9     , array([ 1.44022    ,  0.0657918  ,  7.31626e-95,  8.11088e-20,  0.0235497  ])
19574   , -1633.9     , array([ 1.44022    ,  0.0657918  ,  7.31626e-95,  8.11088e-20,  0.0235497  ])
19575   , -1633.91    , array([ 1.44166    ,  0.0657918  ,  7.31626e-95,  8.11088e-20,  0.0235497  ])
19576   , -1633.9     , array([ 1.44022    ,  0.0658577  ,  7.31626e-95,  8.11088e-20,  0.0235497  ])
19577   , -1633.9     , array([ 1.44022    ,  0.0657918  ,  7.32358e-95,  8.11088e-20,  0.0235497  ])
19578   , -1633.9     , array([ 1.44022    ,  0.0657918  ,  7.31626e-95,  8.11899e-20,  0.0235497  ])
19579   , -1633.87    , array([ 1.44022    ,  0.0657918  ,  7.31626e-95,  8.11088e-20,  0.0235733  ])
19580   , -1633.02    , array([ 1.45398    ,  0.0668941  ,  7.31626e-95,  8.59033e-20,  0.0239539  ])
19581   , -1633.02    , array([ 1.45398    ,  0.0668941  ,  7.31626e-95,  8.59033e-20,  0.0239539  ])
19582   , -1633.03    , array([ 1.45544    ,  0.0668941  ,  7.31626e-95,  8.59033e-20,  0.0239539  ])
19583   , -1633.02    , array([ 1.45398    ,  0.066961   ,  7.31626e-95,  8.59033e-20,  0.0239539  ])
19584   , -1633.02    , array([ 1.45398    ,  0.0668941  ,  7.32358e-95,  8.59033e-20,  0.0239539  ])
19585   , -1633.02    , array([ 1.45398    ,  0.0668941  ,  7.31626e-95,  8.59892e-20,  0.0239539  ])
19586   , -1633.01    , array([ 1.45398    ,  0.0668941  ,  7.31626e-95,  8.59033e-20,  0.0239779  ])
19587   , -1632.55    , array([ 1.44488    ,  0.0676406  ,  7.31626e-95,  9.65077e-20,  0.0242244  ])
19588   , -1632.55    , array([ 1.44488    ,  0.0676406  ,  7.31626e-95,  9.65077e-20,  0.0242244  ])
19589   , -1632.55    , array([ 1.44633    ,  0.0676406  ,  7.31626e-95,  9.65077e-20,  0.0242244  ])
19590   , -1632.55    , array([ 1.44488    ,  0.0677083  ,  7.31626e-95,  9.65077e-20,  0.0242244  ])
19591   , -1632.55    , array([ 1.44488    ,  0.0676406  ,  7.32358e-95,  9.65077e-20,  0.0242244  ])
19592   , -1632.55    , array([ 1.44488    ,  0.0676406  ,  7.31626e-95,  9.66042e-20,  0.0242244  ])
19593   , -1632.55    , array([ 1.44488    ,  0.0676406  ,  7.31626e-95,  9.65077e-20,  0.0242486  ])
19594   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19595   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19596   , -1632.53    , array([ 1.43901    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19597   , -1632.52    , array([ 1.43757    ,  0.067742   ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19598   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.32358e-95,  9.99239e-20,  0.0242352  ])
19599   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  1.00024e-19,  0.0242352  ])
19600   , -1632.53    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242594  ])
19601   , -1632.53    , array([ 1.43653    ,  0.0676526  ,  7.31626e-95,  1.00148e-19,  0.0242271  ])
19602   , -1632.53    , array([ 1.43653    ,  0.0676526  ,  7.31626e-95,  1.00148e-19,  0.0242271  ])
19603   , -1632.53    , array([ 1.43797    ,  0.0676526  ,  7.31626e-95,  1.00148e-19,  0.0242271  ])
19604   , -1632.53    , array([ 1.43653    ,  0.0677203  ,  7.31626e-95,  1.00148e-19,  0.0242271  ])
19605   , -1632.53    , array([ 1.43653    ,  0.0676526  ,  7.32358e-95,  1.00148e-19,  0.0242271  ])
19606   , -1632.53    , array([ 1.43653    ,  0.0676526  ,  7.31626e-95,  1.00249e-19,  0.0242271  ])
19607   , -1632.53    , array([ 1.43653    ,  0.0676526  ,  7.31626e-95,  1.00148e-19,  0.0242513  ])
19608   , -1632.52    , array([ 1.43757    ,  0.0676741  ,  7.31626e-95,  9.99252e-20,  0.0242351  ])
19609   , -1632.52    , array([ 1.43757    ,  0.0676741  ,  7.31626e-95,  9.99252e-20,  0.0242351  ])
19610   , -1632.53    , array([ 1.439      ,  0.0676741  ,  7.31626e-95,  9.99252e-20,  0.0242351  ])
19611   , -1632.52    , array([ 1.43757    ,  0.0677418  ,  7.31626e-95,  9.99252e-20,  0.0242351  ])
19612   , -1632.52    , array([ 1.43757    ,  0.0676741  ,  7.32358e-95,  9.99252e-20,  0.0242351  ])
19613   , -1632.52    , array([ 1.43757    ,  0.0676741  ,  7.31626e-95,  1.00025e-19,  0.0242351  ])
19614   , -1632.53    , array([ 1.43757    ,  0.0676741  ,  7.31626e-95,  9.99252e-20,  0.0242594  ])
19615   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19616   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19617   , -1632.53    , array([ 1.43901    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19618   , -1632.52    , array([ 1.43757    ,  0.0677419  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19619   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.32358e-95,  9.99239e-20,  0.0242352  ])
19620   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  1.00024e-19,  0.0242352  ])
19621   , -1632.53    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242594  ])
19622   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19623   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19624   , -1632.53    , array([ 1.43901    ,  0.0676742  ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19625   , -1632.52    , array([ 1.43757    ,  0.067742   ,  7.31626e-95,  9.99239e-20,  0.0242352  ])
19626   , -1632.52    , array([ 1.43757    ,  0.0676742  ,  7.32358e-95,  9.99239e-20,  0.0242352  ])
