159613  , -1922.7     , array([ 96.8625    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159614  , -1922.71    , array([ 96.7656    ,  0.0566665  ,  2.64045e-65,  4.00125e-09,  0.0204449  ])
159615  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64309e-65,  4.00125e-09,  0.0204449  ])
159616  , -1922.7     , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00525e-09,  0.0204449  ])
159617  , -1922.78    , array([ 96.7656    ,  0.0566099  ,  2.64045e-65,  4.00125e-09,  0.0204653  ])
159618  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159619  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159620  , -1921.92    , array([ 99.3378    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159621  , -1921.92    , array([ 99.2385    ,  0.0556919  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159622  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64309e-65,  3.92947e-09,  0.020083   ])
159623  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.9334e-09 ,  0.020083   ])
159624  , -1921.98    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.0201031  ])
159632  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159633  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159634  , -1921.92    , array([ 99.3378    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159635  , -1921.92    , array([ 99.2385    ,  0.0556919  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159636  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64309e-65,  3.92947e-09,  0.020083   ])
159637  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.9334e-09 ,  0.020083   ])
159638  , -1921.98    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.0201031  ])
159646  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159647  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159648  , -1921.92    , array([ 99.3378    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159649  , -1921.92    , array([ 99.2385    ,  0.0556919  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159650  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64309e-65,  3.92947e-09,  0.020083   ])
159651  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.9334e-09 ,  0.020083   ])
159652  , -1921.98    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.0201031  ])
159660  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159661  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159662  , -1921.92    , array([ 99.3378    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159663  , -1921.92    , array([ 99.2385    ,  0.0556919  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159664  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64309e-65,  3.92947e-09,  0.020083   ])
159665  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.9334e-09 ,  0.020083   ])
159666  , -1921.98    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.0201031  ])
159667  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159668  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159669  , -1921.92    , array([ 99.3378    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159670  , -1921.92    , array([ 99.2385    ,  0.0556919  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159671  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64309e-65,  3.92947e-09,  0.020083   ])
159672  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.9334e-09 ,  0.020083   ])
159673  , -1921.98    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.0201031  ])
159674  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
159675  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
159677  , -1921.76    , array([ 99.9922    ,  0.0554029  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
159678  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64309e-65,  3.90814e-09,  0.0199758  ])
159679  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.91205e-09,  0.0199758  ])
159680  , -1921.81    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199957  ])
159681  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159682  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159683  , -1921.92    , array([ 99.3378    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159684  , -1921.92    , array([ 99.2385    ,  0.0556919  ,  2.64045e-65,  3.92947e-09,  0.020083   ])
159685  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64309e-65,  3.92947e-09,  0.020083   ])
159686  , -1921.91    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.9334e-09 ,  0.020083   ])
159687  , -1921.98    , array([ 99.2385    ,  0.0556363  ,  2.64045e-65,  3.92947e-09,  0.0201031  ])
159688  , -1921.8     , array([ 99.7403    ,  0.0554436  ,  2.64045e-65,  3.91524e-09,  0.0200114  ])
159689  , -1921.8     , array([ 99.7403    ,  0.0554436  ,  2.64045e-65,  3.91524e-09,  0.0200114  ])
159690  , -1921.81    , array([ 99.8401    ,  0.0554436  ,  2.64045e-65,  3.91524e-09,  0.0200114  ])
159691  , -1921.81    , array([ 99.7403    ,  0.0554991  ,  2.64045e-65,  3.91524e-09,  0.0200114  ])
159692  , -1921.8     , array([ 99.7403    ,  0.0554436  ,  2.64309e-65,  3.91524e-09,  0.0200114  ])
159693  , -1921.8     , array([ 99.7403    ,  0.0554436  ,  2.64045e-65,  3.91915e-09,  0.0200114  ])
159694  , -1921.86    , array([ 99.7403    ,  0.0554436  ,  2.64045e-65,  3.91524e-09,  0.0200315  ])
159695  , -1921.77    , array([ 99.9082    ,  0.0553795  ,  2.64045e-65,  3.9105e-09 ,  0.0199877  ])
159696  , -1921.77    , array([ 99.9082    ,  0.0553795  ,  2.64045e-65,  3.9105e-09 ,  0.0199877  ])
159698  , -1921.78    , array([ 99.9082    ,  0.0554349  ,  2.64045e-65,  3.9105e-09 ,  0.0199877  ])
159699  , -1921.77    , array([ 99.9082    ,  0.0553795  ,  2.64309e-65,  3.9105e-09 ,  0.0199877  ])
159700  , -1921.77    , array([ 99.9082    ,  0.0553795  ,  2.64045e-65,  3.91442e-09,  0.0199877  ])
159701  , -1921.83    , array([ 99.9082    ,  0.0553795  ,  2.64045e-65,  3.9105e-09 ,  0.0200076  ])
159702  , -1921.76    , array([ 99.9744    ,  0.0553543  ,  2.64045e-65,  3.90864e-09,  0.0199783  ])
