33898   , -394.25     , array([ 0.160636   ,  0.0403885  ,  0.320925   ,  0.0862413  ])
33899   , -394.266    , array([ 0.160476   ,  0.040429   ,  0.320925   ,  0.0862413  ])
33900   , -394.298    , array([ 0.160476   ,  0.0403885  ,  0.321246   ,  0.0862413  ])
33901   , -394.315    , array([ 0.160476   ,  0.0403885  ,  0.320925   ,  0.0863275  ])
33902   , -394.274    , array([ 0.16118    ,  0.0405776  ,  0.321785   ,  0.0865738  ])
33903   , -394.274    , array([ 0.16118    ,  0.0405776  ,  0.321785   ,  0.0865738  ])
33904   , -394.248    , array([ 0.161341   ,  0.0405776  ,  0.321785   ,  0.0865738  ])
33905   , -394.263    , array([ 0.16118    ,  0.0406182  ,  0.321785   ,  0.0865738  ])
33906   , -394.294    , array([ 0.16118    ,  0.0405776  ,  0.322107   ,  0.0865738  ])
33907   , -394.31     , array([ 0.16118    ,  0.0405776  ,  0.321785   ,  0.0866604  ])
33908   , -394.274    , array([ 0.161305   ,  0.0406111  ,  0.321937   ,  0.0866328  ])
33909   , -394.274    , array([ 0.161305   ,  0.0406111  ,  0.321937   ,  0.0866328  ])
33910   , -394.247    , array([ 0.161466   ,  0.0406111  ,  0.321937   ,  0.0866328  ])
33911   , -394.263    , array([ 0.161305   ,  0.0406517  ,  0.321937   ,  0.0866328  ])
33912   , -394.293    , array([ 0.161305   ,  0.0406111  ,  0.322259   ,  0.0866328  ])
33913   , -394.309    , array([ 0.161305   ,  0.0406111  ,  0.321937   ,  0.0867195  ])
33914   , -394.274    , array([ 0.161327   ,  0.0406171  ,  0.321964   ,  0.0866433  ])
33915   , -394.274    , array([ 0.161327   ,  0.0406171  ,  0.321964   ,  0.0866433  ])
33916   , -394.247    , array([ 0.161489   ,  0.0406171  ,  0.321964   ,  0.0866433  ])
33917   , -394.263    , array([ 0.161327   ,  0.0406577  ,  0.321964   ,  0.0866433  ])
33918   , -394.293    , array([ 0.161327   ,  0.0406171  ,  0.322286   ,  0.0866433  ])
33919   , -394.309    , array([ 0.161327   ,  0.0406171  ,  0.321964   ,  0.08673    ])
33920   , -394.274    , array([ 0.161331   ,  0.0406182  ,  0.321969   ,  0.0866452  ])
33921   , -394.274    , array([ 0.161331   ,  0.0406182  ,  0.321969   ,  0.0866452  ])
33922   , -394.247    , array([ 0.161493   ,  0.0406182  ,  0.321969   ,  0.0866452  ])
33923   , -394.263    , array([ 0.161331   ,  0.0406588  ,  0.321969   ,  0.0866452  ])
33924   , -394.293    , array([ 0.161331   ,  0.0406182  ,  0.322291   ,  0.0866452  ])
33925   , -394.309    , array([ 0.161331   ,  0.0406182  ,  0.321969   ,  0.0867319  ])
33926   , -394.274    , array([ 0.161332   ,  0.0406183  ,  0.32197    ,  0.0866455  ])
33927   , -394.274    , array([ 0.161332   ,  0.0406183  ,  0.32197    ,  0.0866455  ])
33928   , -394.247    , array([ 0.161493   ,  0.0406183  ,  0.32197    ,  0.0866455  ])
33929   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866455  ])
33930   , -394.293    , array([ 0.161332   ,  0.0406183  ,  0.322292   ,  0.0866455  ])
33931   , -394.309    , array([ 0.161332   ,  0.0406183  ,  0.32197    ,  0.0867322  ])
33932   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33933   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33934   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33935   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33936   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33937   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33938   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33939   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33940   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33941   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33942   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33943   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33944   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33945   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33946   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33947   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33948   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33949   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33950   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33951   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33952   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33953   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33954   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33955   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33956   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33957   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33958   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33959   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33960   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33961   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33962   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33963   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33964   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33965   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33966   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33967   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33968   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33969   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33970   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33971   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33972   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33973   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33974   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33975   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33976   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33977   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33978   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33979   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33980   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33981   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33982   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33983   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33984   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33985   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33986   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33987   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33988   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33989   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33990   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33991   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33992   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33993   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33994   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33995   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
33996   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
33997   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
33998   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
33999   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34000   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34001   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34002   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34003   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34004   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34005   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34006   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34007   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34008   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34009   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34010   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
