199361  , -1635.63    , array([ 1.36778    ,  0.0644123  ,  6.0503e-05 ,  1.36912e-12,  0.0230576  ])
199362  , -1633.74    , array([ 1.43189    ,  0.0659113  ,  6.06488e-05,  1.06364e-12,  0.0235938  ])
199363  , -1633.74    , array([ 1.43189    ,  0.0659113  ,  6.06488e-05,  1.06364e-12,  0.0235938  ])
199364  , -1633.75    , array([ 1.43332    ,  0.0659113  ,  6.06488e-05,  1.06364e-12,  0.0235938  ])
199365  , -1633.74    , array([ 1.43189    ,  0.0659773  ,  6.06488e-05,  1.06364e-12,  0.0235938  ])
199366  , -1633.74    , array([ 1.43189    ,  0.0659113  ,  6.07095e-05,  1.06364e-12,  0.0235938  ])
199367  , -1633.74    , array([ 1.43189    ,  0.0659113  ,  6.06488e-05,  1.0647e-12 ,  0.0235938  ])
199368  , -1633.72    , array([ 1.43189    ,  0.0659113  ,  6.06488e-05,  1.06364e-12,  0.0236174  ])
199369  , -1632.83    , array([ 1.44966    ,  0.0671411  ,  6.19914e-05,  1.23778e-12,  0.0240439  ])
199370  , -1632.83    , array([ 1.44966    ,  0.0671411  ,  6.19914e-05,  1.23778e-12,  0.0240439  ])
199371  , -1632.84    , array([ 1.45111    ,  0.0671411  ,  6.19914e-05,  1.23778e-12,  0.0240439  ])
199372  , -1632.83    , array([ 1.44966    ,  0.0672082  ,  6.19914e-05,  1.23778e-12,  0.0240439  ])
199373  , -1632.83    , array([ 1.44966    ,  0.0671411  ,  6.20534e-05,  1.23778e-12,  0.0240439  ])
199374  , -1632.83    , array([ 1.44966    ,  0.0671411  ,  6.19914e-05,  1.23902e-12,  0.0240439  ])
199375  , -1632.82    , array([ 1.44966    ,  0.0671411  ,  6.19914e-05,  1.23778e-12,  0.024068   ])
199376  , -1632.55    , array([ 1.44274    ,  0.0676269  ,  6.31594e-05,  1.51056e-12,  0.0242189  ])
199377  , -1632.55    , array([ 1.44274    ,  0.0676269  ,  6.31594e-05,  1.51056e-12,  0.0242189  ])
199378  , -1632.55    , array([ 1.44418    ,  0.0676269  ,  6.31594e-05,  1.51056e-12,  0.0242189  ])
199379  , -1632.55    , array([ 1.44274    ,  0.0676945  ,  6.31594e-05,  1.51056e-12,  0.0242189  ])
199380  , -1632.55    , array([ 1.44274    ,  0.0676269  ,  6.32226e-05,  1.51056e-12,  0.0242189  ])
199381  , -1632.55    , array([ 1.44274    ,  0.0676269  ,  6.31594e-05,  1.51207e-12,  0.0242189  ])
199382  , -1632.55    , array([ 1.44274    ,  0.0676269  ,  6.31594e-05,  1.51056e-12,  0.0242432  ])
199383  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199384  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199385  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199386  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199387  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199388  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199389  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199390  , -1632.53    , array([ 1.43651    ,  0.0676528  ,  6.39002e-05,  1.62001e-12,  0.0242271  ])
199391  , -1632.53    , array([ 1.43651    ,  0.0676528  ,  6.39002e-05,  1.62001e-12,  0.0242271  ])
199392  , -1632.53    , array([ 1.43795    ,  0.0676528  ,  6.39002e-05,  1.62001e-12,  0.0242271  ])
199393  , -1632.53    , array([ 1.43651    ,  0.0677204  ,  6.39002e-05,  1.62001e-12,  0.0242271  ])
199394  , -1632.53    , array([ 1.43651    ,  0.0676528  ,  6.39641e-05,  1.62001e-12,  0.0242271  ])
199395  , -1632.53    , array([ 1.43651    ,  0.0676528  ,  6.39002e-05,  1.62163e-12,  0.0242271  ])
199396  , -1632.53    , array([ 1.43651    ,  0.0676528  ,  6.39002e-05,  1.62001e-12,  0.0242513  ])
199397  , -1632.53    , array([ 1.43707    ,  0.0676655  ,  6.36709e-05,  1.61632e-12,  0.0242319  ])
199398  , -1632.53    , array([ 1.43707    ,  0.0676655  ,  6.36709e-05,  1.61632e-12,  0.0242319  ])
199399  , -1632.53    , array([ 1.43851    ,  0.0676655  ,  6.36709e-05,  1.61632e-12,  0.0242319  ])
199400  , -1632.53    , array([ 1.43707    ,  0.0677332  ,  6.36709e-05,  1.61632e-12,  0.0242319  ])
199401  , -1632.53    , array([ 1.43707    ,  0.0676655  ,  6.37346e-05,  1.61632e-12,  0.0242319  ])
199402  , -1632.53    , array([ 1.43707    ,  0.0676655  ,  6.36709e-05,  1.61793e-12,  0.0242319  ])
199403  , -1632.53    , array([ 1.43707    ,  0.0676655  ,  6.36709e-05,  1.61632e-12,  0.0242561  ])
199404  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199405  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199406  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199407  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199408  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199409  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199410  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199411  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199412  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199413  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199414  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199415  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199416  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199417  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199418  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199419  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199420  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199421  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199422  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199423  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199424  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199425  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199426  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199427  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199428  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199429  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199430  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199431  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199432  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199433  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199434  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199435  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199436  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199437  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199438  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199439  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199440  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199441  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199442  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199443  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199444  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199445  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199446  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199447  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199448  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199449  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199450  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199451  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199452  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199453  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199454  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199455  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
