58356   , -1636.93    , array([ 1.35126    ,  0.0635437  ,  0.00137258 ,  3.11675e-31,  0.022764   ])
58357   , -1636.93    , array([ 1.35126    ,  0.0635437  ,  0.00137258 ,  3.11675e-31,  0.022764   ])
58358   , -1636.91    , array([ 1.35262    ,  0.0635437  ,  0.00137258 ,  3.11675e-31,  0.022764   ])
58359   , -1636.86    , array([ 1.35126    ,  0.0636073  ,  0.00137258 ,  3.11675e-31,  0.022764   ])
58360   , -1636.93    , array([ 1.35126    ,  0.0635437  ,  0.00137396 ,  3.11675e-31,  0.022764   ])
58361   , -1636.93    , array([ 1.35126    ,  0.0635437  ,  0.00137258 ,  3.11987e-31,  0.022764   ])
58362   , -1636.94    , array([ 1.35126    ,  0.0635437  ,  0.00137258 ,  3.11675e-31,  0.0227868  ])
58363   , -1632.16    , array([ 1.45532    ,  0.0689235  ,  0.00151052 ,  3.11675e-31,  0.0247392  ])
58364   , -1632.16    , array([ 1.45532    ,  0.0689235  ,  0.00151052 ,  3.11675e-31,  0.0247392  ])
58365   , -1632.16    , array([ 1.45678    ,  0.0689235  ,  0.00151052 ,  3.11675e-31,  0.0247392  ])
58366   , -1632.11    , array([ 1.45532    ,  0.0689925  ,  0.00151052 ,  3.11675e-31,  0.0247392  ])
58367   , -1632.16    , array([ 1.45532    ,  0.0689235  ,  0.00151203 ,  3.11675e-31,  0.0247392  ])
58368   , -1632.16    , array([ 1.45532    ,  0.0689235  ,  0.00151052 ,  3.11987e-31,  0.0247392  ])
58369   , -1632.23    , array([ 1.45532    ,  0.0689235  ,  0.00151052 ,  3.11675e-31,  0.0247639  ])
58370   , -1632.5     , array([ 1.4356     ,  0.0676291  ,  0.00160349 ,  3.11675e-31,  0.02419    ])
58371   , -1632.5     , array([ 1.4356     ,  0.0676291  ,  0.00160349 ,  3.11675e-31,  0.02419    ])
58372   , -1632.5     , array([ 1.43704    ,  0.0676291  ,  0.00160349 ,  3.11675e-31,  0.02419    ])
58373   , -1632.53    , array([ 1.4356     ,  0.0676968  ,  0.00160349 ,  3.11675e-31,  0.02419    ])
58374   , -1632.5     , array([ 1.4356     ,  0.0676291  ,  0.0016051  ,  3.11675e-31,  0.02419    ])
58375   , -1632.5     , array([ 1.4356     ,  0.0676291  ,  0.00160349 ,  3.11987e-31,  0.02419    ])
58376   , -1632.46    , array([ 1.4356     ,  0.0676291  ,  0.00160349 ,  3.11675e-31,  0.0242142  ])
58377   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152695 ,  3.11675e-31,  0.0246388  ])
58378   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152695 ,  3.11675e-31,  0.0246388  ])
58379   , -1632.16    , array([ 1.45318    ,  0.0686872  ,  0.00152695 ,  3.11675e-31,  0.0246388  ])
