157820  , -3629.7     , array([ 0.0403409  ,  0.00576202 ,  1.20585e-20,  2.26894e-39,  0.00184621 ])
157821  , -3629.7     , array([ 0.0403409  ,  0.00576202 ,  1.20465e-20,  2.27121e-39,  0.00184621 ])
157822  , -3630.15    , array([ 0.0403409  ,  0.00576202 ,  1.20465e-20,  2.26894e-39,  0.00184806 ])
157823  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157824  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157825  , -16009      , array([ 0.0509995  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157826  , -16029.7    , array([ 0.0509485  ,  0.00839083 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157827  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20585e-20,  2.26894e-39,  0.00100001 ])
157828  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.27121e-39,  0.00100001 ])
157829  , -15985.8    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100101 ])
157830  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157831  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157832  , -3626.87    , array([ 0.040425   ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157833  , -3631.42    , array([ 0.0403846  ,  0.00577782 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157834  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20585e-20,  2.26894e-39,  0.00184097 ])
157835  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.27121e-39,  0.00184097 ])
157836  , -3629.68    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184281 ])
157837  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157838  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157839  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157840  , -3631.43    , array([ 0.0403862  ,  0.0057782  ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157841  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157842  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157843  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157858  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157859  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157860  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157861  , -3631.43    , array([ 0.0403862  ,  0.00577819 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157862  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157863  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157864  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157865  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157866  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157867  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157868  , -3631.43    , array([ 0.0403862  ,  0.00577819 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157869  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157870  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157871  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157879  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157880  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157881  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157882  , -3631.43    , array([ 0.0403862  ,  0.00577819 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157883  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157884  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157885  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157886  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157887  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157888  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157889  , -3631.43    , array([ 0.0403862  ,  0.00577819 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157890  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157891  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157892  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
