25396   , -11373.6    , array([ 0.174018   ,  0.101913   ,  5.91201e-32,  0.0318758  ,  0.026555   ])
25397   , -11365.9    , array([ 0.174018   ,  0.101811   ,  5.91792e-32,  0.0318758  ,  0.026555   ])
25398   , -11365.9    , array([ 0.174018   ,  0.101811   ,  5.91201e-32,  0.0319076  ,  0.026555   ])
25399   , -11370.7    , array([ 0.174018   ,  0.101811   ,  5.91201e-32,  0.0318758  ,  0.0265815  ])
25400   , -16995.2    , array([ 1.37568    ,  0.941639   ,  5.91201e-32,  0.0345865  ,  0.248549   ])
25401   , -16995.2    , array([ 1.37568    ,  0.941639   ,  5.91201e-32,  0.0345865  ,  0.248549   ])
25402   , -16985.7    , array([ 1.37705    ,  0.941639   ,  5.91201e-32,  0.0345865  ,  0.248549   ])
25403   , -17003      , array([ 1.37568    ,  0.942581   ,  5.91201e-32,  0.0345865  ,  0.248549   ])
25404   , -16995.2    , array([ 1.37568    ,  0.941639   ,  5.91792e-32,  0.0345865  ,  0.248549   ])
25405   , -16995.1    , array([ 1.37568    ,  0.941639   ,  5.91201e-32,  0.0346211  ,  0.248549   ])
25406   , -17006.8    , array([ 1.37568    ,  0.941639   ,  5.91201e-32,  0.0345865  ,  0.248798   ])
25407   , -10943.9    , array([ 0.287622   ,  0.174819   ,  5.91201e-32,  0.0325144  ,  0.0457296  ])
25408   , -10943.9    , array([ 0.287622   ,  0.174819   ,  5.91201e-32,  0.0325144  ,  0.0457296  ])
25409   , -10930.1    , array([ 0.28791    ,  0.174819   ,  5.91201e-32,  0.0325144  ,  0.0457296  ])
25410   , -10951.5    , array([ 0.287622   ,  0.174994   ,  5.91201e-32,  0.0325144  ,  0.0457296  ])
25411   , -10943.9    , array([ 0.287622   ,  0.174819   ,  5.91792e-32,  0.0325144  ,  0.0457296  ])
25412   , -10943.9    , array([ 0.287622   ,  0.174819   ,  5.91201e-32,  0.0325469  ,  0.0457296  ])
25413   , -10948.6    , array([ 0.287622   ,  0.174819   ,  5.91201e-32,  0.0325144  ,  0.0457754  ])
25414   , -9670.74    , array([ 0.229278   ,  0.119257   ,  5.91201e-32,  0.0305455  ,  0.0323286  ])
25415   , -9670.74    , array([ 0.229278   ,  0.119257   ,  5.91201e-32,  0.0305455  ,  0.0323286  ])
25416   , -9658.25    , array([ 0.229508   ,  0.119257   ,  5.91201e-32,  0.0305455  ,  0.0323286  ])
25417   , -9677.6     , array([ 0.229278   ,  0.119377   ,  5.91201e-32,  0.0305455  ,  0.0323286  ])
25418   , -9670.74    , array([ 0.229278   ,  0.119257   ,  5.91792e-32,  0.0305455  ,  0.0323286  ])
25419   , -9670.74    , array([ 0.229278   ,  0.119257   ,  5.91201e-32,  0.030576   ,  0.0323286  ])
25420   , -9674.73    , array([ 0.229278   ,  0.119257   ,  5.91201e-32,  0.0305455  ,  0.0323609  ])
25421   , -7627.3     , array([ 0.47124    ,  0.210441   ,  5.91201e-32,  0.00633764 ,  0.06092    ])
25422   , -7627.3     , array([ 0.47124    ,  0.210441   ,  5.91201e-32,  0.00633764 ,  0.06092    ])
25423   , -7617.83    , array([ 0.471712   ,  0.210441   ,  5.91201e-32,  0.00633764 ,  0.06092    ])
25424   , -7632.74    , array([ 0.47124    ,  0.210652   ,  5.91201e-32,  0.00633764 ,  0.06092    ])
25425   , -7627.3     , array([ 0.47124    ,  0.210441   ,  5.91792e-32,  0.00633764 ,  0.06092    ])
25426   , -7627.3     , array([ 0.47124    ,  0.210441   ,  5.91201e-32,  0.00634398 ,  0.06092    ])
25427   , -7631.18    , array([ 0.47124    ,  0.210441   ,  5.91201e-32,  0.00633764 ,  0.060981   ])
25428   , -4619.6     , array([ 0.380741   ,  0.102348   ,  5.91201e-32,  0.121644   ,  0.0343881  ])
25429   , -4619.6     , array([ 0.380741   ,  0.102348   ,  5.91201e-32,  0.121644   ,  0.0343881  ])
25430   , -4613.48    , array([ 0.381122   ,  0.102348   ,  5.91201e-32,  0.121644   ,  0.0343881  ])
25431   , -4621.53    , array([ 0.380741   ,  0.10245    ,  5.91201e-32,  0.121644   ,  0.0343881  ])
25432   , -4619.6     , array([ 0.380741   ,  0.102348   ,  5.91792e-32,  0.121644   ,  0.0343881  ])
25433   , -4619.59    , array([ 0.380741   ,  0.102348   ,  5.91201e-32,  0.121765   ,  0.0343881  ])
25434   , -4622.99    , array([ 0.380741   ,  0.102348   ,  5.91201e-32,  0.121644   ,  0.0344225  ])
25442   , -4619.57    , array([ 0.380742   ,  0.102348   ,  5.91201e-32,  0.121657   ,  0.0343881  ])
25443   , -4619.57    , array([ 0.380742   ,  0.102348   ,  5.91201e-32,  0.121657   ,  0.0343881  ])
25444   , -4613.46    , array([ 0.381123   ,  0.102348   ,  5.91201e-32,  0.121657   ,  0.0343881  ])
25445   , -4621.51    , array([ 0.380742   ,  0.10245    ,  5.91201e-32,  0.121657   ,  0.0343881  ])
25446   , -4619.57    , array([ 0.380742   ,  0.102348   ,  5.91792e-32,  0.121657   ,  0.0343881  ])
25447   , -4619.57    , array([ 0.380742   ,  0.102348   ,  5.91201e-32,  0.121779   ,  0.0343881  ])
25448   , -4622.97    , array([ 0.380742   ,  0.102348   ,  5.91201e-32,  0.121657   ,  0.0344225  ])
25456   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121663   ,  0.0343881  ])
25457   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121663   ,  0.0343881  ])
25458   , -4613.45    , array([ 0.381124   ,  0.102348   ,  5.91201e-32,  0.121663   ,  0.0343881  ])
25459   , -4621.5     , array([ 0.380743   ,  0.10245    ,  5.91201e-32,  0.121663   ,  0.0343881  ])
25460   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91792e-32,  0.121663   ,  0.0343881  ])
25461   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121785   ,  0.0343881  ])
25462   , -4622.96    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121663   ,  0.0344225  ])
25470   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121666   ,  0.0343881  ])
25471   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121666   ,  0.0343881  ])
25472   , -4613.44    , array([ 0.381124   ,  0.102348   ,  5.91201e-32,  0.121666   ,  0.0343881  ])
25473   , -4621.49    , array([ 0.380743   ,  0.10245    ,  5.91201e-32,  0.121666   ,  0.0343881  ])
25474   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91792e-32,  0.121666   ,  0.0343881  ])
25475   , -4619.55    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121788   ,  0.0343881  ])
25476   , -4622.95    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121666   ,  0.0344225  ])
25484   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121667   ,  0.0343881  ])
25485   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121667   ,  0.0343881  ])
25486   , -4613.44    , array([ 0.381124   ,  0.102348   ,  5.91201e-32,  0.121667   ,  0.0343881  ])
25487   , -4621.49    , array([ 0.380743   ,  0.10245    ,  5.91201e-32,  0.121667   ,  0.0343881  ])
