123775  , -2275.72    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99747    ])
123777  , -2275.62    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99903    ])
123779  , -2275.58    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99962    ])
123781  , -2275.57    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99985    ])
123783  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99993    ])
123785  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99997    ])
123786  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123788  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  4.99999    ])
123789  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123790  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123792  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123794  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123795  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123797  , -2275.56    , array([ 1.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
123798  , -2608.24    , array([ 2.86091    ,  0.234163   ,  1.48694    ,  3.49998    ,  5          ])
