51807   , -128313     , array([ 1.04165    ,  4.61661    ,  0.0021614  ,  1.0101e-70 ,  1.68333    ])
51815   , -128223     , array([ 1.04179    ,  4.61514    ,  0.00216125 ,  1.0101e-70 ,  1.68188    ])
51816   , -128223     , array([ 1.04179    ,  4.61514    ,  0.00216125 ,  1.0101e-70 ,  1.68188    ])
51817   , -128145     , array([ 1.04284    ,  4.61514    ,  0.00216125 ,  1.0101e-70 ,  1.68188    ])
51818   , -128237     , array([ 1.04179    ,  4.61975    ,  0.00216125 ,  1.0101e-70 ,  1.68188    ])
51819   , -128221     , array([ 1.04179    ,  4.61514    ,  0.00216341 ,  1.0101e-70 ,  1.68188    ])
51820   , -128223     , array([ 1.04179    ,  4.61514    ,  0.00216125 ,  1.01111e-70,  1.68188    ])
51821   , -128311     , array([ 1.04179    ,  4.61514    ,  0.00216125 ,  1.0101e-70 ,  1.68357    ])
51822   , -128202     , array([ 1.04291    ,  4.60338    ,  0.00216004 ,  1.0101e-70 ,  1.68376    ])
51823   , -128202     , array([ 1.04291    ,  4.60338    ,  0.00216004 ,  1.0101e-70 ,  1.68376    ])
51824   , -128123     , array([ 1.04395    ,  4.60338    ,  0.00216004 ,  1.0101e-70 ,  1.68376    ])
51825   , -128216     , array([ 1.04291    ,  4.60798    ,  0.00216004 ,  1.0101e-70 ,  1.68376    ])
51826   , -128200     , array([ 1.04291    ,  4.60338    ,  0.0021622  ,  1.0101e-70 ,  1.68376    ])
51827   , -128202     , array([ 1.04291    ,  4.60338    ,  0.00216004 ,  1.01111e-70,  1.68376    ])
51828   , -128289     , array([ 1.04291    ,  4.60338    ,  0.00216004 ,  1.0101e-70 ,  1.68544    ])
51829   , -326645     , array([ 2.83263    ,  0.42689    ,  0.00128376 ,  1.0101e-70 ,  4.75363    ])
51830   , -326645     , array([ 2.83263    ,  0.42689    ,  0.00128376 ,  1.0101e-70 ,  4.75363    ])
51831   , -326659     , array([ 2.83547    ,  0.42689    ,  0.00128376 ,  1.0101e-70 ,  4.75363    ])
51832   , -326534     , array([ 2.83263    ,  0.427317   ,  0.00128376 ,  1.0101e-70 ,  4.75363    ])
51833   , -326612     , array([ 2.83263    ,  0.42689    ,  0.00128504 ,  1.0101e-70 ,  4.75363    ])
51834   , -326645     , array([ 2.83263    ,  0.42689    ,  0.00128376 ,  1.01111e-70,  4.75363    ])
51835   , -326707     , array([ 2.83263    ,  0.42689    ,  0.00128376 ,  1.0101e-70 ,  4.75839    ])
51836   , -127569     , array([ 1.08165    ,  4.22062    ,  0.0021194  ,  1.0101e-70 ,  1.74877    ])
51837   , -127569     , array([ 1.08165    ,  4.22062    ,  0.0021194  ,  1.0101e-70 ,  1.74877    ])
51838   , -127491     , array([ 1.08274    ,  4.22062    ,  0.0021194  ,  1.0101e-70 ,  1.74877    ])
51839   , -127581     , array([ 1.08165    ,  4.22484    ,  0.0021194  ,  1.0101e-70 ,  1.74877    ])
51840   , -127567     , array([ 1.08165    ,  4.22062    ,  0.00212152 ,  1.0101e-70 ,  1.74877    ])
51841   , -127569     , array([ 1.08165    ,  4.22062    ,  0.0021194  ,  1.01111e-70,  1.74877    ])
51842   , -127657     , array([ 1.08165    ,  4.22062    ,  0.0021194  ,  1.0101e-70 ,  1.75052    ])
51843   , -124850     , array([ 0.9951     ,  4.31946    ,  0.000523224,  1.0101e-70 ,  1.54736    ])
51844   , -124850     , array([ 0.9951     ,  4.31946    ,  0.000523224,  1.0101e-70 ,  1.54736    ])
51845   , -124772     , array([ 0.996096   ,  4.31946    ,  0.000523224,  1.0101e-70 ,  1.54736    ])
51846   , -124863     , array([ 0.9951     ,  4.32378    ,  0.000523224,  1.0101e-70 ,  1.54736    ])
51847   , -124849     , array([ 0.9951     ,  4.31946    ,  0.000523748,  1.0101e-70 ,  1.54736    ])
51848   , -124850     , array([ 0.9951     ,  4.31946    ,  0.000523224,  1.01111e-70,  1.54736    ])
51849   , -124939     , array([ 0.9951     ,  4.31946    ,  0.000523224,  1.0101e-70 ,  1.54891    ])
51850   , -111080     , array([ 0.712824   ,  4.7385     ,  1.94352e-06,  1.0101e-70 ,  0.948477   ])
51851   , -111080     , array([ 0.712824   ,  4.7385     ,  1.94352e-06,  1.0101e-70 ,  0.948477   ])
51852   , -111007     , array([ 0.713537   ,  4.7385     ,  1.94352e-06,  1.0101e-70 ,  0.948477   ])
51853   , -111096     , array([ 0.712824   ,  4.74325    ,  1.94352e-06,  1.0101e-70 ,  0.948477   ])
51854   , -111080     , array([ 0.712824   ,  4.7385     ,  1.94547e-06,  1.0101e-70 ,  0.948477   ])
51855   , -111080     , array([ 0.712824   ,  4.7385     ,  1.94352e-06,  1.01111e-70,  0.948477   ])
51856   , -111157     , array([ 0.712824   ,  4.7385     ,  1.94352e-06,  1.0101e-70 ,  0.949426   ])
51857   , -81679.3    , array([ 0.187692   ,  6.86261    ,  3.69996e-16,  1.0101e-70 ,  0.133895   ])
51858   , -81679.3    , array([ 0.187692   ,  6.86261    ,  3.69996e-16,  1.0101e-70 ,  0.133895   ])
51859   , -81624.3    , array([ 0.187879   ,  6.86261    ,  3.69996e-16,  1.0101e-70 ,  0.133895   ])
51860   , -81684.2    , array([ 0.187692   ,  6.86948    ,  3.69996e-16,  1.0101e-70 ,  0.133895   ])
51861   , -81679.3    , array([ 0.187692   ,  6.86261    ,  3.70366e-16,  1.0101e-70 ,  0.133895   ])
51862   , -81679.3    , array([ 0.187692   ,  6.86261    ,  3.69996e-16,  1.01111e-70,  0.133895   ])
51863   , -81724.7    , array([ 0.187692   ,  6.86261    ,  3.69996e-16,  1.0101e-70 ,  0.134029   ])
51871   , -81665      , array([ 0.187477   ,  6.86643    ,  3.61692e-16,  1.0101e-70 ,  0.13366    ])
51872   , -81665      , array([ 0.187477   ,  6.86643    ,  3.61692e-16,  1.0101e-70 ,  0.13366    ])
51873   , -81610      , array([ 0.187665   ,  6.86643    ,  3.61692e-16,  1.0101e-70 ,  0.13366    ])
51874   , -81669.9    , array([ 0.187477   ,  6.8733     ,  3.61692e-16,  1.0101e-70 ,  0.13366    ])
51875   , -81665      , array([ 0.187477   ,  6.86643    ,  3.62054e-16,  1.0101e-70 ,  0.13366    ])
51876   , -81665      , array([ 0.187477   ,  6.86643    ,  3.61692e-16,  1.01111e-70,  0.13366    ])
51877   , -81710.4    , array([ 0.187477   ,  6.86643    ,  3.61692e-16,  1.0101e-70 ,  0.133794   ])
51878   , -74938.9    , array([ 0.0823029  ,  10.2546    ,  2.86766e-23,  1.0101e-70 ,  0.037681   ])
