50944   , -393.053    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135561   ])
50951   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50952   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50953   , -393.059    , array([ 2.88847    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50954   , -393.077    , array([ 2.88558    ,  0.037474   ,  1.50766e-32,  0.135425   ])
50955   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50917e-32,  0.135425   ])
50956   , -393.053    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135561   ])
50957   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50958   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50959   , -393.059    , array([ 2.88847    ,  0.0374366  ,  1.50766e-32,  0.135425   ])
50960   , -393.077    , array([ 2.88558    ,  0.037474   ,  1.50766e-32,  0.135425   ])
50961   , -393.059    , array([ 2.88558    ,  0.0374366  ,  1.50917e-32,  0.135425   ])
50962   , -393.053    , array([ 2.88558    ,  0.0374366  ,  1.50766e-32,  0.135561   ])
50963   , -2336.8     , array([ 2.88558    ,  0.0267273  ,  1.50766e-32,  2.02396    ])
50964   , -2336.8     , array([ 2.88558    ,  0.0267273  ,  1.50766e-32,  2.02396    ])
50965   , -2336.8     , array([ 2.88847    ,  0.0267273  ,  1.50766e-32,  2.02396    ])
50966   , -2336.8     , array([ 2.88558    ,  0.026754   ,  1.50766e-32,  2.02396    ])
50967   , -2336.8     , array([ 2.88558    ,  0.0267273  ,  1.50917e-32,  2.02396    ])
50968   , -2336.8     , array([ 2.88558    ,  0.0267273  ,  1.50766e-32,  2.02598    ])
50969   , -393.316    , array([ 2.88558    ,  0.0374112  ,  1.50766e-32,  0.136165   ])
50970   , -393.316    , array([ 2.88558    ,  0.0374112  ,  1.50766e-32,  0.136165   ])
50971   , -393.316    , array([ 2.88847    ,  0.0374112  ,  1.50766e-32,  0.136165   ])
50972   , -393.248    , array([ 2.88558    ,  0.0374486  ,  1.50766e-32,  0.136165   ])
50973   , -393.316    , array([ 2.88558    ,  0.0374112  ,  1.50917e-32,  0.136165   ])
50974   , -393.43     , array([ 2.88558    ,  0.0374112  ,  1.50766e-32,  0.136301   ])
50975   , -393.053    , array([ 2.88558    ,  0.0374342  ,  1.50766e-32,  0.135494   ])
50976   , -393.053    , array([ 2.88558    ,  0.0374342  ,  1.50766e-32,  0.135494   ])
50977   , -393.053    , array([ 2.88847    ,  0.0374342  ,  1.50766e-32,  0.135494   ])
50978   , -393.062    , array([ 2.88558    ,  0.0374717  ,  1.50766e-32,  0.135494   ])
50979   , -393.053    , array([ 2.88558    ,  0.0374342  ,  1.50917e-32,  0.135494   ])
50980   , -393.058    , array([ 2.88558    ,  0.0374342  ,  1.50766e-32,  0.13563    ])
50981   , -393.053    , array([ 2.88558    ,  0.0373969  ,  1.50766e-32,  0.135398   ])
50982   , -393.053    , array([ 2.88558    ,  0.0373969  ,  1.50766e-32,  0.135398   ])
50983   , -393.053    , array([ 2.88847    ,  0.0373969  ,  1.50766e-32,  0.135398   ])
50984   , -393.062    , array([ 2.88558    ,  0.0374343  ,  1.50766e-32,  0.135398   ])
50985   , -393.053    , array([ 2.88558    ,  0.0373969  ,  1.50917e-32,  0.135398   ])
50986   , -393.057    , array([ 2.88558    ,  0.0373969  ,  1.50766e-32,  0.135533   ])
50987   , -393.052    , array([ 2.88558    ,  0.0372481  ,  1.50766e-32,  0.135014   ])
50988   , -393.052    , array([ 2.88558    ,  0.0372481  ,  1.50766e-32,  0.135014   ])
50989   , -393.052    , array([ 2.88847    ,  0.0372481  ,  1.50766e-32,  0.135014   ])
50990   , -393.061    , array([ 2.88558    ,  0.0372854  ,  1.50766e-32,  0.135014   ])
50991   , -393.052    , array([ 2.88558    ,  0.0372481  ,  1.50917e-32,  0.135014   ])
50992   , -393.057    , array([ 2.88558    ,  0.0372481  ,  1.50766e-32,  0.135149   ])
50993   , -393.048    , array([ 2.88558    ,  0.0366587  ,  1.50766e-32,  0.133487   ])
50994   , -393.048    , array([ 2.88558    ,  0.0366587  ,  1.50766e-32,  0.133487   ])
50995   , -393.048    , array([ 2.88847    ,  0.0366587  ,  1.50766e-32,  0.133487   ])
50996   , -393.057    , array([ 2.88558    ,  0.0366954  ,  1.50766e-32,  0.133487   ])
50997   , -393.048    , array([ 2.88558    ,  0.0366587  ,  1.50917e-32,  0.133487   ])
50998   , -393.053    , array([ 2.88558    ,  0.0366587  ,  1.50766e-32,  0.133621   ])
50999   , -393.034    , array([ 2.88558    ,  0.034393   ,  1.50766e-32,  0.127553   ])
51000   , -393.034    , array([ 2.88558    ,  0.034393   ,  1.50766e-32,  0.127553   ])
51001   , -393.034    , array([ 2.88847    ,  0.034393   ,  1.50766e-32,  0.127553   ])
51002   , -393.039    , array([ 2.88558    ,  0.0344274  ,  1.50766e-32,  0.127553   ])
51003   , -393.034    , array([ 2.88558    ,  0.034393   ,  1.50917e-32,  0.127553   ])
51004   , -393.047    , array([ 2.88558    ,  0.034393   ,  1.50766e-32,  0.127681   ])
51005   , -393.282    , array([ 2.88558    ,  0.0266467  ,  1.50766e-32,  0.106338   ])
51006   , -393.282    , array([ 2.88558    ,  0.0266467  ,  1.50766e-32,  0.106338   ])
51007   , -393.282    , array([ 2.88847    ,  0.0266467  ,  1.50766e-32,  0.106338   ])
51008   , -393.201    , array([ 2.88558    ,  0.0266733  ,  1.50766e-32,  0.106338   ])
51009   , -393.282    , array([ 2.88558    ,  0.0266467  ,  1.50917e-32,  0.106338   ])
51010   , -393.413    , array([ 2.88558    ,  0.0266467  ,  1.50766e-32,  0.106445   ])
51011   , -393.029    , array([ 2.88558    ,  0.032688   ,  1.50766e-32,  0.123013   ])
