165329  , -98653      , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  1.00336    ])
165331  , -2316.69    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00335817 ])
165333  , -95691      , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.385324   ])
165334  , -90502.1    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.193587   ])
165337  , -84788.1    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.0760191  ])
165339  , -66783.4    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.0311122  ])
165341  , -30253      , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.0139593  ])
165343  , -10488.5    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00740743 ])
165344  , -12959.3    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00143879 ])
165345  , -3273.41    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00458646 ])
165346  , -2554.31    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00308574 ])
165347  , -2280.72    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00361835 ])
165348  , -2274.23    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00353842 ])
165349  , -2274.21    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00354507 ])
165350  , -2274.21    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.0035432  ])
165351  , -2274.21    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.00354135 ])
165353  , -2274.21    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.0035432  ])
165354  , -2327.65    , array([ 1.33483    ,  0.01       ,  0.000310736,  2.92158    ,  0.0035432  ])
165356  , -2274.21    , array([ 0.334827   ,  0.01       ,  0.000310736,  2.92158    ,  0.0035432  ])
165358  , -2296.45    , array([ 0.716793   ,  0.01       ,  0.000310736,  2.92158    ,  0.0035432  ])
