175224  , -1694.69    , array([ 2.48456    ,  0.0612056  ,  2.66609e-27,  5.19245e-83,  0.0220568  ])
175225  , -1694.69    , array([ 2.48456    ,  0.0612056  ,  2.66609e-27,  5.19245e-83,  0.0220568  ])
175226  , -1694.83    , array([ 2.48704    ,  0.0612056  ,  2.66609e-27,  5.19245e-83,  0.0220568  ])
175227  , -1694.59    , array([ 2.48456    ,  0.0612669  ,  2.66609e-27,  5.19245e-83,  0.0220568  ])
175228  , -1694.69    , array([ 2.48456    ,  0.0612056  ,  2.66876e-27,  5.19245e-83,  0.0220568  ])
175229  , -1694.69    , array([ 2.48456    ,  0.0612056  ,  2.66609e-27,  5.19765e-83,  0.0220568  ])
175230  , -1694.68    , array([ 2.48456    ,  0.0612056  ,  2.66609e-27,  5.19245e-83,  0.0220788  ])
175231  , -1694.56    , array([ 2.42209    ,  0.0599081  ,  2.71754e-27,  5.19245e-83,  0.0215769  ])
175232  , -1694.56    , array([ 2.42209    ,  0.0599081  ,  2.71754e-27,  5.19245e-83,  0.0215769  ])
175233  , -1694.7     , array([ 2.42451    ,  0.0599081  ,  2.71754e-27,  5.19245e-83,  0.0215769  ])
175234  , -1694.46    , array([ 2.42209    ,  0.0599681  ,  2.71754e-27,  5.19245e-83,  0.0215769  ])
175235  , -1694.56    , array([ 2.42209    ,  0.0599081  ,  2.72026e-27,  5.19245e-83,  0.0215769  ])
175236  , -1694.56    , array([ 2.42209    ,  0.0599081  ,  2.71754e-27,  5.19765e-83,  0.0215769  ])
175237  , -1694.54    , array([ 2.42209    ,  0.0599081  ,  2.71754e-27,  5.19245e-83,  0.0215985  ])
175238  , -1694.44    , array([ 2.40806    ,  0.0596777  ,  2.71498e-27,  5.19245e-83,  0.021492   ])
175239  , -1694.44    , array([ 2.40806    ,  0.0596777  ,  2.71498e-27,  5.19245e-83,  0.021492   ])
175240  , -1694.58    , array([ 2.41047    ,  0.0596777  ,  2.71498e-27,  5.19245e-83,  0.021492   ])
175241  , -1694.33    , array([ 2.40806    ,  0.0597374  ,  2.71498e-27,  5.19245e-83,  0.021492   ])
