286404  , -1662.39    , array([ 1.3857     ,  0.0783793  ,  0.383577   ,  3.17413e-11,  0.0266677  ])
286405  , -1664.14    , array([ 1.38431    ,  0.0784577  ,  0.383577   ,  3.17413e-11,  0.0266677  ])
286406  , -1662.37    , array([ 1.38431    ,  0.0783793  ,  0.383961   ,  3.17413e-11,  0.0266677  ])
286407  , -1662.39    , array([ 1.38431    ,  0.0783793  ,  0.383577   ,  3.17731e-11,  0.0266677  ])
286408  , -1660.74    , array([ 1.38431    ,  0.0783793  ,  0.383577   ,  3.17413e-11,  0.0266944  ])
286409  , -1642.22    , array([ 1.46461    ,  0.0668343  ,  0.380779   ,  3.17413e-11,  0.0231364  ])
286410  , -1642.22    , array([ 1.46461    ,  0.0668343  ,  0.380779   ,  3.17413e-11,  0.0231364  ])
286411  , -1642.27    , array([ 1.46607    ,  0.0668343  ,  0.380779   ,  3.17413e-11,  0.0231364  ])
286412  , -1643.38    , array([ 1.46461    ,  0.0669011  ,  0.380779   ,  3.17413e-11,  0.0231364  ])
286413  , -1642.21    , array([ 1.46461    ,  0.0668343  ,  0.38116    ,  3.17413e-11,  0.0231364  ])
286414  , -1642.22    , array([ 1.46461    ,  0.0668343  ,  0.380779   ,  3.17731e-11,  0.0231364  ])
286415  , -1640.97    , array([ 1.46461    ,  0.0668343  ,  0.380779   ,  3.17413e-11,  0.0231596  ])
286416  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286417  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286418  , -1594.48    , array([ 1.42663    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286419  , -1595.5     , array([ 1.42521    ,  0.0722867  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286420  , -1594.39    , array([ 1.42521    ,  0.0722144  ,  1.22853    ,  3.17413e-11,  0.0254579  ])
286421  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17731e-11,  0.0254579  ])
286422  , -1593.23    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254834  ])
286430  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286431  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286432  , -1594.48    , array([ 1.42663    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286433  , -1595.5     , array([ 1.42521    ,  0.0722867  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286434  , -1594.39    , array([ 1.42521    ,  0.0722144  ,  1.22853    ,  3.17413e-11,  0.0254579  ])
286435  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17731e-11,  0.0254579  ])
286436  , -1593.23    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254834  ])
286437  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286438  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286439  , -1594.48    , array([ 1.42663    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286440  , -1595.5     , array([ 1.42521    ,  0.0722867  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286441  , -1594.39    , array([ 1.42521    ,  0.0722144  ,  1.22853    ,  3.17413e-11,  0.0254579  ])
