152574  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152575  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152576  , -79083.1    , array([ 3.03313    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152577  , -79083.1    , array([ 3.03009    ,  0.00178582 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152578  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323915,  2.22543e-21,  9.64862e-09])
152579  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22766e-21,  9.64862e-09])
152580  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.65827e-09])
152581  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152582  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152583  , -79083.1    , array([ 3.03313    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152584  , -79083.1    , array([ 3.03009    ,  0.00178582 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152585  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323915,  2.22543e-21,  9.64862e-09])
152586  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22766e-21,  9.64862e-09])
152587  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.65827e-09])
152588  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152589  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152590  , -79083.1    , array([ 3.03313    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152591  , -79083.1    , array([ 3.03009    ,  0.00178582 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152592  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323915,  2.22543e-21,  9.64862e-09])
152593  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22766e-21,  9.64862e-09])
152594  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.65827e-09])
152602  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152603  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152604  , -79083.1    , array([ 3.03313    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152605  , -79083.1    , array([ 3.03009    ,  0.00178582 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152606  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323915,  2.22543e-21,  9.64862e-09])
152607  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22766e-21,  9.64862e-09])
152608  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.65827e-09])
152609  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152610  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152611  , -79083.1    , array([ 3.03313    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152612  , -79083.1    , array([ 3.03009    ,  0.00178582 ,  0.000323591,  2.22543e-21,  9.64862e-09])
152613  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323915,  2.22543e-21,  9.64862e-09])
152614  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22766e-21,  9.64862e-09])
152615  , -79083.1    , array([ 3.03009    ,  0.00178403 ,  0.000323591,  2.22543e-21,  9.65827e-09])
152616  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152617  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152618  , -79076.3    , array([ 2.94406    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152619  , -79076.3    , array([ 2.94112    ,  0.00126687 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152620  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323915,  2.22543e-21,  1.41703e-08])
152621  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22766e-21,  1.41703e-08])
152622  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41844e-08])
152623  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152624  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152625  , -79076.3    , array([ 2.94406    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152626  , -79076.3    , array([ 2.94112    ,  0.00126687 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152627  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323915,  2.22543e-21,  1.41703e-08])
152628  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22766e-21,  1.41703e-08])
152629  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41844e-08])
152630  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152631  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152632  , -79076.3    , array([ 2.94406    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152633  , -79076.3    , array([ 2.94112    ,  0.00126687 ,  0.000323591,  2.22543e-21,  1.41703e-08])
152634  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323915,  2.22543e-21,  1.41703e-08])
152635  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22766e-21,  1.41703e-08])
152636  , -79076.3    , array([ 2.94112    ,  0.00126561 ,  0.000323591,  2.22543e-21,  1.41844e-08])
152637  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152638  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
