105703  , -79088.3    , array([ 0.653297   ,  0.00101244 ,  5.39056e-27,  6.96448e-14,  1.02133e-09])
105704  , -79088.3    , array([ 0.652644   ,  0.00101346 ,  5.39056e-27,  6.96448e-14,  1.02133e-09])
105705  , -79088.3    , array([ 0.652644   ,  0.00101244 ,  5.39595e-27,  6.96448e-14,  1.02133e-09])
105706  , -79088.3    , array([ 0.652644   ,  0.00101244 ,  5.39056e-27,  6.97144e-14,  1.02133e-09])
105707  , -79088.3    , array([ 0.652644   ,  0.00101244 ,  5.39056e-27,  6.96448e-14,  1.02235e-09])
105708  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105709  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105710  , -79088.3    , array([ 0.653296   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105711  , -79088.3    , array([ 0.652643   ,  0.00101257 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105712  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39595e-27,  6.96448e-14,  1.02222e-09])
105713  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.97144e-14,  1.02222e-09])
105714  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02324e-09])
105722  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105723  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105724  , -79088.3    , array([ 0.653296   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105725  , -79088.3    , array([ 0.652643   ,  0.00101257 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105726  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39595e-27,  6.96448e-14,  1.02222e-09])
105727  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.97144e-14,  1.02222e-09])
105728  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02324e-09])
105729  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105730  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105731  , -79088.3    , array([ 0.653296   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105732  , -79088.3    , array([ 0.652643   ,  0.00101257 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105733  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39595e-27,  6.96448e-14,  1.02222e-09])
105734  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.97144e-14,  1.02222e-09])
105735  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02324e-09])
105743  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105744  , -79088.3    , array([ 0.652643   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
105745  , -79088.3    , array([ 0.653296   ,  0.00101156 ,  5.39056e-27,  6.96448e-14,  1.02222e-09])
