1       , -1538.95    , array([ 0.028128   ,  0.312074   ,  0.00339215 ,  0.00682257 ])
23      , -741.945    , array([ 0.024253   ,  0.573968   ,  0.00497067 ,  0.0318221  ])
24      , -742.054    , array([ 0.024253   ,  0.573968   ,  0.00496571 ,  0.031854   ])
25      , -491.743    , array([ 0.023344   ,  0.671558   ,  0.00547813 ,  0.0473233  ])
26      , -491.743    , array([ 0.023344   ,  0.671558   ,  0.00547813 ,  0.0473233  ])
27      , -492.419    , array([ 0.0233674  ,  0.671558   ,  0.00547813 ,  0.0473233  ])
28      , -491.601    , array([ 0.023344   ,  0.67223    ,  0.00547813 ,  0.0473233  ])
29      , -491.083    , array([ 0.023344   ,  0.671558   ,  0.00548361 ,  0.0473233  ])
30      , -491.516    , array([ 0.023344   ,  0.671558   ,  0.00547813 ,  0.0473707  ])
31      , -1479.35    , array([ 0.0205764  ,  1.12818    ,  0.00757771 ,  0.175571   ])
32      , -1479.35    , array([ 0.0205764  ,  1.12818    ,  0.00757771 ,  0.175571   ])
33      , -1479.04    , array([ 0.020597   ,  1.12818    ,  0.00757771 ,  0.175571   ])
34      , -1481.04    , array([ 0.0205764  ,  1.12931    ,  0.00757771 ,  0.175571   ])
35      , -1479.69    , array([ 0.0205764  ,  1.12818    ,  0.00758529 ,  0.175571   ])
36      , -1481.24    , array([ 0.0205764  ,  1.12818    ,  0.00757771 ,  0.175747   ])
37      , -385.074    , array([ 0.0226368  ,  0.762096   ,  0.00592904 ,  0.0651459  ])
38      , -385.074    , array([ 0.0226368  ,  0.762096   ,  0.00592904 ,  0.0651459  ])
39      , -385.761    , array([ 0.0226594  ,  0.762096   ,  0.00592904 ,  0.0651459  ])
40      , -385.111    , array([ 0.0226368  ,  0.762859   ,  0.00592904 ,  0.0651459  ])
41      , -384.412    , array([ 0.0226368  ,  0.762096   ,  0.00593497 ,  0.0651459  ])
42      , -385.176    , array([ 0.0226368  ,  0.762096   ,  0.00592904 ,  0.0652111  ])
49      , -385.065    , array([ 0.0226366  ,  0.762107   ,  0.00592911 ,  0.0651482  ])
50      , -385.065    , array([ 0.0226366  ,  0.762107   ,  0.00592911 ,  0.0651482  ])
51      , -385.752    , array([ 0.0226592  ,  0.762107   ,  0.00592911 ,  0.0651482  ])
52      , -385.102    , array([ 0.0226366  ,  0.762869   ,  0.00592911 ,  0.0651482  ])
53      , -384.402    , array([ 0.0226366  ,  0.762107   ,  0.00593504 ,  0.0651482  ])
54      , -385.167    , array([ 0.0226366  ,  0.762107   ,  0.00592911 ,  0.0652134  ])
55      , -384.993    , array([ 0.0226353  ,  0.76219    ,  0.00592969 ,  0.0651662  ])
56      , -384.993    , array([ 0.0226353  ,  0.76219    ,  0.00592969 ,  0.0651662  ])
57      , -385.68     , array([ 0.022658   ,  0.76219    ,  0.00592969 ,  0.0651662  ])
58      , -385.03     , array([ 0.0226353  ,  0.762953   ,  0.00592969 ,  0.0651662  ])
59      , -384.331    , array([ 0.0226353  ,  0.76219    ,  0.00593563 ,  0.0651662  ])
60      , -385.096    , array([ 0.0226353  ,  0.76219    ,  0.00592969 ,  0.0652314  ])
67      , -384.991    , array([ 0.0226353  ,  0.762193   ,  0.00592971 ,  0.0651668  ])
68      , -384.991    , array([ 0.0226353  ,  0.762193   ,  0.00592971 ,  0.0651668  ])
69      , -385.678    , array([ 0.0226579  ,  0.762193   ,  0.00592971 ,  0.0651668  ])
70      , -385.028    , array([ 0.0226353  ,  0.762955   ,  0.00592971 ,  0.0651668  ])
71      , -384.329    , array([ 0.0226353  ,  0.762193   ,  0.00593564 ,  0.0651668  ])
72      , -385.094    , array([ 0.0226353  ,  0.762193   ,  0.00592971 ,  0.065232   ])
73      , -384.973    , array([ 0.022635   ,  0.762214   ,  0.00592986 ,  0.0651713  ])
74      , -384.973    , array([ 0.022635   ,  0.762214   ,  0.00592986 ,  0.0651713  ])
75      , -385.66     , array([ 0.0226576  ,  0.762214   ,  0.00592986 ,  0.0651713  ])
76      , -385.01     , array([ 0.022635   ,  0.762976   ,  0.00592986 ,  0.0651713  ])
77      , -384.311    , array([ 0.022635   ,  0.762214   ,  0.00593579 ,  0.0651713  ])
78      , -385.076    , array([ 0.022635   ,  0.762214   ,  0.00592986 ,  0.0652365  ])
79      , -9866.78    , array([ 0.0142656  ,  1.86254    ,  0.0131883  ,  0.621311   ])
80      , -9866.78    , array([ 0.0142656  ,  1.86254    ,  0.0131883  ,  0.621311   ])
81      , -9859.2     , array([ 0.0142799  ,  1.86254    ,  0.0131883  ,  0.621311   ])
82      , -9874.7     , array([ 0.0142656  ,  1.8644     ,  0.0131883  ,  0.621311   ])
83      , -9874.26    , array([ 0.0142656  ,  1.86254    ,  0.0132015  ,  0.621311   ])
84      , -9868.04    , array([ 0.0142656  ,  1.86254    ,  0.0131883  ,  0.621932   ])
85      , -372.157    , array([ 0.02234    ,  0.781812   ,  0.00606608 ,  0.0694835  ])
86      , -372.157    , array([ 0.02234    ,  0.781812   ,  0.00606608 ,  0.0694835  ])
87      , -372.823    , array([ 0.0223623  ,  0.781812   ,  0.00606608 ,  0.0694835  ])
88      , -372.243    , array([ 0.02234    ,  0.782595   ,  0.00606608 ,  0.0694835  ])
89      , -371.517    , array([ 0.02234    ,  0.781812   ,  0.00607215 ,  0.0694835  ])
90      , -372.348    , array([ 0.02234    ,  0.781812   ,  0.00606608 ,  0.069553   ])
91      , -365.461    , array([ 0.0277022  ,  0.501394   ,  0.00797635 ,  0.0875288  ])
92      , -365.461    , array([ 0.0277022  ,  0.501394   ,  0.00797635 ,  0.0875288  ])
93      , -365.903    , array([ 0.0277299  ,  0.501394   ,  0.00797635 ,  0.0875288  ])
94      , -365.382    , array([ 0.0277022  ,  0.501895   ,  0.00797635 ,  0.0875288  ])
95      , -365.039    , array([ 0.0277022  ,  0.501394   ,  0.00798433 ,  0.0875288  ])
96      , -365.507    , array([ 0.0277022  ,  0.501394   ,  0.00797635 ,  0.0876164  ])
97      , -362.452    , array([ 0.0249019  ,  0.624807   ,  0.00696479 ,  0.0780695  ])
98      , -362.452    , array([ 0.0249019  ,  0.624807   ,  0.00696479 ,  0.0780695  ])
99      , -363.011    , array([ 0.0249268  ,  0.624807   ,  0.00696479 ,  0.0780695  ])
100     , -362.483    , array([ 0.0249019  ,  0.625432   ,  0.00696479 ,  0.0780695  ])
101     , -361.918    , array([ 0.0249019  ,  0.624807   ,  0.00697176 ,  0.0780695  ])
102     , -362.582    , array([ 0.0249019  ,  0.624807   ,  0.00696479 ,  0.0781476  ])
103     , -345.63     , array([ 0.0387087  ,  0.749765   ,  0.0112705  ,  0.0698285  ])
104     , -345.63     , array([ 0.0387087  ,  0.749765   ,  0.0112705  ,  0.0698285  ])
105     , -346.264    , array([ 0.0387475  ,  0.749765   ,  0.0112705  ,  0.0698285  ])
106     , -345.697    , array([ 0.0387087  ,  0.750515   ,  0.0112705  ,  0.0698285  ])
107     , -345.041    , array([ 0.0387087  ,  0.749765   ,  0.0112818  ,  0.0698285  ])
108     , -345.819    , array([ 0.0387087  ,  0.749765   ,  0.0112705  ,  0.0698984  ])
109     , -310.275    , array([ 0.0444774  ,  0.938172   ,  0.0136585  ,  0.061539   ])
110     , -310.275    , array([ 0.0444774  ,  0.938172   ,  0.0136585  ,  0.061539   ])
111     , -310.948    , array([ 0.0445219  ,  0.938172   ,  0.0136585  ,  0.061539   ])
112     , -310.354    , array([ 0.0444774  ,  0.93911    ,  0.0136585  ,  0.061539   ])
113     , -309.66     , array([ 0.0444774  ,  0.938172   ,  0.0136722  ,  0.061539   ])
114     , -310.504    , array([ 0.0444774  ,  0.938172   ,  0.0136585  ,  0.0616005  ])
115     , -194.771    , array([ 0.0775284  ,  2.29991    ,  0.0294608  ,  0.037121   ])
116     , -194.771    , array([ 0.0775284  ,  2.29991    ,  0.0294608  ,  0.037121   ])
117     , -195.312    , array([ 0.077606   ,  2.29991    ,  0.0294608  ,  0.037121   ])
118     , -194.788    , array([ 0.0775284  ,  2.30221    ,  0.0294608  ,  0.037121   ])
119     , -194.29     , array([ 0.0775284  ,  2.29991    ,  0.0294903  ,  0.037121   ])
120     , -194.784    , array([ 0.0775284  ,  2.29991    ,  0.0294608  ,  0.0371582  ])
121     , -272.15     , array([ 0.0523743  ,  8.96134    ,  0.0371019  ,  0.0246268  ])
122     , -272.15     , array([ 0.0523743  ,  8.96134    ,  0.0371019  ,  0.0246268  ])
123     , -271.607    , array([ 0.0524267  ,  8.96134    ,  0.0371019  ,  0.0246268  ])
124     , -272.161    , array([ 0.0523743  ,  8.97031    ,  0.0371019  ,  0.0246268  ])
125     , -272.496    , array([ 0.0523743  ,  8.96134    ,  0.037139   ,  0.0246268  ])
126     , -271.883    , array([ 0.0523743  ,  8.96134    ,  0.0371019  ,  0.0246514  ])
127     , -133.192    , array([ 0.0667648  ,  3.86187    ,  0.0321669  ,  0.0317474  ])
128     , -133.192    , array([ 0.0667648  ,  3.86187    ,  0.0321669  ,  0.0317474  ])
129     , -133.298    , array([ 0.0668316  ,  3.86187    ,  0.0321669  ,  0.0317474  ])
130     , -133.206    , array([ 0.0667648  ,  3.86573    ,  0.0321669  ,  0.0317474  ])
131     , -133.062    , array([ 0.0667648  ,  3.86187    ,  0.0321991  ,  0.0317474  ])
132     , -133.09     , array([ 0.0667648  ,  3.86187    ,  0.0321669  ,  0.0317791  ])
133     , -333.546    , array([ 0.110563   ,  2.51529    ,  0.0690839  ,  0.0473722  ])
134     , -333.546    , array([ 0.110563   ,  2.51529    ,  0.0690839  ,  0.0473722  ])
135     , -333.067    , array([ 0.110674   ,  2.51529    ,  0.0690839  ,  0.0473722  ])
136     , -333.807    , array([ 0.110563   ,  2.5178     ,  0.0690839  ,  0.0473722  ])
137     , -334.144    , array([ 0.110563   ,  2.51529    ,  0.069153   ,  0.0473722  ])
138     , -334.578    , array([ 0.110563   ,  2.51529    ,  0.0690839  ,  0.0474196  ])
139     , -124.942    , array([ 0.0724836  ,  3.60129    ,  0.0364332  ,  0.0338865  ])
140     , -124.942    , array([ 0.0724836  ,  3.60129    ,  0.0364332  ,  0.0338865  ])
141     , -124.985    , array([ 0.0725561  ,  3.60129    ,  0.0364332  ,  0.0338865  ])
142     , -124.977    , array([ 0.0724836  ,  3.60489    ,  0.0364332  ,  0.0338865  ])
143     , -124.894    , array([ 0.0724836  ,  3.60129    ,  0.0364696  ,  0.0338865  ])
144     , -125.006    , array([ 0.0724836  ,  3.60129    ,  0.0364332  ,  0.0339204  ])
145     , -119.454    , array([ 0.0950831  ,  3.87884    ,  0.0503947  ,  0.0318748  ])
146     , -119.454    , array([ 0.0950831  ,  3.87884    ,  0.0503947  ,  0.0318748  ])
147     , -119.505    , array([ 0.0951782  ,  3.87884    ,  0.0503947  ,  0.0318748  ])
148     , -119.483    , array([ 0.0950831  ,  3.88273    ,  0.0503947  ,  0.0318748  ])
149     , -119.406    , array([ 0.0950831  ,  3.87884    ,  0.0504451  ,  0.0318748  ])
150     , -119.537    , array([ 0.0950831  ,  3.87884    ,  0.0503947  ,  0.0319067  ])
151     , -129.252    , array([ 0.173696   ,  4.94067    ,  0.105505   ,  0.0268242  ])
152     , -129.252    , array([ 0.173696   ,  4.94067    ,  0.105505   ,  0.0268242  ])
153     , -129.457    , array([ 0.17387    ,  4.94067    ,  0.105505   ,  0.0268242  ])
154     , -129.272    , array([ 0.173696   ,  4.94561    ,  0.105505   ,  0.0268242  ])
155     , -129.207    , array([ 0.173696   ,  4.94067    ,  0.10561    ,  0.0268242  ])
156     , -129.447    , array([ 0.173696   ,  4.94067    ,  0.105505   ,  0.026851   ])
157     , -116.117    , array([ 0.118724   ,  4.2406     ,  0.0661661  ,  0.0299115  ])
158     , -116.117    , array([ 0.118724   ,  4.2406     ,  0.0661661  ,  0.0299115  ])
159     , -116.195    , array([ 0.118843   ,  4.2406     ,  0.0661661  ,  0.0299115  ])
160     , -116.141    , array([ 0.118724   ,  4.24484    ,  0.0661661  ,  0.0299115  ])
161     , -116.066    , array([ 0.118724   ,  4.2406     ,  0.0662323  ,  0.0299115  ])
162     , -116.224    , array([ 0.118724   ,  4.2406     ,  0.0661661  ,  0.0299415  ])
163     , -111.756    , array([ 0.143723   ,  4.87333    ,  0.0865601  ,  0.0270559  ])
164     , -111.756    , array([ 0.143723   ,  4.87333    ,  0.0865601  ,  0.0270559  ])
165     , -111.841    , array([ 0.143866   ,  4.87333    ,  0.0865601  ,  0.0270559  ])
166     , -111.773    , array([ 0.143723   ,  4.87821    ,  0.0865601  ,  0.0270559  ])
167     , -111.721    , array([ 0.143723   ,  4.87333    ,  0.0866467  ,  0.0270559  ])
168     , -111.861    , array([ 0.143723   ,  4.87333    ,  0.0865601  ,  0.027083   ])
169     , -105.696    , array([ 0.147487   ,  5.41881    ,  0.0950362  ,  0.0247138  ])
170     , -105.696    , array([ 0.147487   ,  5.41881    ,  0.0950362  ,  0.0247138  ])
171     , -105.723    , array([ 0.147634   ,  5.41881    ,  0.0950362  ,  0.0247138  ])
172     , -105.705    , array([ 0.147487   ,  5.42423    ,  0.0950362  ,  0.0247138  ])
173     , -105.68     , array([ 0.147487   ,  5.41881    ,  0.0951313  ,  0.0247138  ])
174     , -105.737    , array([ 0.147487   ,  5.41881    ,  0.0950362  ,  0.0247385  ])
175     , -103.736    , array([ 0.164218   ,  6.20429    ,  0.114812   ,  0.0221271  ])
176     , -103.736    , array([ 0.164218   ,  6.20429    ,  0.114812   ,  0.0221271  ])
177     , -103.762    , array([ 0.164382   ,  6.20429    ,  0.114812   ,  0.0221271  ])
178     , -103.741    , array([ 0.164218   ,  6.2105     ,  0.114812   ,  0.0221271  ])
179     , -103.73     , array([ 0.164218   ,  6.20429    ,  0.114927   ,  0.0221271  ])
180     , -103.759    , array([ 0.164218   ,  6.20429    ,  0.114812   ,  0.0221492  ])
181     , -103.52     , array([ 0.158677   ,  6.25796    ,  0.112624   ,  0.0216961  ])
182     , -103.52     , array([ 0.158677   ,  6.25796    ,  0.112624   ,  0.0216961  ])
183     , -103.513    , array([ 0.158836   ,  6.25796    ,  0.112624   ,  0.0216961  ])
184     , -103.524    , array([ 0.158677   ,  6.26422    ,  0.112624   ,  0.0216961  ])
185     , -103.513    , array([ 0.158677   ,  6.25796    ,  0.112737   ,  0.0216961  ])
186     , -103.511    , array([ 0.158677   ,  6.25796    ,  0.112624   ,  0.0217178  ])
187     , -103.305    , array([ 0.162861   ,  6.33357    ,  0.116686   ,  0.0214934  ])
188     , -103.305    , array([ 0.162861   ,  6.33357    ,  0.116686   ,  0.0214934  ])
189     , -103.307    , array([ 0.163024   ,  6.33357    ,  0.116686   ,  0.0214934  ])
190     , -103.309    , array([ 0.162861   ,  6.33991    ,  0.116686   ,  0.0214934  ])
191     , -103.302    , array([ 0.162861   ,  6.33357    ,  0.116803   ,  0.0214934  ])
192     , -103.307    , array([ 0.162861   ,  6.33357    ,  0.116686   ,  0.0215149  ])
193     , -103.277    , array([ 0.16332    ,  6.30935    ,  0.117278   ,  0.0214554  ])
194     , -103.277    , array([ 0.16332    ,  6.30935    ,  0.117278   ,  0.0214554  ])
195     , -103.278    , array([ 0.163484   ,  6.30935    ,  0.117278   ,  0.0214554  ])
196     , -103.28     , array([ 0.16332    ,  6.31566    ,  0.117278   ,  0.0214554  ])
197     , -103.275    , array([ 0.16332    ,  6.30935    ,  0.117395   ,  0.0214554  ])
198     , -103.279    , array([ 0.16332    ,  6.30935    ,  0.117278   ,  0.0214768  ])
199     , -103.217    , array([ 0.163712   ,  6.21941    ,  0.117824   ,  0.0214384  ])
200     , -103.217    , array([ 0.163712   ,  6.21941    ,  0.117824   ,  0.0214384  ])
201     , -103.219    , array([ 0.163876   ,  6.21941    ,  0.117824   ,  0.0214384  ])
202     , -103.221    , array([ 0.163712   ,  6.22564    ,  0.117824   ,  0.0214384  ])
203     , -103.217    , array([ 0.163712   ,  6.21941    ,  0.117942   ,  0.0214384  ])
204     , -103.221    , array([ 0.163712   ,  6.21941    ,  0.117824   ,  0.0214598  ])
205     , -103.021    , array([ 0.165287   ,  5.87231    ,  0.120037   ,  0.0213706  ])
206     , -103.021    , array([ 0.165287   ,  5.87231    ,  0.120037   ,  0.0213706  ])
207     , -103.023    , array([ 0.165452   ,  5.87231    ,  0.120037   ,  0.0213706  ])
208     , -103.025    , array([ 0.165287   ,  5.87819    ,  0.120037   ,  0.0213706  ])
209     , -103.026    , array([ 0.165287   ,  5.87231    ,  0.120157   ,  0.0213706  ])
210     , -103.029    , array([ 0.165287   ,  5.87231    ,  0.120037   ,  0.0213919  ])
211     , -102.512    , array([ 0.16662    ,  4.93389    ,  0.122186   ,  0.0215219  ])
212     , -102.512    , array([ 0.16662    ,  4.93389    ,  0.122186   ,  0.0215219  ])
213     , -102.514    , array([ 0.166787   ,  4.93389    ,  0.122186   ,  0.0215219  ])
214     , -102.516    , array([ 0.16662    ,  4.93883    ,  0.122186   ,  0.0215219  ])
215     , -102.523    , array([ 0.16662    ,  4.93389    ,  0.122308   ,  0.0215219  ])
216     , -102.525    , array([ 0.16662    ,  4.93389    ,  0.122186   ,  0.0215435  ])
217     , -101.434    , array([ 0.167861   ,  3.47059    ,  0.124573   ,  0.0220129  ])
218     , -101.434    , array([ 0.167861   ,  3.47059    ,  0.124573   ,  0.0220129  ])
219     , -101.442    , array([ 0.168029   ,  3.47059    ,  0.124573   ,  0.0220129  ])
220     , -101.439    , array([ 0.167861   ,  3.47407    ,  0.124573   ,  0.0220129  ])
221     , -101.45     , array([ 0.167861   ,  3.47059    ,  0.124698   ,  0.0220129  ])
222     , -101.447    , array([ 0.167861   ,  3.47059    ,  0.124573   ,  0.022035   ])
223     , -133.516    , array([ 0.172916   ,  0.84969    ,  0.1346     ,  0.0240915  ])
224     , -133.516    , array([ 0.172916   ,  0.84969    ,  0.1346     ,  0.0240915  ])
225     , -133.664    , array([ 0.173089   ,  0.84969    ,  0.1346     ,  0.0240915  ])
226     , -133.402    , array([ 0.172916   ,  0.85054    ,  0.1346     ,  0.0240915  ])
227     , -133.372    , array([ 0.172916   ,  0.84969    ,  0.134735   ,  0.0240915  ])
228     , -133.371    , array([ 0.172916   ,  0.84969    ,  0.1346     ,  0.0241156  ])
229     , -100.738    , array([ 0.168967   ,  2.54195    ,  0.126726   ,  0.0224569  ])
230     , -100.738    , array([ 0.168967   ,  2.54195    ,  0.126726   ,  0.0224569  ])
231     , -100.759    , array([ 0.169136   ,  2.54195    ,  0.126726   ,  0.0224569  ])
232     , -100.74     , array([ 0.168967   ,  2.54449    ,  0.126726   ,  0.0224569  ])
233     , -100.747    , array([ 0.168967   ,  2.54195    ,  0.126852   ,  0.0224569  ])
234     , -100.737    , array([ 0.168967   ,  2.54195    ,  0.126726   ,  0.0224793  ])
235     , -121.683    , array([ 0.164983   ,  0.919424   ,  0.124789   ,  0.0253778  ])
236     , -121.683    , array([ 0.164983   ,  0.919424   ,  0.124789   ,  0.0253778  ])
237     , -121.805    , array([ 0.165148   ,  0.919424   ,  0.124789   ,  0.0253778  ])
238     , -121.588    , array([ 0.164983   ,  0.920344   ,  0.124789   ,  0.0253778  ])
239     , -121.565    , array([ 0.164983   ,  0.919424   ,  0.124914   ,  0.0253778  ])
240     , -121.553    , array([ 0.164983   ,  0.919424   ,  0.124789   ,  0.0254032  ])
241     , -100.455    , array([ 0.168255   ,  2.12364    ,  0.126381   ,  0.0229477  ])
242     , -100.455    , array([ 0.168255   ,  2.12364    ,  0.126381   ,  0.0229477  ])
243     , -100.484    , array([ 0.168424   ,  2.12364    ,  0.126381   ,  0.0229477  ])
244     , -100.453    , array([ 0.168255   ,  2.12577    ,  0.126381   ,  0.0229477  ])
245     , -100.457    , array([ 0.168255   ,  2.12364    ,  0.126508   ,  0.0229477  ])
246     , -100.442    , array([ 0.168255   ,  2.12364    ,  0.126381   ,  0.0229706  ])
247     , -99.9168    , array([ 0.166015   ,  2.00264    ,  0.124014   ,  0.0234337  ])
248     , -99.9168    , array([ 0.166015   ,  2.00264    ,  0.124014   ,  0.0234337  ])
249     , -99.9436    , array([ 0.166181   ,  2.00264    ,  0.124014   ,  0.0234337  ])
250     , -99.9142    , array([ 0.166015   ,  2.00464    ,  0.124014   ,  0.0234337  ])
251     , -99.9183    , array([ 0.166015   ,  2.00264    ,  0.124138   ,  0.0234337  ])
252     , -99.9029    , array([ 0.166015   ,  2.00264    ,  0.124014   ,  0.0234572  ])
253     , -98.3166    , array([ 0.157348   ,  1.58374    ,  0.114981   ,  0.025483   ])
254     , -98.3166    , array([ 0.157348   ,  1.58374    ,  0.114981   ,  0.025483   ])
255     , -98.3425    , array([ 0.157505   ,  1.58374    ,  0.114981   ,  0.025483   ])
256     , -98.3079    , array([ 0.157348   ,  1.58533    ,  0.114981   ,  0.025483   ])
257     , -98.3115    , array([ 0.157348   ,  1.58374    ,  0.115096   ,  0.025483   ])
258     , -98.2921    , array([ 0.157348   ,  1.58374    ,  0.114981   ,  0.0255085  ])
259     , -95.047     , array([ 0.141111   ,  1.40317    ,  0.0973881  ,  0.029272   ])
260     , -95.047     , array([ 0.141111   ,  1.40317    ,  0.0973881  ,  0.029272   ])
261     , -95.0581    , array([ 0.141252   ,  1.40317    ,  0.0973881  ,  0.029272   ])
262     , -95.0451    , array([ 0.141111   ,  1.40458    ,  0.0973881  ,  0.029272   ])
263     , -95.0574    , array([ 0.141111   ,  1.40317    ,  0.0974856  ,  0.029272   ])
264     , -95.0489    , array([ 0.141111   ,  1.40317    ,  0.0973881  ,  0.0293012  ])
265     , -94.5316    , array([ 0.118526   ,  1.07279    ,  0.0746056  ,  0.0365164  ])
266     , -94.5316    , array([ 0.118526   ,  1.07279    ,  0.0746056  ,  0.0365164  ])
267     , -94.5789    , array([ 0.118644   ,  1.07279    ,  0.0746056  ,  0.0365164  ])
268     , -94.5225    , array([ 0.118526   ,  1.07386    ,  0.0746056  ,  0.0365164  ])
269     , -94.5216    , array([ 0.118526   ,  1.07279    ,  0.0746802  ,  0.0365164  ])
270     , -94.5632    , array([ 0.118526   ,  1.07279    ,  0.0746056  ,  0.036553   ])
271     , -93.8611    , array([ 0.129371   ,  1.22757    ,  0.0852846  ,  0.0326797  ])
272     , -93.8611    , array([ 0.129371   ,  1.22757    ,  0.0852846  ,  0.0326797  ])
273     , -93.8834    , array([ 0.129501   ,  1.22757    ,  0.0852846  ,  0.0326797  ])
274     , -93.8582    , array([ 0.129371   ,  1.2288     ,  0.0852846  ,  0.0326797  ])
275     , -93.8668    , array([ 0.129371   ,  1.22757    ,  0.0853699  ,  0.0326797  ])
276     , -93.8768    , array([ 0.129371   ,  1.22757    ,  0.0852846  ,  0.0327124  ])
277     , -94.3205    , array([ 0.115835   ,  1.29885    ,  0.0734844  ,  0.0355129  ])
278     , -94.3205    , array([ 0.115835   ,  1.29885    ,  0.0734844  ,  0.0355129  ])
279     , -94.3031    , array([ 0.115951   ,  1.29885    ,  0.0734844  ,  0.0355129  ])
280     , -94.3478    , array([ 0.115835   ,  1.30014    ,  0.0734844  ,  0.0355129  ])
281     , -94.3695    , array([ 0.115835   ,  1.29885    ,  0.073558   ,  0.0355129  ])
282     , -94.4031    , array([ 0.115835   ,  1.29885    ,  0.0734844  ,  0.0355484  ])
283     , -93.4256    , array([ 0.123646   ,  1.25628    ,  0.0802385  ,  0.0338116  ])
284     , -93.4256    , array([ 0.123646   ,  1.25628    ,  0.0802385  ,  0.0338116  ])
285     , -93.4313    , array([ 0.12377    ,  1.25628    ,  0.0802385  ,  0.0338116  ])
286     , -93.4344    , array([ 0.123646   ,  1.25753    ,  0.0802385  ,  0.0338116  ])
287     , -93.4488    , array([ 0.123646   ,  1.25628    ,  0.0803188  ,  0.0338116  ])
288     , -93.4661    , array([ 0.123646   ,  1.25628    ,  0.0802385  ,  0.0338454  ])
289     , -92.8613    , array([ 0.115431   ,  1.16156    ,  0.073844   ,  0.0356298  ])
290     , -92.8613    , array([ 0.115431   ,  1.16156    ,  0.073844   ,  0.0356298  ])
291     , -92.8613    , array([ 0.115546   ,  1.16156    ,  0.073844   ,  0.0356298  ])
292     , -92.8668    , array([ 0.115431   ,  1.16272    ,  0.073844   ,  0.0356298  ])
293     , -92.8861    , array([ 0.115431   ,  1.16156    ,  0.0739178  ,  0.0356298  ])
294     , -92.9008    , array([ 0.115431   ,  1.16156    ,  0.073844   ,  0.0356655  ])
295     , -92.0813    , array([ 0.10696    ,  1.12436    ,  0.0677772  ,  0.0367021  ])
296     , -92.0813    , array([ 0.10696    ,  1.12436    ,  0.0677772  ,  0.0367021  ])
297     , -92.0657    , array([ 0.107067   ,  1.12436    ,  0.0677772  ,  0.0367021  ])
298     , -92.0847    , array([ 0.10696    ,  1.12548    ,  0.0677772  ,  0.0367021  ])
299     , -92.1125    , array([ 0.10696    ,  1.12436    ,  0.067845   ,  0.0367021  ])
300     , -92.1126    , array([ 0.10696    ,  1.12436    ,  0.0677772  ,  0.0367388  ])
301     , -91.0108    , array([ 0.0940187  ,  1.09552    ,  0.0573603  ,  0.0387758  ])
302     , -91.0108    , array([ 0.0940187  ,  1.09552    ,  0.0573603  ,  0.0387758  ])
303     , -90.9972    , array([ 0.0941128  ,  1.09552    ,  0.0573603  ,  0.0387758  ])
304     , -91.0137    , array([ 0.0940187  ,  1.09662    ,  0.0573603  ,  0.0387758  ])
305     , -91.036     , array([ 0.0940187  ,  1.09552    ,  0.0574177  ,  0.0387758  ])
306     , -91.0388    , array([ 0.0940187  ,  1.09552    ,  0.0573603  ,  0.0388146  ])
307     , -89.7633    , array([ 0.0783591  ,  1.11554    ,  0.0454847  ,  0.040443   ])
