15158   , -2628.86    , array([ 0.00107124 ,  0.0798882  ,  1.36147    ,  0.281103   ])
15159   , -2629.97    , array([ 0.00107017 ,  0.0799681  ,  1.36147    ,  0.281103   ])
15160   , -2628.86    , array([ 0.00107017 ,  0.0798882  ,  1.36283    ,  0.281103   ])
15161   , -2627.77    , array([ 0.00107017 ,  0.0798882  ,  1.36147    ,  0.281384   ])
15162   , -2616.62    , array([ 0.0010126  ,  0.0776945  ,  1.36147    ,  0.276532   ])
15163   , -2616.62    , array([ 0.0010126  ,  0.0776945  ,  1.36147    ,  0.276532   ])
15164   , -2616.61    , array([ 0.00101361 ,  0.0776945  ,  1.36147    ,  0.276532   ])
15165   , -2617.68    , array([ 0.0010126  ,  0.0777722  ,  1.36147    ,  0.276532   ])
15166   , -2616.62    , array([ 0.0010126  ,  0.0776945  ,  1.36283    ,  0.276532   ])
15167   , -2615.56    , array([ 0.0010126  ,  0.0776945  ,  1.36147    ,  0.276808   ])
15174   , -2616.62    , array([ 0.0010126  ,  0.0776945  ,  1.36147    ,  0.276532   ])
15175   , -2616.62    , array([ 0.0010126  ,  0.0776945  ,  1.36147    ,  0.276532   ])
15176   , -2616.61    , array([ 0.00101361 ,  0.0776945  ,  1.36147    ,  0.276532   ])
15177   , -2617.68    , array([ 0.0010126  ,  0.0777722  ,  1.36147    ,  0.276532   ])
15178   , -2616.62    , array([ 0.0010126  ,  0.0776945  ,  1.36283    ,  0.276532   ])
15179   , -2615.56    , array([ 0.0010126  ,  0.0776945  ,  1.36147    ,  0.276808   ])
15180   , -2613.93    , array([ 0.00100011 ,  0.0772106  ,  1.36147    ,  0.275516   ])
15181   , -2613.93    , array([ 0.00100011 ,  0.0772106  ,  1.36147    ,  0.275516   ])
15182   , -2613.92    , array([ 0.00100111 ,  0.0772106  ,  1.36147    ,  0.275516   ])
15183   , -2614.98    , array([ 0.00100011 ,  0.0772878  ,  1.36147    ,  0.275516   ])
15184   , -2613.93    , array([ 0.00100011 ,  0.0772106  ,  1.36283    ,  0.275516   ])
15185   , -2612.87    , array([ 0.00100011 ,  0.0772106  ,  1.36147    ,  0.275792   ])
15192   , -2613.93    , array([ 0.00100011 ,  0.0772106  ,  1.36147    ,  0.275516   ])
