179837  , -13965.5    , array([ 1.18561    ,  0.062726   ,  0.000110869,  4.07039e-67,  0.0536255  ])
179838  , -13937.8    , array([ 1.18442    ,  0.0627888  ,  0.000110869,  4.07039e-67,  0.0536255  ])
179839  , -13966.2    , array([ 1.18442    ,  0.062726   ,  0.00011098 ,  4.07039e-67,  0.0536255  ])
179840  , -13966.2    , array([ 1.18442    ,  0.062726   ,  0.000110869,  4.07447e-67,  0.0536255  ])
179841  , -13995.6    , array([ 1.18442    ,  0.062726   ,  0.000110869,  4.07039e-67,  0.0536791  ])
179849  , -13962.4    , array([ 1.17899    ,  0.0624023  ,  0.000112272,  4.07039e-67,  0.0533439  ])
179850  , -13962.4    , array([ 1.17899    ,  0.0624023  ,  0.000112272,  4.07039e-67,  0.0533439  ])
179851  , -13961.6    , array([ 1.18017    ,  0.0624023  ,  0.000112272,  4.07039e-67,  0.0533439  ])
179852  , -13933.9    , array([ 1.17899    ,  0.0624647  ,  0.000112272,  4.07039e-67,  0.0533439  ])
179853  , -13962.4    , array([ 1.17899    ,  0.0624023  ,  0.000112385,  4.07039e-67,  0.0533439  ])
179854  , -13962.4    , array([ 1.17899    ,  0.0624023  ,  0.000112272,  4.07447e-67,  0.0533439  ])
179855  , -13991.7    , array([ 1.17899    ,  0.0624023  ,  0.000112272,  4.07039e-67,  0.0533973  ])
179856  , -13879.4    , array([ 0.975211   ,  0.050394   ,  0.000188769,  4.07039e-67,  0.0429191  ])
179857  , -13879.4    , array([ 0.975211   ,  0.050394   ,  0.000188769,  4.07039e-67,  0.0429191  ])
179858  , -13878.5    , array([ 0.976187   ,  0.050394   ,  0.000188769,  4.07039e-67,  0.0429191  ])
179859  , -13850.7    , array([ 0.975211   ,  0.0504445  ,  0.000188769,  4.07039e-67,  0.0429191  ])
179860  , -13879.4    , array([ 0.975211   ,  0.050394   ,  0.000188958,  4.07039e-67,  0.0429191  ])
179861  , -13879.4    , array([ 0.975211   ,  0.050394   ,  0.000188769,  4.07447e-67,  0.0429191  ])
179862  , -13908.4    , array([ 0.975211   ,  0.050394   ,  0.000188769,  4.07039e-67,  0.042962   ])
179863  , -13704.7    , array([ 0.978255   ,  0.0505155  ,  0.000189013,  4.07039e-67,  0.042766   ])
179864  , -13704.7    , array([ 0.978255   ,  0.0505155  ,  0.000189013,  4.07039e-67,  0.042766   ])
179865  , -13703.8    , array([ 0.979234   ,  0.0505155  ,  0.000189013,  4.07039e-67,  0.042766   ])
179866  , -13676.2    , array([ 0.978255   ,  0.050566   ,  0.000189013,  4.07039e-67,  0.042766   ])
179867  , -13704.7    , array([ 0.978255   ,  0.0505155  ,  0.000189202,  4.07039e-67,  0.042766   ])
179868  , -13704.7    , array([ 0.978255   ,  0.0505155  ,  0.000189013,  4.07447e-67,  0.042766   ])
179869  , -13733.5    , array([ 0.978255   ,  0.0505155  ,  0.000189013,  4.07039e-67,  0.0428088  ])
179870  , -13019.5    , array([ 0.990528   ,  0.0510041  ,  0.000189989,  4.07039e-67,  0.0421591  ])
179871  , -13019.5    , array([ 0.990528   ,  0.0510041  ,  0.000189989,  4.07039e-67,  0.0421591  ])
179872  , -13018.6    , array([ 0.991519   ,  0.0510041  ,  0.000189989,  4.07039e-67,  0.0421591  ])
179873  , -12991.9    , array([ 0.990528   ,  0.0510552  ,  0.000189989,  4.07039e-67,  0.0421591  ])
179874  , -13019.5    , array([ 0.990528   ,  0.0510041  ,  0.000190179,  4.07039e-67,  0.0421591  ])
179875  , -13019.5    , array([ 0.990528   ,  0.0510041  ,  0.000189989,  4.07447e-67,  0.0421591  ])
179876  , -13047.4    , array([ 0.990528   ,  0.0510041  ,  0.000189989,  4.07039e-67,  0.0422013  ])
179877  , -10492      , array([ 1.04118    ,  0.0530065  ,  0.000193944,  4.07039e-67,  0.0398167  ])
179878  , -10492      , array([ 1.04118    ,  0.0530065  ,  0.000193944,  4.07039e-67,  0.0398167  ])
179879  , -10491.3    , array([ 1.04222    ,  0.0530065  ,  0.000193944,  4.07039e-67,  0.0398167  ])
179880  , -10467.8    , array([ 1.04118    ,  0.0530595  ,  0.000193944,  4.07039e-67,  0.0398167  ])
179881  , -10492      , array([ 1.04118    ,  0.0530065  ,  0.000194138,  4.07039e-67,  0.0398167  ])
179882  , -10492      , array([ 1.04118    ,  0.0530065  ,  0.000193944,  4.07447e-67,  0.0398167  ])
179883  , -10516.4    , array([ 1.04118    ,  0.0530065  ,  0.000193944,  4.07039e-67,  0.0398565  ])
179884  , -5017.08    , array([ 1.1825     ,  0.0583472  ,  0.00021414 ,  4.07039e-67,  0.033199   ])
179885  , -5017.08    , array([ 1.1825     ,  0.0583472  ,  0.00021414 ,  4.07039e-67,  0.033199   ])
179886  , -5016.7     , array([ 1.18369    ,  0.0583472  ,  0.00021414 ,  4.07039e-67,  0.033199   ])
179887  , -5002.46    , array([ 1.1825     ,  0.0584056  ,  0.00021414 ,  4.07039e-67,  0.033199   ])
179888  , -5017.08    , array([ 1.1825     ,  0.0583472  ,  0.000214354,  4.07039e-67,  0.033199   ])
179889  , -5017.08    , array([ 1.1825     ,  0.0583472  ,  0.00021414 ,  4.07447e-67,  0.033199   ])
179890  , -5031.87    , array([ 1.1825     ,  0.0583472  ,  0.00021414 ,  4.07039e-67,  0.0332322  ])
179891  , -1653.18    , array([ 1.41967    ,  0.0668803  ,  0.00025603 ,  4.07039e-67,  0.024856   ])
179892  , -1653.18    , array([ 1.41967    ,  0.0668803  ,  0.00025603 ,  4.07039e-67,  0.024856   ])
