14517   , -393.954    , array([ 0.226676   ,  0.0232156  ,  1.52194    ,  0.0591411  ])
14518   , -393.942    , array([ 0.227803   ,  0.0232381  ,  1.53841    ,  0.0592317  ])
14519   , -393.942    , array([ 0.227803   ,  0.0232381  ,  1.53841    ,  0.0592317  ])
14520   , -393.941    , array([ 0.228031   ,  0.0232381  ,  1.53841    ,  0.0592317  ])
14521   , -393.947    , array([ 0.227803   ,  0.0232614  ,  1.53841    ,  0.0592317  ])
14522   , -393.942    , array([ 0.227803   ,  0.0232381  ,  1.53995    ,  0.0592317  ])
14523   , -393.945    , array([ 0.227803   ,  0.0232381  ,  1.53841    ,  0.059291   ])
14524   , -393.941    , array([ 0.227918   ,  0.0232404  ,  1.54009    ,  0.0592469  ])
14525   , -393.941    , array([ 0.227918   ,  0.0232404  ,  1.54009    ,  0.0592469  ])
14526   , -393.941    , array([ 0.228146   ,  0.0232404  ,  1.54009    ,  0.0592469  ])
14527   , -393.946    , array([ 0.227918   ,  0.0232636  ,  1.54009    ,  0.0592469  ])
14528   , -393.941    , array([ 0.227918   ,  0.0232404  ,  1.54163    ,  0.0592469  ])
14529   , -393.944    , array([ 0.227918   ,  0.0232404  ,  1.54009    ,  0.0593062  ])
14530   , -393.941    , array([ 0.22793    ,  0.0232406  ,  1.54026    ,  0.0592485  ])
14531   , -393.941    , array([ 0.22793    ,  0.0232406  ,  1.54026    ,  0.0592485  ])
14532   , -393.941    , array([ 0.228158   ,  0.0232406  ,  1.54026    ,  0.0592485  ])
14533   , -393.946    , array([ 0.22793    ,  0.0232639  ,  1.54026    ,  0.0592485  ])
14534   , -393.941    , array([ 0.22793    ,  0.0232406  ,  1.5418     ,  0.0592485  ])
14535   , -393.944    , array([ 0.22793    ,  0.0232406  ,  1.54026    ,  0.0593078  ])
14536   , -393.941    , array([ 0.227931   ,  0.0232406  ,  1.54028    ,  0.0592486  ])
14537   , -393.941    , array([ 0.227931   ,  0.0232406  ,  1.54028    ,  0.0592486  ])
14538   , -393.941    , array([ 0.228159   ,  0.0232406  ,  1.54028    ,  0.0592486  ])
14539   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592486  ])
14540   , -393.941    , array([ 0.227931   ,  0.0232406  ,  1.54182    ,  0.0592486  ])
14541   , -393.944    , array([ 0.227931   ,  0.0232406  ,  1.54028    ,  0.0593079  ])
14542   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14543   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14544   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14545   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14546   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14547   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14548   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14549   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14550   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14551   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14552   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14553   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14554   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14555   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14556   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14557   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14558   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14559   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14560   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14561   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14562   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14563   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14564   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14565   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14566   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14567   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14568   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14569   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14570   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14571   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14572   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14573   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14574   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14575   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14576   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14577   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14578   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14579   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14580   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14581   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14582   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14583   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14584   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14585   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14586   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14587   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14588   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14589   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14590   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14591   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14592   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14593   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14594   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14595   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14596   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14597   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14598   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14599   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14600   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14601   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14602   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14603   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14604   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14605   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14606   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14607   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14608   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14609   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14610   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14611   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14612   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14613   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14614   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14615   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14616   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14617   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14618   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14619   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14620   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14621   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14622   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14623   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14624   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14625   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14626   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14627   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14628   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14629   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14630   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14631   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14632   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14633   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14634   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14635   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14636   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14637   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14638   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14639   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14640   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14641   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14642   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14643   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14644   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14645   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14646   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14647   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14648   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14649   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14650   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14651   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14652   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14653   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14654   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14655   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14656   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14657   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14658   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14659   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14660   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14661   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14662   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14663   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14664   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14665   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14666   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14667   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14668   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14669   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14670   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14671   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14672   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14673   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14674   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14675   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14676   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14677   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14678   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14679   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14680   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14681   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14682   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14683   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14684   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14685   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14686   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14687   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14688   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14689   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14690   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14691   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14692   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14693   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14694   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14695   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14696   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14697   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14698   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14699   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14700   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14701   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14702   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14703   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14704   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14705   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14706   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14707   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
14708   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54182    ,  0.0592487  ])
14709   , -393.944    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0593079  ])
14710   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14711   , -393.941    , array([ 0.227931   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14712   , -393.941    , array([ 0.228159   ,  0.0232407  ,  1.54028    ,  0.0592487  ])
14713   , -393.946    , array([ 0.227931   ,  0.0232639  ,  1.54028    ,  0.0592487  ])
