129881  , -1916.34    , array([ 56.7279    ,  0.0534625  ,  8.81011e-57,  1.36348e-59,  0.0191429  ])
129882  , -1915.45    , array([ 55.0072    ,  0.0530794  ,  1.36354e-56,  1.36348e-59,  0.0190908  ])
129883  , -1915.45    , array([ 55.0072    ,  0.0530794  ,  1.36354e-56,  1.36348e-59,  0.0190908  ])
129884  , -1915.47    , array([ 55.0622    ,  0.0530794  ,  1.36354e-56,  1.36348e-59,  0.0190908  ])
129885  , -1915.52    , array([ 55.0072    ,  0.0531325  ,  1.36354e-56,  1.36348e-59,  0.0190908  ])
129886  , -1915.45    , array([ 55.0072    ,  0.0530794  ,  1.36491e-56,  1.36348e-59,  0.0190908  ])
129887  , -1915.45    , array([ 55.0072    ,  0.0530794  ,  1.36354e-56,  1.36484e-59,  0.0190908  ])
129888  , -1915.4     , array([ 55.0072    ,  0.0530794  ,  1.36354e-56,  1.36348e-59,  0.0191099  ])
129889  , -1914.6     , array([ 51.3052    ,  0.0529259  ,  2.02347e-56,  1.36348e-59,  0.0191229  ])
129890  , -1914.6     , array([ 51.3052    ,  0.0529259  ,  2.02347e-56,  1.36348e-59,  0.0191229  ])
129891  , -1914.61    , array([ 51.3565    ,  0.0529259  ,  2.02347e-56,  1.36348e-59,  0.0191229  ])
129892  , -1914.52    , array([ 51.3052    ,  0.0529788  ,  2.02347e-56,  1.36348e-59,  0.0191229  ])
129893  , -1914.6     , array([ 51.3052    ,  0.0529259  ,  2.02549e-56,  1.36348e-59,  0.0191229  ])
129894  , -1914.6     , array([ 51.3052    ,  0.0529259  ,  2.02347e-56,  1.36484e-59,  0.0191229  ])
129895  , -1914.68    , array([ 51.3052    ,  0.0529259  ,  2.02347e-56,  1.36348e-59,  0.0191421  ])
129896  , -1913.02    , array([ 43.8812    ,  0.0528569  ,  3.26762e-56,  1.36348e-59,  0.0191911  ])
129897  , -1913.02    , array([ 43.8812    ,  0.0528569  ,  3.26762e-56,  1.36348e-59,  0.0191911  ])
129898  , -1913.04    , array([ 43.9251    ,  0.0528569  ,  3.26762e-56,  1.36348e-59,  0.0191911  ])
129899  , -1912.79    , array([ 43.8812    ,  0.0529098  ,  3.26762e-56,  1.36348e-59,  0.0191911  ])
129900  , -1913.02    , array([ 43.8812    ,  0.0528569  ,  3.27089e-56,  1.36348e-59,  0.0191911  ])
129901  , -1913.02    , array([ 43.8812    ,  0.0528569  ,  3.26762e-56,  1.36484e-59,  0.0191911  ])
129902  , -1913.26    , array([ 43.8812    ,  0.0528569  ,  3.26762e-56,  1.36348e-59,  0.0192103  ])
129903  , -1909.62    , array([ 32.5814    ,  0.052918   ,  6.68918e-56,  1.36348e-59,  0.0193419  ])
129904  , -1909.62    , array([ 32.5814    ,  0.052918   ,  6.68918e-56,  1.36348e-59,  0.0193419  ])
129905  , -1909.64    , array([ 32.614     ,  0.052918   ,  6.68918e-56,  1.36348e-59,  0.0193419  ])
129906  , -1909.18    , array([ 32.5814    ,  0.0529709  ,  6.68918e-56,  1.36348e-59,  0.0193419  ])
129907  , -1909.62    , array([ 32.5814    ,  0.052918   ,  6.69587e-56,  1.36348e-59,  0.0193419  ])
129908  , -1909.62    , array([ 32.5814    ,  0.052918   ,  6.68918e-56,  1.36484e-59,  0.0193419  ])
129909  , -1910.06    , array([ 32.5814    ,  0.052918   ,  6.68918e-56,  1.36348e-59,  0.0193613  ])
