1983    , -1425.96    , array([ 0.954697   ,  0.127063   ,  4.78825    ,  3.10396    ,  0.0797374  ])
1984    , -1425.72    , array([ 0.954697   ,  0.126936   ,  4.79304    ,  3.10396    ,  0.0797374  ])
1985    , -1425.95    , array([ 0.954697   ,  0.126936   ,  4.78825    ,  3.10706    ,  0.0797374  ])
1986    , -1426.26    , array([ 0.954697   ,  0.126936   ,  4.78825    ,  3.10396    ,  0.0798172  ])
1987    , -1341.71    , array([ 0.964732   ,  0.10934    ,  5.10418    ,  3.01709    ,  0.0625751  ])
1988    , -1341.71    , array([ 0.964732   ,  0.10934    ,  5.10418    ,  3.01709    ,  0.0625751  ])
1989    , -1341.67    , array([ 0.965697   ,  0.10934    ,  5.10418    ,  3.01709    ,  0.0625751  ])
1990    , -1341.36    , array([ 0.964732   ,  0.10945    ,  5.10418    ,  3.01709    ,  0.0625751  ])
1991    , -1341.66    , array([ 0.964732   ,  0.10934    ,  5.10929    ,  3.01709    ,  0.0625751  ])
1992    , -1341.68    , array([ 0.964732   ,  0.10934    ,  5.10418    ,  3.02011    ,  0.0625751  ])
1993    , -1342.14    , array([ 0.964732   ,  0.10934    ,  5.10418    ,  3.01709    ,  0.0626377  ])
1994    , -1313.05    , array([ 1.00424    ,  0.0977483  ,  5.06262    ,  2.80995    ,  0.0493722  ])
1995    , -1313.05    , array([ 1.00424    ,  0.0977483  ,  5.06262    ,  2.80995    ,  0.0493722  ])
1996    , -1313.08    , array([ 1.00524    ,  0.0977483  ,  5.06262    ,  2.80995    ,  0.0493722  ])
1997    , -1313.26    , array([ 1.00424    ,  0.0978461  ,  5.06262    ,  2.80995    ,  0.0493722  ])
1998    , -1313.1     , array([ 1.00424    ,  0.0977483  ,  5.06769    ,  2.80995    ,  0.0493722  ])
1999    , -1313.11    , array([ 1.00424    ,  0.0977483  ,  5.06262    ,  2.81276    ,  0.0493722  ])
2000    , -1312.92    , array([ 1.00424    ,  0.0977483  ,  5.06262    ,  2.80995    ,  0.0494216  ])
2001    , -1312.27    , array([ 1.00206    ,  0.0975243  ,  4.99612    ,  2.82544    ,  0.049489   ])
2002    , -1312.27    , array([ 1.00206    ,  0.0975243  ,  4.99612    ,  2.82544    ,  0.049489   ])
2003    , -1312.28    , array([ 1.00306    ,  0.0975243  ,  4.99612    ,  2.82544    ,  0.049489   ])
2004    , -1312.36    , array([ 1.00206    ,  0.0976219  ,  4.99612    ,  2.82544    ,  0.049489   ])
2005    , -1312.29    , array([ 1.00206    ,  0.0975243  ,  5.00112    ,  2.82544    ,  0.049489   ])
2006    , -1312.3     , array([ 1.00206    ,  0.0975243  ,  4.99612    ,  2.82827    ,  0.049489   ])
2007    , -1312.22    , array([ 1.00206    ,  0.0975243  ,  4.99612    ,  2.82544    ,  0.0495385  ])
2008    , -1312.06    , array([ 1.00249    ,  0.0967026  ,  4.93478    ,  2.80311    ,  0.0488148  ])
2009    , -1312.06    , array([ 1.00249    ,  0.0967026  ,  4.93478    ,  2.80311    ,  0.0488148  ])
2010    , -1312.06    , array([ 1.00349    ,  0.0967026  ,  4.93478    ,  2.80311    ,  0.0488148  ])
2011    , -1312.09    , array([ 1.00249    ,  0.0967993  ,  4.93478    ,  2.80311    ,  0.0488148  ])
2012    , -1312.06    , array([ 1.00249    ,  0.0967026  ,  4.93971    ,  2.80311    ,  0.0488148  ])
2013    , -1312.08    , array([ 1.00249    ,  0.0967026  ,  4.93478    ,  2.80592    ,  0.0488148  ])
2014    , -1312.04    , array([ 1.00249    ,  0.0967026  ,  4.93478    ,  2.80311    ,  0.0488637  ])
2015    , -1311.92    , array([ 1.00283    ,  0.0964956  ,  4.92036    ,  2.76109    ,  0.0485115  ])
