140559  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140560  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140561  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140562  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140563  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140564  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140565  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140566  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140567  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140568  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140569  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140570  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140571  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140572  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140573  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140574  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140575  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140576  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140577  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140578  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140579  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140580  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140581  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140582  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140583  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140584  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140585  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140586  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140587  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140588  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140589  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140590  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140591  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140592  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140593  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140594  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140595  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140596  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140597  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
