302753  , -23221.6    , array([ 0.0925342  ,  0.124519   ,  1.15734e-49,  1.14272e-11,  0.0149968  ])
302754  , -23204.6    , array([ 0.0926268  ,  0.124519   ,  1.15734e-49,  1.14272e-11,  0.0149968  ])
302755  , -23237.1    , array([ 0.0925342  ,  0.124644   ,  1.15734e-49,  1.14272e-11,  0.0149968  ])
302756  , -23221.6    , array([ 0.0925342  ,  0.124519   ,  1.1585e-49 ,  1.14272e-11,  0.0149968  ])
302757  , -23221.6    , array([ 0.0925342  ,  0.124519   ,  1.15734e-49,  1.14387e-11,  0.0149968  ])
302758  , -23221      , array([ 0.0925342  ,  0.124519   ,  1.15734e-49,  1.14272e-11,  0.0150118  ])
302766  , -31235.6    , array([ 0.0723964  ,  0.0967471  ,  1.15734e-49,  1.14272e-11,  0.0249173  ])
302767  , -31235.6    , array([ 0.0723964  ,  0.0967471  ,  1.15734e-49,  1.14272e-11,  0.0249173  ])
302768  , -31200.1    , array([ 0.0724689  ,  0.0967471  ,  1.15734e-49,  1.14272e-11,  0.0249173  ])
302769  , -31246.4    , array([ 0.0723964  ,  0.0968439  ,  1.15734e-49,  1.14272e-11,  0.0249173  ])
302770  , -31235.6    , array([ 0.0723964  ,  0.0967471  ,  1.1585e-49 ,  1.14272e-11,  0.0249173  ])
302771  , -31235.6    , array([ 0.0723964  ,  0.0967471  ,  1.15734e-49,  1.14387e-11,  0.0249173  ])
302772  , -31256.4    , array([ 0.0723964  ,  0.0967471  ,  1.15734e-49,  1.14272e-11,  0.0249422  ])
302773  , -23221.6    , array([ 0.0925033  ,  0.124476   ,  1.15734e-49,  1.14272e-11,  0.0150072  ])
302774  , -23221.6    , array([ 0.0925033  ,  0.124476   ,  1.15734e-49,  1.14272e-11,  0.0150072  ])
302775  , -23204.5    , array([ 0.0925959  ,  0.124476   ,  1.15734e-49,  1.14272e-11,  0.0150072  ])
302776  , -23237.1    , array([ 0.0925033  ,  0.124601   ,  1.15734e-49,  1.14272e-11,  0.0150072  ])
302777  , -23221.6    , array([ 0.0925033  ,  0.124476   ,  1.1585e-49 ,  1.14272e-11,  0.0150072  ])
302778  , -23221.6    , array([ 0.0925033  ,  0.124476   ,  1.15734e-49,  1.14387e-11,  0.0150072  ])
302779  , -23221      , array([ 0.0925033  ,  0.124476   ,  1.15734e-49,  1.14272e-11,  0.0150222  ])
302780  , -23221.6    , array([ 0.0925082  ,  0.124483   ,  1.15734e-49,  1.14272e-11,  0.015008   ])
302781  , -23221.6    , array([ 0.0925082  ,  0.124483   ,  1.15734e-49,  1.14272e-11,  0.015008   ])
302782  , -23204.5    , array([ 0.0926007  ,  0.124483   ,  1.15734e-49,  1.14272e-11,  0.015008   ])
302783  , -23237.1    , array([ 0.0925082  ,  0.124608   ,  1.15734e-49,  1.14272e-11,  0.015008   ])
302784  , -23221.6    , array([ 0.0925082  ,  0.124483   ,  1.1585e-49 ,  1.14272e-11,  0.015008   ])
302785  , -23221.6    , array([ 0.0925082  ,  0.124483   ,  1.15734e-49,  1.14387e-11,  0.015008   ])
302786  , -23221      , array([ 0.0925082  ,  0.124483   ,  1.15734e-49,  1.14272e-11,  0.015023   ])
302787  , -23221.4    , array([ 0.0925276  ,  0.124512   ,  1.15734e-49,  1.14272e-11,  0.0150115  ])
302788  , -23221.4    , array([ 0.0925276  ,  0.124512   ,  1.15734e-49,  1.14272e-11,  0.0150115  ])
302789  , -23204.3    , array([ 0.0926202  ,  0.124512   ,  1.15734e-49,  1.14272e-11,  0.0150115  ])
302790  , -23236.9    , array([ 0.0925276  ,  0.124637   ,  1.15734e-49,  1.14272e-11,  0.0150115  ])
302791  , -23221.4    , array([ 0.0925276  ,  0.124512   ,  1.1585e-49 ,  1.14272e-11,  0.0150115  ])
302792  , -23221.4    , array([ 0.0925276  ,  0.124512   ,  1.15734e-49,  1.14387e-11,  0.0150115  ])
302793  , -23220.8    , array([ 0.0925276  ,  0.124512   ,  1.15734e-49,  1.14272e-11,  0.0150265  ])
302794  , -23220.8    , array([ 0.0926053  ,  0.124626   ,  1.15734e-49,  1.14272e-11,  0.0150252  ])
302795  , -23220.8    , array([ 0.0926053  ,  0.124626   ,  1.15734e-49,  1.14272e-11,  0.0150252  ])
302796  , -23203.7    , array([ 0.092698   ,  0.124626   ,  1.15734e-49,  1.14272e-11,  0.0150252  ])
302797  , -23236.3    , array([ 0.0926053  ,  0.124751   ,  1.15734e-49,  1.14272e-11,  0.0150252  ])
302798  , -23220.8    , array([ 0.0926053  ,  0.124626   ,  1.1585e-49 ,  1.14272e-11,  0.0150252  ])
302799  , -23220.8    , array([ 0.0926053  ,  0.124626   ,  1.15734e-49,  1.14387e-11,  0.0150252  ])
302800  , -23220.2    , array([ 0.0926053  ,  0.124626   ,  1.15734e-49,  1.14272e-11,  0.0150402  ])
302801  , -23218.2    , array([ 0.0929169  ,  0.125086   ,  1.15734e-49,  1.14272e-11,  0.0150804  ])
302802  , -23218.2    , array([ 0.0929169  ,  0.125086   ,  1.15734e-49,  1.14272e-11,  0.0150804  ])
302803  , -23201.1    , array([ 0.0930099  ,  0.125086   ,  1.15734e-49,  1.14272e-11,  0.0150804  ])
302804  , -23233.7    , array([ 0.0929169  ,  0.125211   ,  1.15734e-49,  1.14272e-11,  0.0150804  ])
302805  , -23218.2    , array([ 0.0929169  ,  0.125086   ,  1.1585e-49 ,  1.14272e-11,  0.0150804  ])
302806  , -23218.2    , array([ 0.0929169  ,  0.125086   ,  1.15734e-49,  1.14387e-11,  0.0150804  ])
302807  , -23217.6    , array([ 0.0929169  ,  0.125086   ,  1.15734e-49,  1.14272e-11,  0.0150954  ])
302808  , -23207.7    , array([ 0.0941737  ,  0.126939   ,  1.15734e-49,  1.14272e-11,  0.015303   ])
302809  , -23207.7    , array([ 0.0941737  ,  0.126939   ,  1.15734e-49,  1.14272e-11,  0.015303   ])
302810  , -23190.6    , array([ 0.0942679  ,  0.126939   ,  1.15734e-49,  1.14272e-11,  0.015303   ])
302811  , -23223.1    , array([ 0.0941737  ,  0.127066   ,  1.15734e-49,  1.14272e-11,  0.015303   ])
302812  , -23207.7    , array([ 0.0941737  ,  0.126939   ,  1.1585e-49 ,  1.14272e-11,  0.015303   ])
302813  , -23207.7    , array([ 0.0941737  ,  0.126939   ,  1.15734e-49,  1.14387e-11,  0.015303   ])
302814  , -23207.1    , array([ 0.0941737  ,  0.126939   ,  1.15734e-49,  1.14272e-11,  0.0153183  ])
302815  , -23163      , array([ 0.0993733  ,  0.134632   ,  1.15734e-49,  1.14272e-11,  0.0162268  ])
302816  , -23163      , array([ 0.0993733  ,  0.134632   ,  1.15734e-49,  1.14272e-11,  0.0162268  ])
