155473  , -46218.7    , array([ 0.259186   ,  6.36642    ,  0.294286   ,  0.0598133  ,  0.0379386  ])
155474  , -46218.7    , array([ 0.259186   ,  6.36642    ,  0.294286   ,  0.0598133  ,  0.0379386  ])
155475  , -46213.5    , array([ 0.259445   ,  6.36642    ,  0.294286   ,  0.0598133  ,  0.0379386  ])
155476  , -46221.1    , array([ 0.259186   ,  6.37279    ,  0.294286   ,  0.0598133  ,  0.0379386  ])
155477  , -46218.6    , array([ 0.259186   ,  6.36642    ,  0.294581   ,  0.0598133  ,  0.0379386  ])
155478  , -46218.7    , array([ 0.259186   ,  6.36642    ,  0.294286   ,  0.0598731  ,  0.0379386  ])
155479  , -46217.6    , array([ 0.259186   ,  6.36642    ,  0.294286   ,  0.0598133  ,  0.0379765  ])
155480  , -46195.3    , array([ 0.263937   ,  6.41516    ,  0.294256   ,  0.059815   ,  0.0368803  ])
155481  , -46195.3    , array([ 0.263937   ,  6.41516    ,  0.294256   ,  0.059815   ,  0.0368803  ])
155482  , -46191.3    , array([ 0.264201   ,  6.41516    ,  0.294256   ,  0.059815   ,  0.0368803  ])
155483  , -46197.7    , array([ 0.263937   ,  6.42158    ,  0.294256   ,  0.059815   ,  0.0368803  ])
155484  , -46195.2    , array([ 0.263937   ,  6.41516    ,  0.29455    ,  0.059815   ,  0.0368803  ])
155485  , -46195.4    , array([ 0.263937   ,  6.41516    ,  0.294256   ,  0.0598748  ,  0.0368803  ])
155486  , -46193.4    , array([ 0.263937   ,  6.41516    ,  0.294256   ,  0.059815   ,  0.0369172  ])
155487  , -46194.4    , array([ 0.263108   ,  6.36119    ,  0.294722   ,  0.0598446  ,  0.036753   ])
155488  , -46194.4    , array([ 0.263108   ,  6.36119    ,  0.294722   ,  0.0598446  ,  0.036753   ])
155489  , -46190.4    , array([ 0.263371   ,  6.36119    ,  0.294722   ,  0.0598446  ,  0.036753   ])
155490  , -46196.9    , array([ 0.263108   ,  6.36755    ,  0.294722   ,  0.0598446  ,  0.036753   ])
155491  , -46194.4    , array([ 0.263108   ,  6.36119    ,  0.295017   ,  0.0598446  ,  0.036753   ])
155492  , -46194.5    , array([ 0.263108   ,  6.36119    ,  0.294722   ,  0.0599045  ,  0.036753   ])
155493  , -46192.5    , array([ 0.263108   ,  6.36119    ,  0.294722   ,  0.0598446  ,  0.0367897  ])
155494  , -46190.4    , array([ 0.259817   ,  6.1498     ,  0.296597   ,  0.0599633  ,  0.0362481  ])
155495  , -46190.4    , array([ 0.259817   ,  6.1498     ,  0.296597   ,  0.0599633  ,  0.0362481  ])
155496  , -46186.3    , array([ 0.260077   ,  6.1498     ,  0.296597   ,  0.0599633  ,  0.0362481  ])
155497  , -46192.9    , array([ 0.259817   ,  6.15596    ,  0.296597   ,  0.0599633  ,  0.0362481  ])
155498  , -46190.4    , array([ 0.259817   ,  6.1498     ,  0.296894   ,  0.0599633  ,  0.0362481  ])
155499  , -46190.5    , array([ 0.259817   ,  6.1498     ,  0.296597   ,  0.0600233  ,  0.0362481  ])
155500  , -46188.5    , array([ 0.259817   ,  6.1498     ,  0.296597   ,  0.0599633  ,  0.0362844  ])
155501  , -46165.3    , array([ 0.247059   ,  5.37221    ,  0.304214   ,  0.0604407  ,  0.0342971  ])
155502  , -46165.3    , array([ 0.247059   ,  5.37221    ,  0.304214   ,  0.0604407  ,  0.0342971  ])
155503  , -46161      , array([ 0.247306   ,  5.37221    ,  0.304214   ,  0.0604407  ,  0.0342971  ])
155504  , -46167.9    , array([ 0.247059   ,  5.37759    ,  0.304214   ,  0.0604407  ,  0.0342971  ])
155505  , -46165.2    , array([ 0.247059   ,  5.37221    ,  0.304519   ,  0.0604407  ,  0.0342971  ])
