83028   , -1659.45    , array([ 1.15471    ,  0.0582971  ,  1.23158e-72,  0.00058355 ,  0.0211908  ])
83029   , -1659.96    , array([ 1.15471    ,  0.0582971  ,  1.23158e-72,  0.000582967,  0.021212   ])
83030   , -1720.38    , array([ 2.74736    ,  0.0572755  ,  1.23158e-72,  0.000582501,  0.0208163  ])
83031   , -1720.38    , array([ 2.74736    ,  0.0572755  ,  1.23158e-72,  0.000582501,  0.0208163  ])
83032   , -1720.52    , array([ 2.75011    ,  0.0572755  ,  1.23158e-72,  0.000582501,  0.0208163  ])
83033   , -1719.99    , array([ 2.74736    ,  0.0573328  ,  1.23158e-72,  0.000582501,  0.0208163  ])
83034   , -1720.38    , array([ 2.74736    ,  0.0572755  ,  1.23281e-72,  0.000582501,  0.0208163  ])
83035   , -1720.38    , array([ 2.74736    ,  0.0572755  ,  1.23158e-72,  0.000583084,  0.0208163  ])
83036   , -1720.61    , array([ 2.74736    ,  0.0572755  ,  1.23158e-72,  0.000582501,  0.0208371  ])
83037   , -1652.12    , array([ 1.38048    ,  0.0580852  ,  1.23158e-72,  0.000582871,  0.0211131  ])
83038   , -1652.12    , array([ 1.38048    ,  0.0580852  ,  1.23158e-72,  0.000582871,  0.0211131  ])
83039   , -1652.12    , array([ 1.38186    ,  0.0580852  ,  1.23158e-72,  0.000582871,  0.0211131  ])
83040   , -1651.57    , array([ 1.38048    ,  0.0581433  ,  1.23158e-72,  0.000582871,  0.0211131  ])
83041   , -1652.12    , array([ 1.38048    ,  0.0580852  ,  1.23281e-72,  0.000582871,  0.0211131  ])
83042   , -1652.12    , array([ 1.38048    ,  0.0580852  ,  1.23158e-72,  0.000583454,  0.0211131  ])
83043   , -1652.51    , array([ 1.38048    ,  0.0580852  ,  1.23158e-72,  0.000582871,  0.0211342  ])
83044   , -1.00947e+06, array([ 0.00128828 ,  0.0842437  ,  1.23158e-72,  0.000595755,  0.0301357  ])
83045   , -1.00947e+06, array([ 0.00128828 ,  0.0842437  ,  1.23158e-72,  0.000595755,  0.0301357  ])
83046   , -1.00881e+06, array([ 0.00128957 ,  0.0842437  ,  1.23158e-72,  0.000595755,  0.0301357  ])
83047   , -1.0095e+06 , array([ 0.00128828 ,  0.084328   ,  1.23158e-72,  0.000595755,  0.0301357  ])
83048   , -1.00947e+06, array([ 0.00128828 ,  0.0842437  ,  1.23281e-72,  0.000595755,  0.0301357  ])
83049   , -1.00946e+06, array([ 0.00128828 ,  0.0842437  ,  1.23158e-72,  0.000596351,  0.0301357  ])
83050   , -1.01004e+06, array([ 0.00128828 ,  0.0842437  ,  1.23158e-72,  0.000595755,  0.0301659  ])
83051   , -3855.18    , array([ 0.308714   ,  0.0629114  ,  1.23158e-72,  0.000585613,  0.022789   ])
83052   , -3855.18    , array([ 0.308714   ,  0.0629114  ,  1.23158e-72,  0.000585613,  0.022789   ])
83053   , -3850.44    , array([ 0.309023   ,  0.0629114  ,  1.23158e-72,  0.000585613,  0.022789   ])
83054   , -3854.67    , array([ 0.308714   ,  0.0629744  ,  1.23158e-72,  0.000585613,  0.022789   ])
83055   , -3855.18    , array([ 0.308714   ,  0.0629114  ,  1.23281e-72,  0.000585613,  0.022789   ])
83056   , -3855.18    , array([ 0.308714   ,  0.0629114  ,  1.23158e-72,  0.000586199,  0.022789   ])
83057   , -3859.53    , array([ 0.308714   ,  0.0629114  ,  1.23158e-72,  0.000585613,  0.0228118  ])
83058   , -1655.28    , array([ 1.20152    ,  0.0585165  ,  1.23158e-72,  0.000583124,  0.0212631  ])
83059   , -1655.28    , array([ 1.20152    ,  0.0585165  ,  1.23158e-72,  0.000583124,  0.0212631  ])
83060   , -1655.21    , array([ 1.20272    ,  0.0585165  ,  1.23158e-72,  0.000583124,  0.0212631  ])
83061   , -1654.7     , array([ 1.20152    ,  0.0585751  ,  1.23158e-72,  0.000583124,  0.0212631  ])
83062   , -1655.28    , array([ 1.20152    ,  0.0585165  ,  1.23281e-72,  0.000583124,  0.0212631  ])
