272088  , -4368.58    , array([ 0.00730124 ,  0.00115302 ,  9.74778e-24,  1.16177e-13,  0.00040988 ])
272089  , -4369.61    , array([ 0.00730124 ,  0.00115186 ,  9.75754e-24,  1.16177e-13,  0.00040988 ])
272090  , -4369.61    , array([ 0.00730124 ,  0.00115186 ,  9.74778e-24,  1.16293e-13,  0.00040988 ])
272091  , -4374.24    , array([ 0.00730124 ,  0.00115186 ,  9.74778e-24,  1.16177e-13,  0.00041029 ])
272099  , -4369.61    , array([ 0.00730124 ,  0.00115186 ,  9.74778e-24,  1.16177e-13,  0.00040988 ])
272100  , -4369.61    , array([ 0.00730124 ,  0.00115186 ,  9.74778e-24,  1.16177e-13,  0.00040988 ])
272101  , -4365.99    , array([ 0.00730854 ,  0.00115186 ,  9.74778e-24,  1.16177e-13,  0.00040988 ])
272102  , -4368.58    , array([ 0.00730124 ,  0.00115302 ,  9.74778e-24,  1.16177e-13,  0.00040988 ])
272103  , -4369.61    , array([ 0.00730124 ,  0.00115186 ,  9.75754e-24,  1.16177e-13,  0.00040988 ])
272104  , -4369.61    , array([ 0.00730124 ,  0.00115186 ,  9.74778e-24,  1.16293e-13,  0.00040988 ])
272105  , -4374.24    , array([ 0.00730124 ,  0.00115186 ,  9.74778e-24,  1.16177e-13,  0.00041029 ])
272106  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272107  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272108  , -4144.23    , array([ 0.0067493  ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272109  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272110  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272111  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272112  , -4151.6     , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272120  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272121  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272122  , -4144.23    , array([ 0.0067493  ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272123  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272124  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272125  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272126  , -4151.6     , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272134  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272135  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272136  , -4144.23    , array([ 0.0067493  ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272137  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272138  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272139  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272140  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272148  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272149  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272150  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272151  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272152  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272153  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272154  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272162  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272163  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272164  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272165  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272166  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272167  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272168  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272176  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272177  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272178  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272179  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272180  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272181  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272182  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272190  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272191  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272192  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272193  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272194  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272195  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272196  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272204  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272205  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272206  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272207  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
