16856   , -3610.7     , array([ 0.8698     ,  0.235651   ,  2.9132     ,  2.58793    ,  4.90983    ])
16857   , -3624.77    , array([ 0.8698     ,  0.235651   ,  2.75735    ,  2.58793    ,  4.90983    ])
16858   , -3610.99    , array([ 0.8698     ,  0.235651   ,  2.89374    ,  2.58793    ,  4.90983    ])
16859   , -3610.7     , array([ 0.8698     ,  0.235651   ,  2.9132     ,  2.58793    ,  4.90983    ])
16860   , -3526.85    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.58793    ,  4.90983    ])
16861   , -5198.93    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  5.20596    ,  4.90983    ])
16862   , -3526.85    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.58793    ,  4.90983    ])
16863   , -4007.56    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  4.20596    ,  4.90983    ])
16864   , -3395.97    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.20596    ,  4.90983    ])
16865   , -3398.25    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.00325    ,  4.90983    ])
16866   , -3389.98    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  4.90983    ])
16867   , -3389.98    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.10861    ,  4.90983    ])
16868   , -3390.01    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11913    ,  4.90983    ])
16869   , -3389.98    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  4.90983    ])
16871   , -3385.34    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  3.2918     ])
16872   , -3388.58    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  4.10081    ])
16873   , -3309.21    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.673762   ])
16875   , -3309.21    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.673762   ])
16877   , -3361.26    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  1.67376    ])
16878   , -3342.12    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  1.17376    ])
16879   , -8428.69    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.0557281  ])
16880   , -3286.8     , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.437694   ])
16881   , -3280.64    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.291796   ])
16882   , -3323.33    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.211722   ])
16883   , -3279.91    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16885   , -3279.91    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16886   , -4210.17    , array([ 1.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16888   , -3279.91    , array([ 0.8698     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16889   , -18737.6    , array([ 0.251766   ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16890   , -3134.01    , array([ 1.25177    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16891   , -3035.66    , array([ 1.06854    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16892   , -3036.95    , array([ 1.1021     ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16893   , -3035.07    , array([ 1.07955    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16894   , -3035.07    , array([ 1.08165    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16895   , -3035.1     , array([ 1.07745    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16896   , -3035.07    , array([ 1.07955    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16897   , -30463.7    , array([ 1.07955    ,  1.23565    ,  2.9132     ,  3.11387    ,  0.347524   ])
