43045   , -393.558    , array([ 33.5671    ,  0.0710178  ,  0.00132587 ,  0.210219   ])
43046   , -393.558    , array([ 33.5671    ,  0.0710178  ,  0.00132587 ,  0.210219   ])
43047   , -393.558    , array([ 33.6007    ,  0.0710178  ,  0.00132587 ,  0.210219   ])
43048   , -393.518    , array([ 33.5671    ,  0.0710889  ,  0.00132587 ,  0.210219   ])
43049   , -393.558    , array([ 33.5671    ,  0.0710178  ,  0.0013272  ,  0.210219   ])
43050   , -393.632    , array([ 33.5671    ,  0.0710178  ,  0.00132587 ,  0.210429   ])
43051   , -393.537    , array([ 35.0716    ,  0.0655216  ,  0.00154578 ,  0.199786   ])
43052   , -393.537    , array([ 35.0716    ,  0.0655216  ,  0.00154578 ,  0.199786   ])
43053   , -393.537    , array([ 35.1067    ,  0.0655216  ,  0.00154578 ,  0.199786   ])
43054   , -393.49     , array([ 35.0716    ,  0.0655872  ,  0.00154578 ,  0.199786   ])
43055   , -393.537    , array([ 35.0716    ,  0.0655216  ,  0.00154732 ,  0.199786   ])
43056   , -393.624    , array([ 35.0716    ,  0.0655216  ,  0.00154578 ,  0.199986   ])
43057   , -395.66     , array([ 41.7948    ,  0.0474737  ,  0.00285579 ,  0.162983   ])
43058   , -395.66     , array([ 41.7948    ,  0.0474737  ,  0.00285579 ,  0.162983   ])
43059   , -395.66     , array([ 41.8366    ,  0.0474737  ,  0.00285579 ,  0.162983   ])
43060   , -395.458    , array([ 41.7948    ,  0.0475212  ,  0.00285579 ,  0.162983   ])
43061   , -395.659    , array([ 41.7948    ,  0.0474737  ,  0.00285865 ,  0.162983   ])
43062   , -395.966    , array([ 41.7948    ,  0.0474737  ,  0.00285579 ,  0.163146   ])
43063   , -393.58     , array([ 36.0188    ,  0.062391   ,  0.00169689 ,  0.1937     ])
43064   , -393.58     , array([ 36.0188    ,  0.062391   ,  0.00169689 ,  0.1937     ])
43065   , -393.58     , array([ 36.0548    ,  0.062391   ,  0.00169689 ,  0.1937     ])
43066   , -393.522    , array([ 36.0188    ,  0.0624534  ,  0.00169689 ,  0.1937     ])
43067   , -393.58     , array([ 36.0188    ,  0.062391   ,  0.00169859 ,  0.1937     ])
43068   , -393.682    , array([ 36.0188    ,  0.062391   ,  0.00169689 ,  0.193894   ])
43069   , -393.542    , array([ 35.2469    ,  0.0649242  ,  0.00157299 ,  0.198633   ])
43070   , -393.542    , array([ 35.2469    ,  0.0649242  ,  0.00157299 ,  0.198633   ])
43071   , -393.542    , array([ 35.2822    ,  0.0649242  ,  0.00157299 ,  0.198633   ])
43072   , -393.492    , array([ 35.2469    ,  0.0649891  ,  0.00157299 ,  0.198633   ])
43073   , -393.542    , array([ 35.2469    ,  0.0649242  ,  0.00157456 ,  0.198633   ])
43074   , -393.631    , array([ 35.2469    ,  0.0649242  ,  0.00157299 ,  0.198832   ])
43075   , -393.536    , array([ 35.2854    ,  0.0647013  ,  0.00158447 ,  0.198184   ])
43076   , -393.536    , array([ 35.2854    ,  0.0647013  ,  0.00158447 ,  0.198184   ])
43077   , -393.536    , array([ 35.3208    ,  0.0647013  ,  0.00158447 ,  0.198184   ])
43078   , -393.487    , array([ 35.2854    ,  0.064766   ,  0.00158447 ,  0.198184   ])
43079   , -393.536    , array([ 35.2854    ,  0.0647013  ,  0.00158606 ,  0.198184   ])
43080   , -393.625    , array([ 35.2854    ,  0.0647013  ,  0.00158447 ,  0.198382   ])
43081   , -393.516    , array([ 35.44      ,  0.0638175  ,  0.00163124 ,  0.196397   ])
43082   , -393.516    , array([ 35.44      ,  0.0638175  ,  0.00163124 ,  0.196397   ])
43083   , -393.516    , array([ 35.4755    ,  0.0638175  ,  0.00163124 ,  0.196397   ])
43084   , -393.467    , array([ 35.44      ,  0.0638814  ,  0.00163124 ,  0.196397   ])
43085   , -393.516    , array([ 35.44      ,  0.0638175  ,  0.00163287 ,  0.196397   ])
43086   , -393.603    , array([ 35.44      ,  0.0638175  ,  0.00163124 ,  0.196594   ])
43087   , -393.46     , array([ 36.0652    ,  0.0604014  ,  0.00183253 ,  0.189409   ])
43088   , -393.46     , array([ 36.0652    ,  0.0604014  ,  0.00183253 ,  0.189409   ])
43089   , -393.46     , array([ 36.1013    ,  0.0604014  ,  0.00183253 ,  0.189409   ])
43090   , -393.412    , array([ 36.0652    ,  0.0604619  ,  0.00183253 ,  0.189409   ])
43091   , -393.46     , array([ 36.0652    ,  0.0604014  ,  0.00183437 ,  0.189409   ])
43092   , -393.546    , array([ 36.0652    ,  0.0604014  ,  0.00183253 ,  0.189599   ])
43093   , -393.695    , array([ 38.678     ,  0.0484705  ,  0.0029187  ,  0.163858   ])
43094   , -393.695    , array([ 38.678     ,  0.0484705  ,  0.0029187  ,  0.163858   ])
43095   , -393.695    , array([ 38.7167    ,  0.0484705  ,  0.0029187  ,  0.163858   ])
43096   , -393.603    , array([ 38.678     ,  0.0485189  ,  0.0029187  ,  0.163858   ])
43097   , -393.694    , array([ 38.678     ,  0.0484705  ,  0.00292162 ,  0.163858   ])
43098   , -393.843    , array([ 38.678     ,  0.0484705  ,  0.0029187  ,  0.164022   ])
43099   , -393.442    , array([ 36.5774    ,  0.0577799  ,  0.00201285 ,  0.183955   ])
43100   , -393.442    , array([ 36.5774    ,  0.0577799  ,  0.00201285 ,  0.183955   ])
43101   , -393.442    , array([ 36.614     ,  0.0577799  ,  0.00201285 ,  0.183955   ])
43102   , -393.392    , array([ 36.5774    ,  0.0578377  ,  0.00201285 ,  0.183955   ])
43103   , -393.442    , array([ 36.5774    ,  0.0577799  ,  0.00201486 ,  0.183955   ])
43104   , -393.532    , array([ 36.5774    ,  0.0577799  ,  0.00201285 ,  0.184139   ])
43105   , -393.535    , array([ 37.9506    ,  0.051454   ,  0.00257229 ,  0.170432   ])
43106   , -393.535    , array([ 37.9506    ,  0.051454   ,  0.00257229 ,  0.170432   ])
43107   , -393.535    , array([ 37.9886    ,  0.051454   ,  0.00257229 ,  0.170432   ])
43108   , -393.463    , array([ 37.9506    ,  0.0515055  ,  0.00257229 ,  0.170432   ])
43109   , -393.534    , array([ 37.9506    ,  0.051454   ,  0.00257487 ,  0.170432   ])
43110   , -393.655    , array([ 37.9506    ,  0.051454   ,  0.00257229 ,  0.170602   ])
43111   , -393.534    , array([ 37.9588    ,  0.05138    ,  0.00258095 ,  0.170265   ])
43112   , -393.534    , array([ 37.9588    ,  0.05138    ,  0.00258095 ,  0.170265   ])
43113   , -393.534    , array([ 37.9968    ,  0.05138    ,  0.00258095 ,  0.170265   ])
43114   , -393.462    , array([ 37.9588    ,  0.0514314  ,  0.00258095 ,  0.170265   ])
43115   , -393.534    , array([ 37.9588    ,  0.05138    ,  0.00258353 ,  0.170265   ])
43116   , -393.654    , array([ 37.9588    ,  0.05138    ,  0.00258095 ,  0.170435   ])
43117   , -393.531    , array([ 37.9915    ,  0.0510851  ,  0.00261586 ,  0.1696     ])
43118   , -393.531    , array([ 37.9915    ,  0.0510851  ,  0.00261586 ,  0.1696     ])
43119   , -393.531    , array([ 38.0296    ,  0.0510851  ,  0.00261586 ,  0.1696     ])
43120   , -393.459    , array([ 37.9915    ,  0.0511362  ,  0.00261586 ,  0.1696     ])
43121   , -393.531    , array([ 37.9915    ,  0.0510851  ,  0.00261848 ,  0.1696     ])
43122   , -393.652    , array([ 37.9915    ,  0.0510851  ,  0.00261586 ,  0.16977    ])
43123   , -393.526    , array([ 38.1228    ,  0.0499223  ,  0.00276031 ,  0.166966   ])
43124   , -393.526    , array([ 38.1228    ,  0.0499223  ,  0.00276031 ,  0.166966   ])
43125   , -393.526    , array([ 38.1609    ,  0.0499223  ,  0.00276031 ,  0.166966   ])
43126   , -393.452    , array([ 38.1228    ,  0.0499723  ,  0.00276031 ,  0.166966   ])
43127   , -393.525    , array([ 38.1228    ,  0.0499223  ,  0.00276307 ,  0.166966   ])
43128   , -393.648    , array([ 38.1228    ,  0.0499223  ,  0.00276031 ,  0.167133   ])
43129   , -393.583    , array([ 38.6521    ,  0.04553    ,  0.00342239 ,  0.156831   ])
43130   , -393.583    , array([ 38.6521    ,  0.04553    ,  0.00342239 ,  0.156831   ])
43131   , -393.583    , array([ 38.6908    ,  0.04553    ,  0.00342239 ,  0.156831   ])
43132   , -393.497    , array([ 38.6521    ,  0.0455756  ,  0.00342239 ,  0.156831   ])
43133   , -393.583    , array([ 38.6521    ,  0.04553    ,  0.00342581 ,  0.156831   ])
43134   , -393.723    , array([ 38.6521    ,  0.04553    ,  0.00342239 ,  0.156988   ])
43135   , -393.526    , array([ 38.2282    ,  0.0490101  ,  0.00288175 ,  0.164885   ])
43136   , -393.526    , array([ 38.2282    ,  0.0490101  ,  0.00288175 ,  0.164885   ])
43137   , -393.526    , array([ 38.2664    ,  0.0490101  ,  0.00288175 ,  0.164885   ])
43138   , -393.452    , array([ 38.2282    ,  0.0490591  ,  0.00288175 ,  0.164885   ])
43139   , -393.526    , array([ 38.2282    ,  0.0490101  ,  0.00288463 ,  0.164885   ])
43140   , -393.651    , array([ 38.2282    ,  0.0490101  ,  0.00288175 ,  0.16505    ])
43141   , -393.525    , array([ 38.145     ,  0.0497285  ,  0.00278549 ,  0.166525   ])
43142   , -393.525    , array([ 38.145     ,  0.0497285  ,  0.00278549 ,  0.166525   ])
43143   , -393.525    , array([ 38.1831    ,  0.0497285  ,  0.00278549 ,  0.166525   ])
43144   , -393.452    , array([ 38.145     ,  0.0497783  ,  0.00278549 ,  0.166525   ])
43145   , -393.525    , array([ 38.145     ,  0.0497285  ,  0.00278828 ,  0.166525   ])
43146   , -393.648    , array([ 38.145     ,  0.0497285  ,  0.00278549 ,  0.166691   ])
43147   , -393.526    , array([ 38.1999    ,  0.0492532  ,  0.00284865 ,  0.165441   ])
43148   , -393.526    , array([ 38.1999    ,  0.0492532  ,  0.00284865 ,  0.165441   ])
43149   , -393.526    , array([ 38.2381    ,  0.0492532  ,  0.00284865 ,  0.165441   ])
43150   , -393.451    , array([ 38.1999    ,  0.0493024  ,  0.00284865 ,  0.165441   ])
43151   , -393.526    , array([ 38.1999    ,  0.0492532  ,  0.0028515  ,  0.165441   ])
43152   , -393.649    , array([ 38.1999    ,  0.0492532  ,  0.00284865 ,  0.165606   ])
43153   , -393.525    , array([ 38.1565    ,  0.049628   ,  0.00279868 ,  0.166296   ])
43154   , -393.525    , array([ 38.1565    ,  0.049628   ,  0.00279868 ,  0.166296   ])
43155   , -393.525    , array([ 38.1947    ,  0.049628   ,  0.00279868 ,  0.166296   ])
43156   , -393.452    , array([ 38.1565    ,  0.0496777  ,  0.00279868 ,  0.166296   ])
43157   , -393.525    , array([ 38.1565    ,  0.049628   ,  0.00280148 ,  0.166296   ])
43158   , -393.648    , array([ 38.1565    ,  0.049628   ,  0.00279868 ,  0.166462   ])
43159   , -393.525    , array([ 38.1851    ,  0.0493803  ,  0.00283156 ,  0.165731   ])
43160   , -393.525    , array([ 38.1851    ,  0.0493803  ,  0.00283156 ,  0.165731   ])
43161   , -393.525    , array([ 38.2233    ,  0.0493803  ,  0.00283156 ,  0.165731   ])
43162   , -393.451    , array([ 38.1851    ,  0.0494297  ,  0.00283156 ,  0.165731   ])
43163   , -393.525    , array([ 38.1851    ,  0.0493803  ,  0.0028344  ,  0.165731   ])
