12096   , -9504.47    , array([ 0.0205453  ,  0.00860304 ,  0.000108109,  2.07971e-81,  0.00198219 ])
12097   , -9523.28    , array([ 0.0205247  ,  0.00861164 ,  0.000108109,  2.07971e-81,  0.00198219 ])
12098   , -9513.5     , array([ 0.0205247  ,  0.00860304 ,  0.000108217,  2.07971e-81,  0.00198219 ])
12099   , -9513.5     , array([ 0.0205247  ,  0.00860304 ,  0.000108109,  2.08179e-81,  0.00198219 ])
12100   , -9512.53    , array([ 0.0205247  ,  0.00860304 ,  0.000108109,  2.07971e-81,  0.00198418 ])
12101   , -9508.18    , array([ 0.0205287  ,  0.00860007 ,  0.000108109,  2.07971e-81,  0.00198258 ])
12102   , -9508.18    , array([ 0.0205287  ,  0.00860007 ,  0.000108109,  2.07971e-81,  0.00198258 ])
12103   , -9499.15    , array([ 0.0205493  ,  0.00860007 ,  0.000108109,  2.07971e-81,  0.00198258 ])
12104   , -9517.95    , array([ 0.0205287  ,  0.00860867 ,  0.000108109,  2.07971e-81,  0.00198258 ])
12105   , -9508.18    , array([ 0.0205287  ,  0.00860007 ,  0.000108217,  2.07971e-81,  0.00198258 ])
12106   , -9508.18    , array([ 0.0205287  ,  0.00860007 ,  0.000108109,  2.08179e-81,  0.00198258 ])
12107   , -9507.22    , array([ 0.0205287  ,  0.00860007 ,  0.000108109,  2.07971e-81,  0.00198457 ])
12108   , -9368.21    , array([ 0.0206354  ,  0.00852118 ,  0.000108109,  2.07971e-81,  0.00199304 ])
12109   , -9368.21    , array([ 0.0206354  ,  0.00852118 ,  0.000108109,  2.07971e-81,  0.00199304 ])
12110   , -9359.18    , array([ 0.0206561  ,  0.00852118 ,  0.000108109,  2.07971e-81,  0.00199304 ])
12111   , -9377.7     , array([ 0.0206354  ,  0.00852971 ,  0.000108109,  2.07971e-81,  0.00199304 ])
12112   , -9368.21    , array([ 0.0206354  ,  0.00852118 ,  0.000108217,  2.07971e-81,  0.00199304 ])
12113   , -9368.21    , array([ 0.0206354  ,  0.00852118 ,  0.000108109,  2.08179e-81,  0.00199304 ])
12114   , -9367.5     , array([ 0.0206354  ,  0.00852118 ,  0.000108109,  2.07971e-81,  0.00199503 ])
12115   , -142683     , array([ 0.0577382  ,  0.00136826 ,  0.000108109,  2.07971e-81,  0.00566017 ])
12116   , -142683     , array([ 0.0577382  ,  0.00136826 ,  0.000108109,  2.07971e-81,  0.00566017 ])
12117   , -142680     , array([ 0.057796   ,  0.00136826 ,  0.000108109,  2.07971e-81,  0.00566017 ])
12118   , -142528     , array([ 0.0577382  ,  0.00136963 ,  0.000108109,  2.07971e-81,  0.00566017 ])
12119   , -142683     , array([ 0.0577382  ,  0.00136826 ,  0.000108217,  2.07971e-81,  0.00566017 ])
12120   , -142683     , array([ 0.0577382  ,  0.00136826 ,  0.000108109,  2.08179e-81,  0.00566017 ])
12121   , -142839     , array([ 0.0577382  ,  0.00136826 ,  0.000108109,  2.07971e-81,  0.00566583 ])
12122   , -7269.73    , array([ 0.0241741  ,  0.00643151 ,  0.000108109,  2.07971e-81,  0.00234016 ])
12123   , -7269.73    , array([ 0.0241741  ,  0.00643151 ,  0.000108109,  2.07971e-81,  0.00234016 ])
12124   , -7261.37    , array([ 0.0241982  ,  0.00643151 ,  0.000108109,  2.07971e-81,  0.00234016 ])
12125   , -7268.99    , array([ 0.0241741  ,  0.00643795 ,  0.000108109,  2.07971e-81,  0.00234016 ])
12126   , -7269.73    , array([ 0.0241741  ,  0.00643151 ,  0.000108217,  2.07971e-81,  0.00234016 ])
12127   , -7269.73    , array([ 0.0241741  ,  0.00643151 ,  0.000108109,  2.08179e-81,  0.00234016 ])
12128   , -7278.56    , array([ 0.0241741  ,  0.00643151 ,  0.000108109,  2.07971e-81,  0.0023425  ])
12129   , -7261.32    , array([ 0.0239184  ,  0.00655421 ,  0.000108109,  2.07971e-81,  0.00231506 ])
12130   , -7261.32    , array([ 0.0239184  ,  0.00655421 ,  0.000108109,  2.07971e-81,  0.00231506 ])
12131   , -7252.89    , array([ 0.0239424  ,  0.00655421 ,  0.000108109,  2.07971e-81,  0.00231506 ])
12132   , -7261.38    , array([ 0.0239184  ,  0.00656077 ,  0.000108109,  2.07971e-81,  0.00231506 ])
12133   , -7261.32    , array([ 0.0239184  ,  0.00655421 ,  0.000108217,  2.07971e-81,  0.00231506 ])
12134   , -7261.32    , array([ 0.0239184  ,  0.00655421 ,  0.000108109,  2.08179e-81,  0.00231506 ])
12135   , -7269.42    , array([ 0.0239184  ,  0.00655421 ,  0.000108109,  2.07971e-81,  0.00231737 ])
